"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"33","14","    Personal interest income","A064RC1","8,815.0","9,004.0","9,169.0","9,329.0","9,486.0","9,655.0","9,841.0","10,047.0","10,293.0","10,541.0","10,809.0","11,094.0","11,395.0","11,683.0","11,960.0","12,234.0","12,495.0","12,739.0","12,990.0","13,238.0","13,434.0","13,734.0","14,086.0","14,506.0","15,043.0","15,492.0","15,939.0","16,340.0","16,731.0","17,119.0","17,508.0","17,891.0","18,249.0","18,669.0","19,125.0","19,638.0","20,208.0","20,831.0","21,470.0","22,151.0","22,908.0","23,562.0","24,135.0","24,641.0","25,029.0","25,502.0","25,972.0","26,509.0","26,678.0","27,492.0","28,398.0","29,461.0","30,468.0","30,684.0","31,103.0","31,623.0","32,009.0","32,786.0","33,613.0","34,594.0","34,793.0","36,102.0","37,289.0","38,188.0","38,284.0","39,070.0","40,231.0","41,455.0","42,565.0","43,707.0","44,914.0","45,862.0","46,932.0","48,111.0","49,178.0","49,910.0","51,253.0","52,756.0","54,145.0","55,807.0","56,856.0","57,712.0","58,629.0","60,106.0","61,276.0","63,158.0","64,396.0","66,218.0","69,719.0","72,796.0","75,975.0","79,299.0"
"34","15","    Personal dividend income","B703RC1","6,004.0","6,312.0","6,520.0","6,448.0","7,028.0","6,676.0","7,088.0","7,352.0","7,224.0","7,204.0","7,112.0","7,412.0","8,288.0","8,372.0","9,156.0","9,536.0","8,380.0","8,632.0","8,580.0","8,688.0","8,156.0","8,712.0","8,600.0","8,772.0","8,432.0","9,176.0","9,044.0","8,892.0","9,436.0","8,880.0","9,308.0","9,504.0","10,048.0","10,168.0","10,780.0","10,916.0","11,164.0","11,188.0","11,180.0","11,588.0","11,608.0","11,792.0","11,896.0","11,672.0","11,552.0","11,676.0","11,656.0","11,380.0","12,084.0","12,464.0","12,764.0","12,968.0","13,172.0","13,248.0","13,536.0","13,508.0","13,564.0","13,640.0","13,932.0","14,468.0","14,564.0","14,992.0","15,180.0","15,372.0","15,760.0","16,092.0","16,332.0","16,760.0","17,456.0","18,020.0","18,412.0","18,888.0","19,208.0","19,888.0","20,540.0","21,184.0","21,268.0","20,876.0","20,532.0","20,004.0","21,064.0","21,680.0","22,072.0","21,224.0","22,604.0","23,372.0","23,968.0","24,196.0","23,964.0","24,124.0","24,268.0","24,600.0"
"35","16","  Personal current transfer receipts","A577RC1","9,720.0","9,588.0","13,456.0","10,516.0","10,692.0","10,436.0","10,112.0","9,768.0","10,472.0","11,044.0","11,540.0","11,792.0","20,212.0","13,788.0","10,808.0","11,080.0","11,092.0","11,416.0","11,584.0","11,552.0","11,392.0","11,524.0","12,272.0","12,340.0","12,352.0","12,312.0","12,512.0","12,888.0","13,500.0","14,100.0","14,476.0","15,180.0","15,288.0","15,612.0","15,868.0","15,968.0","16,336.0","16,572.0","17,068.0","17,332.0","18,212.0","19,436.0","19,636.0","20,824.0","22,116.0","23,908.0","24,188.0","23,652.0","24,008.0","23,932.0","24,184.0","24,832.0","24,636.0","25,276.0","26,040.0","27,008.0","28,832.0","29,688.0","29,872.0","29,408.0","30,000.0","29,992.0","30,424.0","31,152.0","32,648.0","31,688.0","31,960.0","32,540.0","33,568.0","33,208.0","33,504.0","33,736.0","35,032.0","34,640.0","38,140.0","36,900.0","37,844.0","37,880.0","39,600.0","43,144.0","46,084.0","47,224.0","48,704.0","50,044.0","52,424.0","55,916.0","57,340.0","58,696.0","60,444.0","61,536.0","62,896.0","64,340.0"
"36","17","    Government social benefits to persons","A063RC1","9,352.0","9,196.0","13,052.0","10,112.0","10,308.0","10,072.0","9,744.0","9,400.0","10,140.0","10,712.0","11,184.0","11,392.0","19,768.0","13,280.0","10,220.0","10,400.0","10,300.0","10,548.0","10,684.0","10,620.0","10,480.0","10,628.0","11,396.0","11,472.0","11,464.0","11,428.0","11,676.0","12,128.0","12,888.0","13,568.0","13,944.0","14,588.0","14,556.0","14,736.0","14,864.0","14,860.0","15,176.0","15,364.0","15,812.0","16,016.0","16,836.0","18,032.0","18,224.0","19,436.0","20,808.0","22,648.0","22,976.0","22,472.0","22,736.0","22,612.0","22,844.0","23,476.0","23,304.0","23,968.0","24,740.0","25,700.0","27,512.0","28,348.0","28,504.0","27,992.0","28,520.0","28,460.0","28,852.0","29,540.0","30,852.0","29,852.0","30,076.0","30,584.0","31,496.0","31,036.0","31,264.0","31,472.0","32,700.0","32,340.0","35,896.0","34,716.0","35,692.0","35,772.0","37,512.0","41,040.0","43,928.0","45,008.0","46,408.0","47,664.0","49,920.0","53,196.0","54,452.0","55,656.0","57,184.0","58,180.0","59,528.0","61,000.0"
"37","18","      Social security \2\","W823RC1","424.0","460.0","476.0","492.0","516.0","548.0","572.0","580.0","612.0","656.0","688.0","704.0","732.0","768.0","784.0","1,524.0","1,740.0","1,884.0","1,944.0","1,920.0","1,964.0","2,040.0","2,124.0","2,576.0","2,728.0","2,964.0","3,104.0","3,124.0","3,288.0","3,464.0","3,628.0","4,148.0","4,448.0","4,848.0","5,156.0","5,204.0","5,332.0","5,524.0","5,808.0","5,944.0","6,424.0","7,512.0","7,492.0","7,836.0","7,972.0","8,448.0","8,644.0","8,848.0","9,704.0","10,028.0","10,344.0","10,624.0","10,760.0","11,000.0","11,252.0","11,508.0","11,952.0","12,336.0","12,796.0","13,372.0","13,768.0","14,136.0","14,472.0","14,816.0","14,912.0","15,168.0","15,392.0","15,508.0","15,728.0","15,912.0","16,160.0","16,272.0","16,492.0","16,680.0","20,148.0","18,948.0","19,296.0","19,736.0","19,912.0","20,200.0","20,668.0","21,056.0","21,272.0","21,492.0","22,528.0","24,836.0","25,376.0","25,652.0","25,956.0","26,280.0","26,548.0","26,744.0"
"38","19","      Medicare \3\","W824RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,172.0","2,860.0","3,792.0","4,528.0","5,068.0","5,408.0","5,608.0","5,780.0","5,976.0","6,196.0","6,428.0","6,632.0","6,800.0","6,920.0"
"39","20","      Medicaid","W729RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,552.0","1,868.0","1,884.0","2,220.0","2,220.0","2,548.0","2,916.0","3,196.0","3,564.0","4,064.0","4,056.0","4,304.0","4,440.0","4,392.0","4,584.0","4,788.0"
"40","21","      Unemployment insurance","W825RC1","1,586.0","1,590.0","1,646.0","1,542.0","1,152.0","1,252.0","1,268.0","1,408.0","1,672.0","2,056.0","2,448.0","2,812.0","2,054.0","1,614.0","1,230.0","1,058.0","804.0","772.0","924.0","1,044.0","1,102.0","1,042.0","1,210.0","946.0","1,009.0","925.0","977.0","1,425.0","1,990.0","2,410.0","2,470.0","2,426.0","1,933.0","1,581.0","1,441.0","1,437.0","1,489.0","1,509.0","1,673.0","1,629.0","1,744.0","1,692.0","1,840.0","2,516.0","3,501.0","4,585.0","4,849.0","4,041.0","3,172.0","2,704.0","2,616.0","2,920.0","2,568.0","2,824.0","3,204.0","3,720.0","4,168.0","5,244.0","4,444.0","3,748.0","3,508.0","3,124.0","3,040.0","3,056.0","3,176.0","3,088.0","2,980.0","3,000.0","2,888.0","2,888.0","2,712.0","2,616.0","2,488.0","2,428.0","2,340.0","2,204.0","2,056.0","1,784.0","1,916.0","1,896.0","2,124.0","2,348.0","2,288.0","2,188.0","2,276.0","2,144.0","2,192.0","2,216.0","2,284.0","2,188.0","2,332.0","2,504.0"
"41","22","      Veterans' benefits","W826RC1","5,438.0","5,072.0","8,495.0","5,780.0","5,868.0","5,671.0","5,368.0","5,154.0","5,184.0","5,016.0","4,797.0","4,602.0","13,585.0","7,080.0","5,221.0","4,813.0","4,512.0","4,638.0","4,654.0","4,518.0","4,001.0","4,019.0","4,710.0","4,557.0","4,297.0","4,000.0","3,907.0","4,092.0","4,012.0","3,997.0","4,015.0","4,204.0","4,321.0","4,397.0","4,431.0","4,315.0","4,407.0","4,348.0","4,307.0","4,252.0","4,404.0","4,489.0","4,458.0","4,541.0","4,528.0","4,718.0","4,540.0","4,477.0","4,588.0","4,536.0","4,448.0","4,396.0","4,396.0","4,460.0","4,488.0","4,608.0","5,352.0","4,632.0","4,976.0","4,452.0","4,584.0","4,512.0","4,500.0","4,696.0","5,648.0","4,392.0","4,412.0","4,548.0","5,204.0","4,432.0","4,448.0","4,444.0","5,408.0","4,604.0","4,676.0","4,708.0","5,064.0","4,432.0","4,420.0","5,372.0","6,192.0","5,272.0","5,292.0","5,432.0","5,788.0","5,752.0","5,860.0","6,008.0","6,292.0","6,580.0","6,672.0","6,904.0"
"42","23","      Other","W827RC1","1,904.0","2,074.0","2,435.0","2,298.0","2,772.0","2,601.0","2,536.0","2,258.0","2,672.0","2,984.0","3,251.0","3,274.0","3,397.0","3,818.0","2,985.0","3,005.0","3,244.0","3,254.0","3,162.0","3,138.0","3,413.0","3,527.0","3,352.0","3,393.0","3,430.0","3,539.0","3,688.0","3,487.0","3,598.0","3,697.0","3,831.0","3,810.0","3,854.0","3,910.0","3,836.0","3,904.0","3,948.0","3,983.0","4,024.0","4,191.0","4,264.0","4,339.0","4,434.0","4,543.0","4,807.0","4,897.0","4,943.0","5,106.0","5,272.0","5,344.0","5,436.0","5,536.0","5,580.0","5,684.0","5,796.0","5,864.0","6,040.0","6,136.0","6,288.0","6,420.0","6,660.0","6,688.0","6,840.0","6,972.0","7,116.0","7,204.0","7,292.0","7,528.0","7,676.0","7,804.0","7,944.0","8,140.0","8,312.0","8,628.0","8,732.0","8,856.0","7,724.0","7,952.0","8,208.0","8,492.0","8,932.0","9,256.0","9,572.0","9,948.0","10,156.0","10,620.0","10,992.0","11,280.0","11,784.0","12,108.0","12,592.0","13,140.0"
"43","24","    Other current transfer receipts, from business (net)","B931RC1","368.0","392.0","404.0","404.0","384.0","364.0","368.0","368.0","332.0","332.0","356.0","400.0","444.0","508.0","588.0","680.0","792.0","868.0","900.0","932.0","912.0","896.0","876.0","868.0","888.0","884.0","836.0","760.0","612.0","532.0","532.0","592.0","732.0","876.0","1,004.0","1,108.0","1,160.0","1,208.0","1,256.0","1,316.0","1,376.0","1,404.0","1,412.0","1,388.0","1,308.0","1,260.0","1,212.0","1,180.0","1,272.0","1,320.0","1,340.0","1,356.0","1,332.0","1,308.0","1,300.0","1,308.0","1,320.0","1,340.0","1,368.0","1,416.0","1,480.0","1,532.0","1,572.0","1,612.0","1,796.0","1,836.0","1,884.0","1,956.0","2,072.0","2,172.0","2,240.0","2,264.0","2,332.0","2,300.0","2,244.0","2,184.0","2,152.0","2,108.0","2,088.0","2,104.0","2,156.0","2,216.0","2,296.0","2,380.0","2,504.0","2,720.0","2,888.0","3,040.0","3,260.0","3,356.0","3,368.0","3,340.0"
"44","25","  Less: Contributions for government social insurance, domestic","A061RC1","6,348.0","5,964.0","5,160.0","4,784.0","4,848.0","4,552.0","4,580.0","4,484.0","5,176.0","5,072.0","4,796.0","4,516.0","5,312.0","5,312.0","5,496.0","5,808.0","6,616.0","6,692.0","6,556.0","6,672.0","6,944.0","6,824.0","6,872.0","7,052.0","7,064.0","7,136.0","7,172.0","7,052.0","8,068.0","8,032.0","8,052.0","8,144.0","8,876.0","9,040.0","9,196.0","9,252.0","9,856.0","9,964.0","9,992.0","10,136.0","11,396.0","11,428.0","11,500.0","11,328.0","11,328.0","11,252.0","11,420.0","11,536.0","13,656.0","13,904.0","13,860.0","13,916.0","16,424.0","16,456.0","16,508.0","16,388.0","16,740.0","16,904.0","17,064.0","17,312.0","18,888.0","19,108.0","19,192.0","19,280.0","21,336.0","21,548.0","21,756.0","22,036.0","22,036.0","22,272.0","22,516.0","22,724.0","22,888.0","23,196.0","23,552.0","24,028.0","30,376.0","30,840.0","31,924.0","32,204.0","33,632.0","34,580.0","35,240.0","36,016.0","37,588.0","38,424.0","39,072.0","39,696.0","42,908.0","43,692.0","44,624.0","45,284.0"
"45","26","Less: Personal current taxes","W055RC1","19,165.0","19,475.0","19,721.0","20,799.0","21,198.0","18,949.0","18,245.0","18,428.0","17,803.0","16,998.0","16,303.0","15,828.0","16,622.0","17,599.0","18,915.0","22,512.0","24,425.0","26,372.0","27,791.0","29,632.0","30,876.0","31,813.0","32,274.0","33,057.0","33,411.0","33,439.0","33,187.0","32,931.0","30,196.0","29,977.0","30,005.0","30,462.0","31,412.0","32,429.0","33,364.0","34,231.0","35,367.0","36,239.0","36,901.0","37,857.0","38,578.0","38,965.0","39,197.0","38,804.0","38,178.0","37,696.0","38,945.0","39,376.0","40,758.0","41,986.0","42,679.0","43,733.0","45,292.0","46,028.0","46,528.0","46,424.0","46,511.0","46,944.0","47,402.0","48,143.0","49,402.0","50,924.0","52,319.0","53,575.0","54,101.0","54,311.0","54,593.0","55,203.0","53,755.0","49,723.0","51,575.0","53,223.0","56,964.0","58,415.0","57,005.0","58,272.0","61,526.0","65,567.0","67,854.0","70,565.0","71,175.0","70,942.0","73,833.0","75,894.0","78,564.0","81,665.0","91,861.0","95,858.0","102,602.0","105,660.0","104,139.0","105,623.0"
"46","27","Equals: Disposable personal income","A067RC1","170,989.0","170,412.0","178,041.0","179,846.0","185,423.0","193,190.0","199,361.0","199,856.0","194,411.0","194,167.0","194,274.0","195,190.0","209,866.0","210,226.0","217,309.0","222,567.0","229,935.0","236,959.0","239,983.0","242,712.0","243,603.0","246,634.0","253,244.0","259,116.0","263,286.0","267,131.0","267,312.0","267,572.0","270,296.0","270,192.0","272,157.0","277,090.0","282,520.0","289,051.0","295,529.0","299,805.0","304,135.0","309,099.0","313,701.0","320,348.0","324,179.0","328,541.0","332,983.0","332,703.0","334,244.0","337,089.0","344,140.0","348,233.0","353,634.0","360,706.0","362,351.0","366,933.0","371,809.0","376,097.0","378,212.0","379,743.0","384,139.0","389,955.0","396,568.0","404,670.0","410,327.0","416,111.0","419,364.0","424,328.0","429,172.0","433,795.0","440,663.0","449,518.0","460,550.0","474,004.0","481,748.0","488,849.0","496,179.0","504,323.0","520,063.0","532,157.0","541,610.0","547,482.0","558,405.0","569,276.0","579,473.0","586,742.0","597,730.0","607,193.0","624,074.0","640,936.0","649,143.0","660,843.0","668,721.0","684,766.0","707,850.0","721,675.0"
"47","28","Less: Personal outlays","A068RC1","158,085.0","161,903.0","165,545.0","169,677.0","172,667.0","176,490.0","179,441.0","180,354.0","179,220.0","180,932.0","180,359.0","182,933.0","185,683.0","189,666.0","203,523.0","201,048.0","212,329.0","208,029.0","210,714.0","214,733.0","216,183.0","220,431.0","223,146.0","231,476.0","235,288.0","237,268.0","238,122.0","237,653.0","239,661.0","242,419.0","245,134.0","249,786.0","256,251.0","261,576.0","266,012.0","270,211.0","272,003.0","274,804.0","278,109.0","283,579.0","288,169.0","290,520.0","295,167.0","296,844.0","296,397.0","299,246.0","304,246.0","308,220.0","315,792.0","322,002.0","327,449.0","329,789.0","333,479.0","339,578.0","339,710.0","341,791.0","342,396.0","347,351.0","350,346.0","357,756.0","363,096.0","368,959.0","373,072.0","379,541.0","383,399.0","387,768.0","395,148.0","400,087.0","409,888.0","418,177.0","427,450.0","430,266.0","441,099.0","448,523.0","457,942.0","472,048.0","482,621.0","488,030.0","497,348.0","503,346.0","507,909.0","517,596.0","524,580.0","532,168.0","550,399.0","564,557.0","581,237.0","590,508.0","603,205.0","615,271.0","625,973.0","638,444.0"
"48","29","  Personal consumption expenditures","DPCERC1","156,288.0","160,158.0","163,667.0","167,797.0","170,500.0","174,272.0","177,204.0","178,060.0","176,966.0","178,583.0","177,945.0","180,390.0","183,065.0","186,953.0","200,653.0","198,090.0","209,356.0","205,090.0","207,758.0","211,733.0","213,094.0","217,227.0","219,715.0","227,856.0","231,463.0","233,224.0","233,949.0","233,411.0","235,447.0","238,193.0","240,629.0","245,435.0","251,764.0","256,848.0","261,049.0","265,053.0","266,584.0","269,274.0","272,521.0","277,896.0","282,333.0","284,619.0","289,189.0","290,802.0","290,331.0","293,248.0","298,308.0","302,222.0","309,867.0","315,885.0","321,086.0","323,194.0","326,727.0","332,591.0","332,534.0","334,454.0","334,981.0","339,939.0","342,839.0","350,109.0","355,384.0","361,016.0","364,878.0","371,149.0","374,718.0","378,851.0","385,841.0","390,504.0","400,121.0","408,085.0","416,985.0","419,574.0","430,289.0","437,240.0","446,422.0","460,373.0","470,785.0","475,855.0","484,978.0","490,763.0","495,072.0","504,197.0","511,436.0","518,941.0","536,864.0","550,592.0","566,726.0","575,628.0","587,812.0","599,170.0","609,487.0","621,488.0"
"49","30","  Personal interest payments \4\","B069RC1","871.0","918.0","962.0","1,021.0","1,163.0","1,259.0","1,307.0","1,371.0","1,399.0","1,506.0","1,611.0","1,748.0","1,838.0","1,961.0","2,136.0","2,216.0","2,241.0","2,226.0","2,210.0","2,239.0","2,341.0","2,459.0","2,621.0","2,799.0","2,955.0","3,162.0","3,271.0","3,360.0","3,389.0","3,377.0","3,401.0","3,473.0","3,634.0","3,889.0","4,118.0","4,291.0","4,460.0","4,553.0","4,582.0","4,657.0","4,747.0","4,822.0","4,915.0","4,985.0","5,040.0","4,980.0","4,961.0","4,983.0","5,134.0","5,325.0","5,570.0","5,803.0","5,992.0","6,192.0","6,336.0","6,448.0","6,477.0","6,476.0","6,507.0","6,613.0","6,635.0","6,841.0","7,087.0","7,290.0","7,486.0","7,775.0","8,111.0","8,372.0","8,508.0","8,786.0","9,128.0","9,342.0","9,519.0","9,905.0","10,124.0","10,236.0","10,393.0","10,634.0","10,745.0","10,944.0","11,056.0","11,080.0","11,160.0","11,291.0","11,567.0","11,983.0","12,367.0","12,822.0","13,326.0","13,815.0","14,222.0","14,601.0"
"50","31","  Personal current transfer payments","W211RC1","926.0","827.0","916.0","859.0","1,004.0","959.0","930.0","923.0","855.0","843.0","803.0","795.0","780.0","752.0","734.0","742.0","732.0","713.0","746.0","761.0","748.0","745.0","810.0","821.0","870.0","882.0","902.0","882.0","825.0","849.0","1,104.0","878.0","853.0","839.0","845.0","867.0","959.0","977.0","1,006.0","1,026.0","1,089.0","1,079.0","1,063.0","1,057.0","1,026.0","1,018.0","977.0","1,015.0","791.0","792.0","793.0","792.0","760.0","795.0","840.0","889.0","938.0","936.0","1,000.0","1,034.0","1,077.0","1,102.0","1,107.0","1,102.0","1,195.0","1,142.0","1,196.0","1,211.0","1,259.0","1,306.0","1,337.0","1,350.0","1,291.0","1,378.0","1,396.0","1,439.0","1,443.0","1,541.0","1,625.0","1,639.0","1,781.0","2,319.0","1,984.0","1,936.0","1,968.0","1,982.0","2,144.0","2,058.0","2,067.0","2,286.0","2,264.0","2,355.0"
"51","32","    To government","W062RC1","202.0","211.0","224.0","239.0","252.0","267.0","286.0","299.0","311.0","319.0","323.0","319.0","308.0","308.0","318.0","322.0","340.0","345.0","354.0","357.0","356.0","361.0","374.0","385.0","398.0","406.0","414.0","422.0","437.0","441.0","436.0","434.0","425.0","419.0","433.0","443.0","463.0","481.0","494.0","514.0","545.0","563.0","575.0","585.0","586.0","582.0","573.0","555.0","335.0","320.0","313.0","312.0","312.0","327.0","352.0","377.0","430.0","464.0","492.0","518.0","537.0","546.0","547.0","542.0","519.0","522.0","532.0","547.0","599.0","606.0","605.0","598.0","555.0","558.0","580.0","619.0","691.0","749.0","809.0","863.0","921.0","967.0","1,004.0","1,036.0","1,032.0","1,038.0","1,040.0","1,046.0","1,075.0","1,106.0","1,144.0","1,187.0"
"52","33","    To the rest of the world (net)","B070RC1","724.0","616.0","692.0","620.0","752.0","692.0","644.0","624.0","544.0","524.0","480.0","476.0","472.0","444.0","416.0","420.0","392.0","368.0","392.0","404.0","392.0","384.0","436.0","436.0","472.0","476.0","488.0","460.0","388.0","408.0","668.0","444.0","428.0","420.0","412.0","424.0","496.0","496.0","512.0","512.0","544.0","516.0","488.0","472.0","440.0","436.0","404.0","460.0","456.0","472.0","480.0","480.0","448.0","468.0","488.0","512.0","508.0","472.0","508.0","516.0","540.0","556.0","560.0","560.0","676.0","620.0","664.0","664.0","660.0","700.0","732.0","752.0","736.0","820.0","816.0","820.0","752.0","792.0","816.0","776.0","860.0","1,352.0","980.0","900.0","936.0","944.0","1,104.0","1,012.0","992.0","1,180.0","1,120.0","1,168.0"
"53","34","Equals: Personal saving","A071RC1","12,904.0","8,509.0","12,496.0","10,169.0","12,756.0","16,700.0","19,920.0","19,502.0","15,191.0","13,235.0","13,915.0","12,257.0","24,183.0","20,560.0","13,786.0","21,519.0","17,606.0","28,930.0","29,269.0","27,979.0","27,420.0","26,203.0","30,098.0","27,640.0","27,998.0","29,863.0","29,190.0","29,919.0","30,635.0","27,773.0","27,023.0","27,304.0","26,269.0","27,475.0","29,517.0","29,594.0","32,132.0","34,295.0","35,592.0","36,769.0","36,010.0","38,021.0","37,816.0","35,859.0","37,847.0","37,843.0","39,894.0","40,013.0","37,842.0","38,704.0","34,902.0","37,144.0","38,330.0","36,519.0","38,502.0","37,952.0","41,743.0","42,604.0","46,222.0","46,914.0","47,231.0","47,152.0","46,292.0","44,787.0","45,773.0","46,027.0","45,515.0","49,431.0","50,662.0","55,827.0","54,298.0","58,583.0","55,080.0","55,800.0","62,121.0","60,109.0","58,989.0","59,452.0","61,057.0","65,930.0","71,564.0","69,146.0","73,150.0","75,025.0","73,675.0","76,379.0","67,906.0","70,335.0","65,516.0","69,495.0","81,877.0","83,231.0"
"54","35","  Personal saving as a percentage of disposable personal income","A072RC1","7.5","5.0","7.0","5.7","6.9","8.6","10.0","9.8","7.8","6.8","7.2","6.3","11.5","9.8","6.3","9.7","7.7","12.2","12.2","11.5","11.3","10.6","11.9","10.7","10.6","11.2","10.9","11.2","11.3","10.3","9.9","9.9","9.3","9.5","10.0","9.9","10.6","11.1","11.3","11.5","11.1","11.6","11.4","10.8","11.3","11.2","11.6","11.5","10.7","10.7","9.6","10.1","10.3","9.7","10.2","10.0","10.9","10.9","11.7","11.6","11.5","11.3","11.0","10.6","10.7","10.6","10.3","11.0","11.0","11.8","11.3","12.0","11.1","11.1","11.9","11.3","10.9","10.9","10.9","11.6","12.3","11.8","12.2","12.4","11.8","11.9","10.5","10.6","9.8","10.1","11.6","11.5"
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","36","  Personal income excluding current transfer receipts, millions of chained (2009) dollars \5\","W875RX1","1,384,758.0","1,372,661.0","1,377,474.0","1,386,487.0","1,413,119.0","1,439,913.0","1,458,862.0","1,470,597.0","1,433,947.0","1,431,174.0","1,431,715.0","1,434,416.0","1,487,853.0","1,536,518.0","1,585,092.0","1,616,462.0","1,628,518.0","1,672,853.0","1,698,873.0","1,706,866.0","1,714,704.0","1,740,046.0","1,769,728.0","1,809,343.0","1,831,412.0","1,853,749.0","1,841,938.0","1,831,593.0","1,818,477.0","1,815,043.0","1,831,345.0","1,863,073.0","1,896,875.0","1,940,664.0","1,978,291.0","2,004,588.0","2,028,408.0","2,049,663.0","2,059,360.0","2,092,272.0","2,096,027.0","2,104,032.0","2,114,080.0","2,092,131.0","2,064,510.0","2,064,104.0","2,109,670.0","2,140,042.0","2,162,826.0","2,202,990.0","2,202,058.0","2,218,839.0","2,253,862.0","2,267,190.0","2,268,951.0","2,261,524.0","2,272,341.0","2,303,099.0","2,333,604.0","2,383,366.0","2,408,390.0","2,440,763.0","2,457,994.0","2,481,123.0","2,495,570.0","2,524,017.0","2,549,926.0","2,589,279.0","2,623,537.0","2,670,799.0","2,712,280.0","2,749,248.0","2,793,202.0","2,832,840.0","2,880,274.0","2,949,323.0","2,988,749.0","3,016,093.0","3,052,971.0","3,081,158.0","3,112,619.0","3,128,318.0","3,162,684.0","3,187,207.0","3,239,570.0","3,288,212.0","3,337,388.0","3,369,888.0","3,398,571.0","3,440,432.0","3,492,926.0","3,516,746.0"
"57",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","37","    Total, millions of chained (2009) dollars \5\","A067RX1","1,312,272.0","1,297,389.0","1,330,650.0","1,311,500.0","1,337,346.0","1,379,140.0","1,401,680.0","1,409,521.0","1,381,840.0","1,388,593.0","1,397,454.0","1,405,357.0","1,513,748.0","1,509,160.0","1,528,085.0","1,537,490.0","1,539,262.0","1,573,537.0","1,591,399.0","1,588,533.0","1,587,714.0","1,607,784.0","1,640,181.0","1,675,391.0","1,695,775.0","1,717,884.0","1,709,703.0","1,703,955.0","1,712,685.0","1,714,307.0","1,732,491.0","1,765,692.0","1,794,461.0","1,833,964.0","1,867,718.0","1,889,488.0","1,908,957.0","1,927,051.0","1,936,904.0","1,966,290.0","1,972,132.0","1,985,982.0","1,996,780.0","1,984,865.0","1,969,849.0","1,982,993.0","2,022,925.0","2,047,586.0","2,065,016.0","2,097,982.0","2,095,120.0","2,110,144.0","2,135,238.0","2,148,635.0","2,152,356.0","2,151,518.0","2,172,363.0","2,205,503.0","2,234,815.0","2,277,906.0","2,299,653.0","2,323,864.0","2,336,029.0","2,356,592.0","2,376,762.0","2,398,911.0","2,425,356.0","2,465,003.0","2,513,370.0","2,580,878.0","2,614,217.0","2,643,856.0","2,674,964.0","2,705,305.0","2,779,451.0","2,835,449.0","2,863,540.0","2,870,907.0","2,905,938.0","2,939,564.0","2,983,437.0","3,006,775.0","3,035,087.0","3,057,059.0","3,109,332.0","3,161,213.0","3,168,870.0","3,190,475.0","3,197,022.0","3,232,163.0","3,300,615.0","3,326,458.0"
