"","Table 1#5#5# Gross Domestic Product, Expanded Detail","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"51","33","          Other","A937RC1","10,381.0","11,594.0","12,151.0","13,202.0","16,321.0","19,201.0","20,170.0","23,109.0","28,024.0","34,779.0","40,187.0","46,412.0","52,491.0","55,348.0","59,793.0","69,570.0","72,853.0","77,737.0","76,432.0","82,800.0","87,625.0","90,923.0","91,500.0","98,054.0","105,394.0","114,575.0","122,257.0","131,875.0","141,420.0","152,219.0","162,527.0","190,616.0","178,374.0","157,011.0","162,755.0","171,630.0","182,768.0","195,937.0","215,513.0","207,453.0","179,304.0","195,433.0","201,300.0","208,917.0","214,504.0","228,706.0","244,828.0"
"52","34","        Industrial equipment","A680RC1","19,051.0","20,282.0","19,459.0","21,409.0","26,023.0","30,659.0","31,329.0","34,120.0","39,443.0","47,731.0","56,162.0","60,743.0","65,485.0","62,669.0","58,879.0","68,140.0","72,469.0","75,415.0","76,712.0","84,182.0","93,325.0","92,142.0","89,313.0","92,961.0","102,233.0","113,620.0","128,961.0","136,521.0","140,418.0","147,355.0","149,126.0","162,910.0","151,879.0","141,734.0","143,371.0","144,211.0","162,414.0","181,576.0","194,110.0","192,899.0","152,068.0","152,910.0","190,480.0","211,424.0","206,957.0","223,814.0","233,819.0"
"53","35","        Transportation equipment","A681RC1","18,890.0","16,242.0","18,412.0","21,849.0","26,560.0","26,279.0","25,168.0","29,989.0","39,277.0","47,322.0","53,639.0","48,385.0","50,556.0","46,821.0","53,511.0","64,407.0","68,953.0","70,470.0","68,065.0","72,861.0","67,918.0","69,960.0","71,531.0","74,715.0","89,425.0","107,732.0","116,077.0","123,151.0","135,531.0","147,146.0","174,359.0","170,785.0","154,216.0","141,567.0","134,106.0","159,160.0","179,557.0","194,261.0","188,843.0","146,155.0","70,565.0","127,494.0","173,897.0","213,122.0","240,612.0","272,358.0","295,435.0"
"54","36","        Other equipment","A862RC1","14,401.0","15,564.0","16,263.0","18,953.0","22,619.0","24,309.0","27,362.0","29,621.0","36,255.0","43,239.0","47,911.0","48,324.0","55,192.0","51,153.0","50,396.0","58,148.0","59,896.0","60,661.0","63,948.0","69,017.0","80,199.0","80,223.0","70,801.0","71,955.0","80,154.0","88,068.0","94,723.0","100,969.0","112,115.0","125,407.0","130,383.0","138,599.0","139,492.0","139,603.0","150,470.0","162,720.0","185,957.0","197,958.0","199,582.0","194,850.0","165,594.0","174,712.0","196,192.0","224,779.0","228,130.0","232,603.0","224,186.0"
"55","37","      Intellectual property products","Y001RC1","17,151.0","17,947.0","18,680.0","20,581.0","22,685.0","25,516.0","27,811.0","32,187.0","35,816.0","40,358.0","48,068.0","54,353.0","64,773.0","72,671.0","81,340.0","95,053.0","105,326.0","113,541.0","120,117.0","132,677.0","150,117.0","164,429.0","179,131.0","187,674.0","196,913.0","205,704.0","226,838.0","253,305.0","287,957.0","317,661.0","364,042.0","409,545.0","412,612.0","406,350.0","420,916.0","442,149.0","475,130.0","504,568.0","537,913.0","563,418.0","550,924.0","564,348.0","592,197.0","621,736.0","649,913.0","689,952.0","728,622.0"
"56","38","        Software \4\","B985RC1","1,790.0","2,321.0","2,410.0","2,778.0","3,220.0","3,912.0","4,780.0","5,204.0","5,476.0","6,345.0","8,135.0","9,836.0","11,845.0","14,040.0","16,384.0","20,362.0","23,762.0","25,614.0","28,995.0","34,178.0","41,869.0","47,632.0","53,720.0","57,855.0","64,274.0","68,262.0","74,635.0","85,474.0","107,483.0","125,993.0","157,332.0","184,455.0","186,590.0","183,043.0","191,015.0","205,075.0","217,168.0","228,908.0","244,183.0","258,542.0","256,776.0","251,965.0","269,783.0","284,304.0","295,039.0","313,042.0","327,230.0"
"57","39","        Research and development \5\","Y006RC1","10,981.0","11,477.0","11,913.0","12,901.0","14,604.0","16,389.0","17,514.0","19,596.0","21,754.0","24,940.0","29,054.0","34,176.0","39,681.0","44,772.0","49,611.0","56,892.0","63,002.0","66,546.0","69,243.0","75,506.0","82,838.0","89,253.0","96,013.0","98,620.0","99,243.0","101,337.0","112,020.0","123,557.0","134,375.0","143,325.0","155,701.0","169,537.0","171,334.0","165,698.0","167,238.0","172,961.0","188,126.0","204,463.0","223,321.0","237,726.0","229,020.0","240,166.0","249,992.0","262,957.0","279,178.0","298,290.0","319,311.0"
"58","40","        Entertainment, literary, and artistic originals","Y020RC1","4,380.0","4,149.0","4,357.0","4,902.0","4,861.0","5,215.0","5,517.0","7,387.0","8,586.0","9,073.0","10,879.0","10,341.0","13,247.0","13,859.0","15,345.0","17,799.0","18,562.0","21,381.0","21,879.0","22,993.0","25,410.0","27,544.0","29,398.0","31,199.0","33,396.0","36,105.0","40,183.0","44,274.0","46,099.0","48,343.0","51,009.0","55,553.0","54,688.0","57,609.0","62,663.0","64,113.0","69,836.0","71,197.0","70,409.0","67,150.0","65,128.0","72,217.0","72,422.0","74,476.0","75,695.0","78,620.0","82,081.0"
"59","41","    Residential","A011RC1","44,375.0","43,411.0","58,153.0","72,399.0","78,322.0","69,468.0","66,733.0","86,762.0","115,229.0","138,010.0","147,841.0","129,520.0","128,482.0","110,848.0","161,113.0","190,364.0","200,077.0","234,812.0","249,790.0","256,200.0","256,015.0","239,669.0","221,153.0","254,741.0","286,809.0","323,847.0","324,068.0","358,061.0","375,585.0","418,807.0","461,766.0","485,432.0","513,045.0","557,594.0","636,944.0","749,671.0","856,060.0","837,389.0","688,678.0","515,852.0","392,243.0","381,063.0","386,039.0","442,248.0","508,922.0","549,200.0","609,520.0"
"60","42","  Change in private inventories","A014RC1","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,173.0","30,800.0","70,940.0","63,719.0","60,816.0","54,545.0","-38,283.0","18,501.0","19,286.0","63,860.0","59,579.0","66,972.0","34,452.0","-31,996.0","-147,570.0","61,528.0","41,763.0","61,794.0","71,792.0","77,128.0","109,239.0"
"61","43","    Farm","B018RC1","18.0","-838.0","1,661.0","289.0","1,527.0","-2,781.0","3,360.0","-838.0","4,533.0","1,371.0","3,568.0","-6,114.0","8,760.0","5,754.0","-15,355.0","5,728.0","5,754.0","-1,450.0","-6,418.0","-11,877.0","-14.0","2,380.0","-1,275.0","6,262.0","-6,176.0","12,033.0","-11,047.0","8,656.0","3,271.0","1,266.0","-2,730.0","-1,398.0","37.0","-2,497.0","67.0","8,807.0","225.0","-3,577.0","-706.0","1,607.0","-1,602.0","-7,323.0","2,089.0","-19,481.0","11,256.0","5,949.0","6,192.0"
"62","44","    Nonfarm","A015RC1","9,155.0","2,839.0","6,595.0","8,818.0","14,351.0","16,771.0","-9,616.0","17,954.0","17,791.0","24,420.0","14,416.0","-217.0","21,049.0","-20,668.0","9,604.0","59,677.0","16,070.0","8,021.0","33,567.0","30,359.0","27,707.0","12,167.0","881.0","10,066.0","26,990.0","51,751.0","42,220.0","22,144.0","67,669.0","62,453.0","63,546.0","55,943.0","-38,320.0","20,998.0","19,219.0","55,053.0","59,354.0","70,549.0","35,158.0","-33,603.0","-145,968.0","68,851.0","39,674.0","81,274.0","60,536.0","71,178.0","103,046.0"
"63","45","Net exports of goods and services","A019RC1","1,431.0","3,950.0","622.0","-3,372.0","4,111.0","-814.0","15,978.0","-1,631.0","-23,093.0","-25,366.0","-22,546.0","-13,056.0","-12,520.0","-19,974.0","-51,642.0","-102,724.0","-114,019.0","-131,867.0","-144,770.0","-109,392.0","-86,741.0","-77,855.0","-28,615.0","-34,740.0","-65,174.0","-92,486.0","-89,758.0","-96,376.0","-101,970.0","-162,709.0","-256,631.0","-375,795.0","-368,683.0","-426,464.0","-503,655.0","-619,170.0","-721,185.0","-770,947.0","-718,542.0","-723,067.0","-395,436.0","-512,657.0","-579,995.0","-565,662.0","-508,399.0","-529,995.0","-528,906.0"
"64","46","  Exports","B020RC1","51,922.0","59,710.0","62,964.0","70,844.0","95,270.0","126,651.0","138,707.0","149,515.0","159,350.0","186,885.0","230,129.0","280,773.0","305,239.0","283,209.0","276,996.0","302,383.0","303,209.0","321,000.0","363,944.0","444,601.0","504,291.0","551,874.0","594,932.0","633,053.0","654,800.0","720,939.0","812,813.0","867,590.0","953,806.0","952,981.0","991,980.0","1,096,835.0","1,026,713.0","1,002,509.0","1,040,279.0","1,181,507.0","1,308,901.0","1,476,316.0","1,664,625.0","1,841,942.0","1,587,742.0","1,852,335.0","2,106,371.0","2,198,182.0","2,263,254.0","2,341,933.0","2,253,442.0"
"65","47","    Goods","A253RC1","38,744.0","45,038.0","46,197.0","52,587.0","75,772.0","103,495.0","112,491.0","121,484.0","128,411.0","149,909.0","187,266.0","230,429.0","245,206.0","222,550.0","214,048.0","231,289.0","227,487.0","231,448.0","265,555.0","332,055.0","374,752.0","403,265.0","430,137.0","455,310.0","467,725.0","518,372.0","592,443.0","628,784.0","699,889.0","692,566.0","711,723.0","797,256.0","743,835.0","713,161.0","741,420.0","834,384.0","926,583.0","1,049,570.0","1,166,421.0","1,298,804.0","1,065,118.0","1,279,593.0","1,466,862.0","1,525,999.0","1,560,918.0","1,617,989.0","1,504,924.0"
"66","48","    Services","A646RC1","13,178.0","14,672.0","16,767.0","18,257.0","19,498.0","23,156.0","26,216.0","28,031.0","30,939.0","36,976.0","42,863.0","50,344.0","60,033.0","60,659.0","62,948.0","71,094.0","75,722.0","89,552.0","98,389.0","112,546.0","129,539.0","148,609.0","164,795.0","177,743.0","187,075.0","202,567.0","220,370.0","238,806.0","253,917.0","260,415.0","280,257.0","299,579.0","282,878.0","289,348.0","298,859.0","347,123.0","382,318.0","426,746.0","498,204.0","543,138.0","522,624.0","572,742.0","639,509.0","672,184.0","702,336.0","723,944.0","748,518.0"
"67","49","  Imports","B021RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,993.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,248,611.0","1,472,630.0","1,395,396.0","1,428,973.0","1,543,934.0","1,800,677.0","2,030,086.0","2,247,263.0","2,383,167.0","2,565,009.0","1,983,178.0","2,364,992.0","2,686,366.0","2,763,844.0","2,771,653.0","2,871,928.0","2,782,348.0"
"68","50","    Goods","A255RC1","36,813.0","40,855.0","46,550.0","56,934.0","71,843.0","104,520.0","99,000.0","124,632.0","152,630.0","177,410.0","212,788.0","248,571.0","267,815.0","250,541.0","272,677.0","336,316.0","343,294.0","370,006.0","414,769.0","452,124.0","484,793.0","508,072.0","500,723.0","544,929.0","592,762.0","676,813.0","757,448.0","807,448.0","885,656.0","930,751.0","1,051,210.0","1,251,475.0","1,176,696.0","1,199,336.0","1,296,192.0","1,511,563.0","1,719,374.0","1,899,658.0","2,003,771.0","2,149,379.0","1,590,294.0","1,949,814.0","2,244,732.0","2,305,824.0","2,301,877.0","2,388,513.0","2,280,584.0"
"69","51","    Services","B656RC1","13,678.0","14,905.0","15,792.0","17,282.0","19,316.0","22,945.0","23,729.0","26,514.0","29,813.0","34,841.0","39,887.0","45,258.0","49,944.0","52,642.0","55,961.0","68,791.0","73,934.0","82,861.0","93,945.0","101,869.0","106,239.0","121,657.0","122,824.0","122,864.0","127,212.0","136,612.0","145,123.0","156,518.0","170,120.0","184,939.0","197,401.0","221,155.0","218,700.0","229,637.0","247,742.0","289,114.0","310,712.0","347,605.0","379,396.0","415,630.0","392,884.0","415,178.0","441,634.0","458,020.0","469,776.0","483,415.0","501,764.0"
"70","52","Government consumption expenditures and gross investment","A822RC1","240,401.0","254,196.0","269,331.0","288,245.0","306,365.0","343,113.0","382,937.0","405,824.0","435,759.0","477,387.0","525,537.0","590,847.0","654,734.0","710,021.0","765,744.0","825,169.0","908,430.0","974,467.0","1,030,760.0","1,078,168.0","1,151,919.0","1,238,361.0","1,298,163.0","1,345,371.0","1,366,061.0","1,403,740.0","1,452,162.0","1,496,449.0","1,554,159.0","1,613,514.0","1,726,038.0","1,834,428.0","1,958,765.0","2,094,937.0","2,220,849.0","2,357,402.0","2,493,690.0","2,642,194.0","2,801,927.0","3,003,191.0","3,089,091.0","3,174,026.0","3,168,743.0","3,158,586.0","3,114,247.0","3,152,106.0","3,183,390.0"
"71","53","  Federal","A823RC1","131,146.0","132,749.0","134,409.0","141,521.0","145,565.0","158,128.0","172,772.0","183,753.0","198,795.0","216,707.0","237,733.0","272,364.0","311,729.0","345,614.0","380,191.0","407,620.0","449,276.0","478,377.0","500,219.0","508,819.0","531,380.0","560,019.0","580,738.0","586,605.0","578,383.0","572,690.0","575,360.0","578,210.0","582,401.0","584,096.0","610,427.0","632,433.0","669,236.0","740,604.0","824,808.0","892,379.0","946,320.0","1,001,989.0","1,049,772.0","1,155,606.0","1,217,685.0","1,303,864.0","1,303,451.0","1,292,526.0","1,230,641.0","1,219,854.0","1,224,629.0"
"72","54","    National defense","A824RC1","102,070.0","100,713.0","97,991.0","100,638.0","102,041.0","109,199.0","116,971.0","123,786.0","132,845.0","143,023.0","157,785.0","180,963.0","211,186.0","242,784.0","269,346.0","294,660.0","325,960.0","349,188.0","369,943.0","379,614.0","388,639.0","402,759.0","411,952.0","404,718.0","390,067.0","380,316.0","376,049.0","376,548.0","371,434.0","367,702.0","382,716.0","391,702.0","412,726.0","456,844.0","519,884.0","570,230.0","608,254.0","642,390.0","678,726.0","754,127.0","788,276.0","832,766.0","836,938.0","817,819.0","767,677.0","748,236.0","740,778.0"
"73","55","      Consumption expenditures","A997RC1","82,620.0","81,789.0","82,338.0","84,362.0","84,277.0","88,835.0","94,334.0","98,172.0","104,923.0","112,983.0","122,940.0","140,789.0","162,942.0","184,598.0","199,577.0","213,602.0","230,544.0","245,782.0","259,180.0","274,166.0","283,473.0","295,432.0","310,642.0","307,546.0","300,844.0","294,542.0","291,089.0","291,545.0","292,468.0","288,460.0","301,226.0","308,297.0","325,059.0","358,098.0","408,923.0","446,791.0","475,918.0","500,319.0","526,072.0","582,787.0","613,288.0","653,213.0","662,276.0","653,921.0","614,409.0","599,765.0","595,933.0"
"74","56","      Gross investment","A788RC1","19,450.0","18,924.0","15,653.0","16,276.0","17,764.0","20,364.0","22,637.0","25,614.0","27,922.0","30,040.0","34,845.0","40,174.0","48,244.0","58,186.0","69,769.0","81,058.0","95,416.0","103,406.0","110,763.0","105,448.0","105,166.0","107,327.0","101,310.0","97,172.0","89,223.0","85,774.0","84,960.0","85,003.0","78,966.0","79,242.0","81,490.0","83,405.0","87,667.0","98,746.0","110,961.0","123,439.0","132,336.0","142,071.0","152,654.0","171,340.0","174,988.0","179,553.0","174,662.0","163,898.0","153,268.0","148,471.0","144,845.0"
"75","57","    Nondefense","A825RC1","29,076.0","32,036.0","36,418.0","40,883.0","43,524.0","48,929.0","55,801.0","59,967.0","65,950.0","73,684.0","79,948.0","91,401.0","100,543.0","102,830.0","110,845.0","112,960.0","123,316.0","129,189.0","130,276.0","129,205.0","142,741.0","157,260.0","168,786.0","181,887.0","188,316.0","192,374.0","199,311.0","201,662.0","210,967.0","216,394.0","227,711.0","240,731.0","256,510.0","283,760.0","304,924.0","322,149.0","338,066.0","359,599.0","371,046.0","401,479.0","429,409.0","471,098.0","466,513.0","474,707.0","462,964.0","471,617.0","483,851.0"
"76","58","      Consumption expenditures","A542RC1","17,803.0","20,503.0","24,273.0","27,810.0","29,636.0","33,631.0","38,591.0","40,832.0","44,674.0","48,982.0","53,049.0","61,322.0","68,358.0","71,060.0","78,276.0","78,428.0","86,207.0","90,711.0","88,592.0","86,670.0","96,690.0","106,383.0","113,299.0","122,665.0","126,856.0","132,789.0","136,570.0","136,873.0","146,228.0","147,973.0","154,344.0","166,760.0","180,332.0","202,229.0","219,531.0","234,582.0","247,523.0","263,621.0","272,278.0","297,035.0","320,414.0","350,692.0","343,785.0","353,913.0","346,870.0","355,512.0","364,684.0"
"77","59","      Gross investment","A798RC1","11,273.0","11,533.0","12,145.0","13,073.0","13,888.0","15,298.0","17,210.0","19,135.0","21,276.0","24,702.0","26,899.0","30,079.0","32,185.0","31,770.0","32,569.0","34,532.0","37,109.0","38,478.0","41,684.0","42,535.0","46,051.0","50,877.0","55,487.0","59,222.0","61,460.0","59,585.0","62,741.0","64,789.0","64,739.0","68,421.0","73,367.0","73,971.0","76,178.0","81,531.0","85,393.0","87,567.0","90,543.0","95,978.0","98,768.0","104,444.0","108,995.0","120,406.0","122,728.0","120,794.0","116,094.0","116,106.0","119,166.0"
"78","60","  State and local","A829RC1","109,255.0","121,447.0","134,922.0","146,724.0","160,800.0","184,985.0","210,165.0","222,071.0","236,964.0","260,680.0","287,804.0","318,483.0","343,005.0","364,407.0","385,553.0","417,549.0","459,154.0","496,090.0","530,541.0","569,349.0","620,539.0","678,342.0","717,425.0","758,766.0","787,678.0","831,050.0","876,802.0","918,239.0","971,758.0","1,029,418.0","1,115,611.0","1,201,995.0","1,289,529.0","1,354,333.0","1,396,041.0","1,465,023.0","1,547,370.0","1,640,205.0","1,752,155.0","1,847,585.0","1,871,406.0","1,870,162.0","1,865,292.0","1,866,060.0","1,883,606.0","1,932,253.0","1,958,762.0"
"79","61","    Consumption expenditures","A991RC1","80,438.0","92,111.0","104,211.0","115,382.0","126,811.0","144,485.0","165,615.0","177,180.0","193,005.0","209,856.0","229,448.0","252,784.0","276,089.0","297,414.0","316,726.0","339,961.0","371,807.0","399,890.0","428,347.0","458,937.0","501,325.0","546,179.0","580,130.0","619,042.0","646,476.0","682,237.0","716,823.0","748,080.0","785,931.0","835,680.0","902,002.0","969,116.0","1,039,740.0","1,091,037.0","1,127,138.0","1,187,569.0","1,256,607.0","1,325,906.0","1,411,371.0","1,488,743.0","1,508,360.0","1,518,304.0","1,524,800.0","1,536,316.0","1,560,691.0","1,600,990.0","1,611,362.0"
"80","62","    Gross investment","A799RC1","28,818.0","29,336.0","30,711.0","31,342.0","33,988.0","40,500.0","44,550.0","44,891.0","43,960.0","50,825.0","58,356.0","65,699.0","66,916.0","66,993.0","68,827.0","77,588.0","87,347.0","96,200.0","102,194.0","110,412.0","119,214.0","132,163.0","137,295.0","139,723.0","141,203.0","148,812.0","159,979.0","170,159.0","185,827.0","193,738.0","213,609.0","232,878.0","249,789.0","263,295.0","268,902.0","277,455.0","290,762.0","314,298.0","340,784.0","358,842.0","363,046.0","351,858.0","340,492.0","329,745.0","322,916.0","331,263.0","347,400.0"
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2. Gross output is net of unrelated sales, secondary sales, and sales to business, to government, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","to the rest of the world; excludes own-account investment (construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","3. Excludes unrelated sales, secondary sales, and sales to business, to government, and to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","4. Excludes software embedded, or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","5. Research and development investment excludes expenditures for software development. Software development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","expenditures are included in software investment on line 38.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
