"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"50","30","  Net domestic product","A362RC1","895,015.0","939,101.0","1,018,905.0","1,121,552.0","1,250,469.0","1,342,657.0","1,451,386.0","1,618,378.0","1,797,617.0","2,031,508.0","2,261,010.0","2,436,498.0","2,725,910.0","2,810,675.0","3,077,591.0","3,446,359.0","3,710,081.0","3,907,992.0","4,142,265.0","4,470,242.0","4,821,583.0","5,092,760.0","5,242,918.0","5,579,574.0","5,875,120.0","6,253,183.0","6,541,277.0","6,924,181.0","7,368,560.0","7,778,897.0","8,259,763.0","8,770,539.0","9,017,845.0","9,315,446.0","9,783,450.0","10,443,229.0","11,111,770.0","11,719,869.0","12,213,285.0","12,355,209.0","12,050,357.0","12,582,781.0","13,067,283.0","13,621,047.0","14,030,328.0","14,601,363.0","15,125,668.0"
"51","31","  Net domestic income","W256RC1","893,405.0","933,756.0","1,009,422.0","1,114,418.0","1,244,361.0","1,335,249.0","1,438,144.0","1,597,920.0","1,778,361.0","2,008,358.0","2,216,222.0","2,392,567.0","2,689,197.0","2,803,902.0","3,023,429.0","3,407,697.0","3,658,824.0","3,831,246.0","4,101,710.0","4,470,715.0","4,757,405.0","5,001,403.0","5,154,539.0","5,468,671.0","5,722,786.0","6,116,364.0","6,450,718.0","6,867,612.0","7,356,268.0","7,839,046.0","8,297,268.0","8,870,012.0","9,132,830.0","9,388,224.0","9,797,074.0","10,451,814.0","11,147,251.0","11,937,151.0","12,195,792.0","12,255,810.0","11,975,030.0","12,533,573.0","13,105,616.0","13,824,305.0","14,207,973.0","14,813,399.0","15,332,627.0"
"52","32","  Net national factor income \4\","X032RC1","815,395.0","850,355.0","918,739.0","1,018,061.0","1,141,454.0","1,225,069.0","1,315,668.0","1,467,074.0","1,641,342.0","1,860,450.0","2,067,043.0","2,227,276.0","2,486,219.0","2,598,974.0","2,799,168.0","3,147,496.0","3,362,049.0","3,511,801.0","3,766,474.0","4,110,615.0","4,365,817.0","4,595,686.0","4,709,794.0","4,996,812.0","5,238,180.0","5,574,961.0","5,895,802.0","6,284,335.0","6,735,050.0","7,173,834.0","7,612,040.0","8,148,260.0","8,411,358.0","8,627,955.0","9,025,093.0","9,643,839.0","10,278,689.0","10,990,994.0","11,259,276.0","11,345,299.0","11,054,034.0","11,632,715.0","12,202,682.0","12,902,488.0","13,239,099.0","13,811,665.0","14,244,228.0"
"53","33","  Net domestic purchases","W367RC1","893,584.0","935,151.0","1,018,283.0","1,124,924.0","1,246,358.0","1,343,471.0","1,435,408.0","1,620,009.0","1,820,710.0","2,056,874.0","2,283,556.0","2,449,554.0","2,738,430.0","2,830,649.0","3,129,233.0","3,549,083.0","3,824,100.0","4,039,859.0","4,287,035.0","4,579,634.0","4,908,324.0","5,170,615.0","5,271,533.0","5,614,314.0","5,940,294.0","6,345,669.0","6,631,035.0","7,020,557.0","7,470,530.0","7,941,606.0","8,516,394.0","9,146,334.0","9,386,528.0","9,741,910.0","10,287,105.0","11,062,399.0","11,832,955.0","12,490,816.0","12,931,827.0","13,078,276.0","12,445,793.0","13,095,438.0","13,647,278.0","14,186,709.0","14,538,728.0","15,131,358.0","15,654,574.0"
"54","34","  Statistical discrepancy as a percentage of GDP","SB0000081","0.2","0.5","0.8","0.6","0.4","0.5","0.8","1.1","0.9","1.0","1.7","1.5","1.1","0.2","1.5","1.0","1.2","1.7","0.8","0.0","1.1","1.5","1.4","1.7","2.2","1.9","1.2","0.7","0.1","-0.7","-0.4","-1.0","-1.1","-0.7","-0.1","-0.1","-0.3","-1.6","0.1","0.7","0.5","0.3","-0.2","-1.3","-1.1","-1.2","-1.2"
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately; subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","are included net of the current surplus of government enterprises in line 18.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2. The arithmetic average of gross domestic product and of gross domestic income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","3. Consists of compensation of employees, proprietors' income with inventory valuation adjustment (IVA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","and capital consumption adjustment (CCAdj), rental income of persons with CCAdj, corporate profits with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","IVA and CCAdj, net interest and miscellaneous payments, and consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","4. Consists of gross national factor income less consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
