"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"118","100","      Education services","DTEDRX1","213,808.0","221,295.0","225,384.0","220,307.0","218,826.0","214,333.0","214,202.0","216,368.0","219,462.0","220,463.0","219,859.0","224,950.0","225,175.0","220,877.0","218,075.0","217,551.0"
"119","101","        Higher education (97)","DHEDRX1","134,750.0","140,370.0","144,257.0","141,668.0","142,723.0","140,676.0","141,561.0","143,233.0","144,494.0","145,159.0","146,658.0","150,445.0","150,233.0","147,358.0","145,176.0","143,448.0"
"120","102","        Nursery, elementary, and secondary schools (98)","DNEHRX1","40,098.0","39,872.0","40,010.0","39,287.0","38,192.0","37,175.0","36,300.0","36,014.0","36,178.0","35,767.0","34,815.0","33,981.0","34,356.0","33,986.0","33,604.0","33,198.0"
"121","103","        Commercial and vocational schools (99)","DVEDRX1","38,488.0","40,647.0","40,825.0","39,118.0","37,841.0","36,467.0","36,371.0","37,150.0","38,781.0","39,523.0","38,386.0","40,523.0","40,591.0","39,544.0","39,315.0","40,979.0"
"122","104","      Professional and other services (121)","DPRSRX1","161,768.0","162,727.0","166,044.0","166,306.0","172,366.0","172,041.0","171,812.0","172,823.0","174,929.0","172,073.0","161,543.0","158,235.0","157,955.0","156,873.0","155,328.0","157,127.0"
"123","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRX1","103,186.0","108,250.0","107,667.0","109,297.0","112,492.0","117,265.0","119,506.0","120,756.0","120,383.0","117,746.0","109,887.0","112,549.0","116,181.0","118,811.0","121,384.0","128,157.0"
"124","106","      Social services and religious activities (120)","DSOCRX1","99,737.0","104,036.0","110,124.0","112,849.0","116,096.0","119,618.0","122,252.0","125,411.0","129,584.0","131,895.0","133,185.0","136,370.0","137,456.0","139,115.0","142,039.0","145,574.0"
"125","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRX1","61,668.0","63,636.0","60,844.0","59,070.0","60,566.0","63,700.0","64,144.0","64,579.0","66,406.0","65,980.0","60,332.0","58,479.0","60,670.0","62,679.0","64,697.0","67,722.0"
"126","108","      Net foreign travel","DFORRX1","-33,592.0","-26,741.0","-14,154.0","-12,416.0","-8,121.0","-5,465.0","-8,684.0","-4,735.0","-17,128.0","-27,538.0","-23,509.0","-33,276.0","-38,577.0","-34,923.0","-39,623.0","-31,347.0"
"127","109","        Foreign travel by U.S. residents (129)","DFTRRX1","90,797.0","102,070.0","96,519.0","92,045.0","91,604.0","104,409.0","106,353.0","109,400.0","107,201.0","105,544.0","98,779.0","101,831.0","102,699.0","111,788.0","115,321.0","124,372.0"
"128","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRX1","124,389.0","128,811.0","110,673.0","104,461.0","99,725.0","109,875.0","115,038.0","114,135.0","124,329.0","133,082.0","122,288.0","135,107.0","141,277.0","146,711.0","154,944.0","155,719.0"
"129","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1","150,098.0","162,643.0","176,070.0","194,166.0","206,318.0","210,320.0","209,946.0","236,607.0","242,909.0","273,598.0","276,017.0","278,284.0","275,181.0","294,361.0","299,849.0","305,789.0"
"130","112","    Gross output of nonprofit institutions (133) \2\","DNPERX1","777,738.0","807,254.0","845,853.0","896,040.0","914,422.0","938,378.0","961,660.0","999,078.0","1,022,197.0","1,055,206.0","1,072,564.0","1,086,020.0","1,097,052.0","1,129,094.0","1,142,811.0","1,158,716.0"
"131","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRX1","638,548.0","653,495.0","676,959.0","706,713.0","710,687.0","730,999.0","755,626.0","764,112.0","780,883.0","781,544.0","796,547.0","807,713.0","821,586.0","835,155.0","843,539.0","853,635.0"
"132","114","Residual","A965RX1","-177,100.0","-138,500.0","-123,600.0","-96,200.0","-73,300.0","-47,400.0","-29,900.0","-18,700.0","-5,000.0","-5,700.0","-100.0","-4,200.0","-17,500.0","-328,374.0","-360,073.0","-378,698.0"
"133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","2. Gross output is net of unrelated sales, secondary sales, and sales to business, government, and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","rest of the world; excludes own-account investment (construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","3. Excludes unrelated sales, secondary sales, and sales to business, government, and the rest of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Note.The figures in parentheses are the line numbers of the corresponding items in table 2.5.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","are usually not additive. The residual line is the difference between the first line and the sum of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
