"","Table 7#20# Chain-Type Quantity and Price Indexes for Personal C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"45","    Electricity (s.)","37","BELCRA",2.32,2.57,2.72,2.76,2.72,2.91,3.12,3.35,3.61,3.88,4.13,4.48,4.78,5.07,5.22,5.63,6,6.95,7.8,8.76,9.77,11.11,12.33,13.53,14.77,16.1,17.3,18.77,20.12,21.25,22.57,23.87,25.04,26.68,28.07,29.79,31.39,33.46,35.51,38.14,40.71,43.45,45.36,48.41,51.37,52.63,56.15,58.78,64.15,67.25,68.5,71.54,71.07,71.58,76.03,76.65,79.26,80.04,83.77,87.32,88.55,89.18,91.76,90.17,95.74,97.16,99.16,100,100.17,107.01,108.3,111.91,108.46
"46","    Gas (s.)","38","BNGSRA",11.64,12.28,12.42,12.28,11.53,11.59,11.83,12.2,12.62,12.32,12.55,13.46,13.67,14.84,15.6,16.11,17.25,18.78,21.35,22.97,23.73,26.99,30.79,32.96,34.62,38.49,41.64,45.65,47.84,50.44,53.15,55.82,58.89,63.26,65.92,68.73,71.4,74.21,77.81,80.23,84.1,85.23,85.95,89.53,86.7,85.5,88.28,89.38,86.4,89.38,87.97,87.63,84.31,86.3,83.77,83.96,85.06,80.41,81.01,86.78,90.18,83.28,86.49,88.88,92.62,90.69,92.49,100,96.26,88.54,89.16,92.86,93.8
"47","    Water and other sanitary services (s.)","39","BWATRA",12.68,13.48,13.48,13.06,13.85,15.27,15.04,15.75,15.99,15.8,16.76,17.12,17.75,18.3,18.63,18.95,19.11,20.37,21.05,21.77,22.61,23.18,24,24.45,25.04,25.4,25.47,26.47,26.23,25.22,27.44,30.13,31.55,33.61,36.78,38.39,40.05,40.48,40.73,42.21,45.14,47.95,48.78,53.01,55.66,58.17,58.85,58.2,58.32,59.01,62.93,65.8,65.44,65,67.4,71.96,77.05,81.83,85.34,87.47,90.73,91.09,89.77,88.09,91.75,95.01,97.7,100,102.13,102.43,105.63,107.88,109.02
"48","    Fuel oil and coal (n.d.)","40","B171RA",134.54,131.45,119.3,114.17,120.1,124.11,128.76,139.26,137.87,127.93,138.6,149.21,153.8,158.07,161.04,159.41,170.25,183.12,192.87,193.81,170.97,183.72,183.31,178.15,172.17,175.53,186.54,186.92,185.34,192.39,183.79,176.01,167.57,167.18,175.43,182.31,190.86,196.4,196.49,186.04,176.29,164.02,158.43,174.2,189.13,149.24,146.46,164.51,159.24,158,146.81,113.5,95.23,88.35,88.48,88.12,89.17,92.47,91.26,94.67,92.38,83.88,83.07,85.03,89.95,96.28,101.03,100,96.18,91.96,94.11,90.05,81.16
"49","  Telephone and telegraph (s.)","41","BTELRA",1.76,1.77,1.7,1.47,1.34,1.38,1.48,1.61,1.73,1.73,1.84,1.96,2.21,2.48,2.84,3.05,3.31,3.59,3.78,4.1,4.33,4.52,4.94,5.32,5.69,6.01,6.67,7.19,7.7,7.98,8.39,8.91,9.49,10.05,10.86,11.68,12.92,14.27,15.41,16.75,18.4,19.77,20.63,22,24.4,25.71,28.42,30.68,32.99,36.12,39.07,41.17,42.06,43.39,44.98,45.29,48.49,50.39,54.37,57.66,61.63,64.48,67.41,74.65,78.46,85.13,90.71,100,107.88,117.67,130.95,145.34,155.79
"50","  Domestic service (s.)","42","BDMSRA",223.56,208.57,185.41,158.98,150.99,171.06,178.97,190.51,201.24,183.49,196.81,206.48,195.03,198.69,164.8,157.28,155.5,143.37,153.35,150.74,150.3,163.67,161.04,148.07,145.38,137.11,162.4,169.83,166.45,170.35,166.26,167.38,162.62,161.45,159.34,157.66,152.54,146.41,146.97,139.79,132.29,123.86,118.3,114.61,111.5,96.88,90.89,94.26,97.14,98.16,87.08,77.13,71.41,71.6,71.18,80.34,77.8,81.49,80.27,84.66,89.76,93.01,86.45,93.1,95.29,97.44,100.67,100,99.5,111.5,101,104.01,91.44
"51","  Other (s.) \10\","43","BOPORA",13.24,13.37,13.34,11.84,10.94,11.31,11.86,13.03,13.73,14.5,15.07,15.25,16.42,18.02,20.02,22.57,24.72,24.93,24.82,25.52,24.98,26.5,27.7,28.35,29.97,30.27,32.04,33.71,34.85,35.61,37.52,39.03,39.74,41.05,40.89,43.65,46.45,50.63,53.25,53.71,55.68,55.89,54.76,57.9,61.41,61,60.74,63.17,68.85,71.99,76.06,75.95,75.25,71.03,74.26,80.28,83.38,89.35,93.74,93.03,94.5,97.09,90.46,83.49,91.06,96.15,100.15,100,107.99,112.13,115.74,115.47,115.41
"52","Medical care","44","A536RA",5.17,5.03,4.87,4.53,4.28,4.54,4.62,4.93,5.16,5.11,5.42,5.6,6,6.43,6.8,7.26,7.5,8.58,9.24,10.02,10.4,11.06,11.79,12.36,12.98,13.61,14.16,15.17,16.06,16.98,18.18,18.92,19.86,21.64,22.97,25.18,26.34,27.62,28.62,31.01,33.37,35.6,37.89,40.57,43.5,45.31,47.46,49.59,51.81,54.16,56.67,58.73,61.47,62.24,64.84,66.99,69.65,72.53,76.3,79.97,82.47,86.62,89.06,92.41,93.78,95.16,97.37,100,103.32,106.75,110,113.91,119.08
"53","  Drug preparations and sundries (n.d.) \11\","45","BDRGRA",2.93,2.77,2.56,2.32,2.32,2.65,2.76,2.96,3.22,3.31,3.52,3.66,4.13,4.71,5.6,5.88,6.19,6.78,6.48,6.83,7.13,7.79,8.65,8.94,9.22,9.26,10.02,11.04,12,12.44,13.46,14.84,16.6,18.4,19.62,20.38,21.25,22.22,23.74,26.22,28.41,32.03,33.54,36.39,39.17,41.42,41.69,43.01,43.83,47.27,51.72,54.3,55.96,56.24,58.94,61.88,63.79,66.39,69.32,72.4,76.08,79.99,81.4,81.94,84.46,88.13,93.79,100,108.62,117.28,128.96,140.18,151.85
"54","  Ophthalmic products and orthopedic appliances (d.)","46","BOPTRA",4.28,4.38,3.86,3.22,3.33,4.48,4.73,5.08,5.96,5.67,6.14,6.59,8,9.03,10.4,11.03,11.42,12.68,12.34,12.77,13.03,13.83,14.82,15.56,16.42,16.36,16.04,17.49,17.31,16.87,16.13,15.35,15.03,18.05,18.91,20.17,21.5,23.36,20.87,23.46,26.03,28.23,26.96,29.65,31.57,31.93,32.93,32.97,33.09,34.25,35.91,35.25,34.71,35.63,39.2,45.39,51.28,57.84,63.71,74.87,79.62,91.91,81.27,80.91,81.97,89.2,91.15,100,107.38,113.52,117.55,121.48,110.69
"55","  Physicians (s.)","47","BPHYRA",10.02,9.44,9.03,8.47,7.87,8.38,8.5,9.34,9.57,9.01,9.44,9.61,9.88,10.25,9.81,11.15,11.28,14.2,15.8,17.5,17.57,18.23,19,19.63,20.42,21.99,21.83,22.95,24.08,26.08,27.23,27.71,27.9,29.78,31.02,35.56,35.99,35.98,37.29,38.42,40.64,42.69,43.8,46.08,49.49,50.05,51.56,50.86,53.45,54.12,56.12,59,62.68,62.71,65.87,68.92,72.61,75,81.49,86.79,88.36,92.08,94.13,97.47,95.5,95.15,97.32,100,103.46,106.99,109.85,114.54,121.59
"56","  Dentists (s.)","48","BDENRA",17.22,16.09,15.33,13.92,12.42,12.93,12.34,13.31,13.6,13.28,14.55,15.19,16.46,16.98,16.95,16.69,17.32,20.35,19.3,21.26,20.87,21.59,21.94,23.51,24.98,27.37,28.77,30.13,31.65,32.75,32.83,33.48,34.73,36.26,35.85,40.62,41.74,42.6,45.77,47.66,51.76,55.21,54.71,57.75,65.31,66.89,68.62,72.49,74.97,77.34,77.31,77.23,82.78,82.79,84.28,85.11,87.7,89.16,92.28,91.8,92.33,92.65,90.71,93.95,94.72,97.3,100.63,100,102.49,104.37,105.67,108.64,112.44
"57","  Other professional services (s.) \12\","49","BOPSRA",3.34,3.05,2.85,2.52,2.26,2.28,2.25,2.4,2.41,2.24,2.34,2.34,2.35,2.46,2.36,2.63,2.8,3.41,3.74,4.12,4.12,4.26,4.37,4.41,4.55,4.79,4.75,5,5.34,5.85,7.92,8.96,10.03,11.94,13.7,15.83,17.57,17.93,14.39,15.14,14.39,14.33,14.2,15.28,17.71,18.58,20.11,22.13,23.4,24.43,25.86,26.21,28.95,28.66,33.12,37.16,40.28,43.79,47.84,52.65,56.83,65.86,71.66,79.04,85.54,89.8,95.99,100,101.19,103.68,105.69,107.36,111.9
"58","  Hospitals and nursing homes \13\","50","BPHORA",4.14,4.58,4.84,4.83,4.6,4.5,4.62,4.68,4.83,5.07,5.25,5.43,5.5,5.86,6.2,6.36,6.44,6.86,6.89,7.32,7.81,8.33,8.51,9.16,9.68,10.32,11.01,11.86,12.6,13.69,14.95,15.36,16.07,17.46,18.84,20.19,21.36,23.69,26.24,29.52,32.73,34.91,39.63,42.73,44.98,47.44,50.54,53.93,56.63,60.02,62.49,64.93,67.69,69.77,71.85,72.5,74.16,77.03,79.19,81.8,84.01,87.14,90.21,93.25,95.04,96.12,97.64,100,102.63,104.97,106.99,109.37,113.59
"59","    Hospitals","51","A2601A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.55,17.71,18.51,20.19,21.6,22.64,24.19,26.55,29.12,32.44,35.23,37.27,41.72,45.12,47.32,49.64,52.81,56.36,58.9,62.51,64.98,67.3,70.2,72.59,74.35,74.52,75.83,78.51,80.85,83.16,84.85,87.21,90.2,93.28,95.27,96.59,97.68,100,102.03,104.32,107.07,109.86,115.03
"60","      Nonprofit (s.)","52","B2602A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.07,17.71,18.61,20.05,21.59,22.54,23.78,25.88,28.16,31.03,34.05,36.28,40.27,43.07,44.84,47.34,50.77,54.21,57.04,60.51,62.23,64.85,67.56,70,72.02,72.53,73.39,75.98,78.84,81.94,84.75,88.58,92.37,96.47,98.66,99.03,98.9,100,101.81,104.18,107.63,109.98,114.34
"61","      Proprietary (s.)","53","B2603A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4,18.38,19.34,20.83,22.49,23.32,24.67,26.84,29.34,32.18,35.37,37.66,41.87,44.68,46.71,49.35,52.99,56.48,59.2,63.56,67.23,70.16,73.01,76.27,77.47,80.32,85.22,90.75,94.09,96,95.45,94.54,93.71,91.44,87.94,88.78,93.28,100,106.5,106.59,106.15,109.24,120.42
"62","      Government (s.)","54","B2604A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.52,17.04,17.28,20.14,20.79,22.32,25.32,28.88,32.73,38.19,39.71,40.77,47.3,53.57,57.68,59.01,60.73,64.73,65.85,69.6,74.75,75.38,79.13,80.81,81.84,79.28,80.44,82.06,81.96,81.67,80.69,79.93,82.39,85.17,89.41,93.69,96.51,100,100.39,103.56,105.88,109.81,114.34
"63","    Nursing homes (s.)","55","B2605A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.94,5.32,5.63,5.79,7.03,9.56,9.17,11.3,13.66,16.7,21.5,24.13,29.76,31.57,33.96,36.9,39.58,42.21,45.53,47.88,50.28,53.19,55.26,55.91,59.44,62.39,65.74,69.46,70.75,74.86,79.7,86.82,90.27,93.11,93.78,93.63,97.43,100,105.71,108.26,106.73,107.12,106.76
"64","  Health insurance","56","BHINRA",3.03,3.05,3.23,2.95,2.59,2.59,2.73,2.83,3.08,3.31,3.75,4.04,4.82,5.15,5.94,6.89,7.35,7.73,14.69,16.56,19.15,21.83,27.53,28.66,31.01,30.63,32.98,35.88,37.8,36.78,37.94,38.99,40.22,42.52,44.39,47.54,50.1,51.38,50.46,55,58.44,62.64,64.19,68.24,71.57,75.49,79.76,84.42,87.77,89.85,96.18,98.83,96.82,93.52,91.98,95.12,100.86,103.69,110.39,114.17,115.83,116.8,117.86,120.71,117.21,112.86,104.15,100,102.15,106.16,108.45,112.85,114.01
"65","    Medical care and hospitalization (s.) \14\","57","BMINRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.75,29.52,30.47,32.22,33.64,36.01,37.95,38.93,38.23,39.71,42.39,44.42,45.77,48.77,51.72,54.89,61.77,64.95,66.46,68.78,73.11,78.35,82.4,84.27,84.75,86.6,91.63,94.79,99.97,103.21,104.87,105.75,107.16,110.42,109.62,109.56,103.91,100,102.99,105.66,109.09,113.28,113.78
"66","    Income loss (s.) \15\","58","BIINRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.94,68.84,71.01,75.03,78.38,83.92,88.52,90.7,89.14,106.14,109.25,119,116.37,120.84,120.27,123.19,117.72,117.44,114.73,117.13,133.75,133.78,109.82,94.11,73.76,75.69,82.06,73.55,83.66,84.01,83.76,82.91,76.53,88.83,91.28,93.66,97.93,100,93.26,92.89,95.55,100.4,106.3
"67","    Workers' compensation (s.) \16\","59","BPWCRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.43,47.73,49.19,52.03,54.26,58.21,61.29,62.87,61.71,66.95,72.75,79.89,85.45,93.5,102.47,110.9,115.36,138.66,168.59,167.3,169.73,160.9,146.33,128.91,136.16,155.76,165.01,193.74,205.21,220.25,224.23,229.26,236.33,207.31,167.53,131.94,105.88,100,99.24,111.61,105.1,111.28,117.97
"68","Personal business","60","B479RA",17.24,15.86,15.42,14.64,15.35,14.6,15.83,16.24,16.79,16.26,16.6,16.55,16.68,16.08,16.26,15.75,15.89,16.87,17.53,17.78,17.68,18.62,19.02,18.85,19.4,20.26,21.1,21.38,22.02,23.08,23.72,24.42,25.69,25.62,26.6,28.09,30.05,31.47,32.94,34.32,34.6,35.58,36.66,38.18,40.24,40.4,42.23,47.2,50.43,53.75,55.39,55.8,55.54,57.94,63.12,65.27,70.68,74.41,77.23,79.42,81.66,83.47,87.03,88.2,93.06,95.28,97.53,100,106.2,111.32,118.16,126.4,126.43
"69","  Brokerage charges and investment counseling (s.)","61","BBRORA",63.21,41.93,29.71,24.19,37.87,19.06,23.38,25.59,23.58,16.56,14.36,12.01,9.92,7.74,11.29,11.09,14.75,13.44,11.11,11.07,9.74,14.77,12.78,10.57,9.9,12.6,12.56,10.59,10.3,11.65,15.04,12.97,17.6,13.91,13.08,14.6,18.02,19.59,24.2,23.23,18.53,14.29,15.14,14.9,12.14,9.91,11.36,13.34,13.19,13.15,14.05,15.81,14.43,17.31,26.54,27.41,32.68,40.98,47.82,40.15,44.49,44.19,49.73,57.49,69.81,75.39,83.44,100,116.86,139.55,185.02,228.71,199.31
"70","  Bank service charges, trust services, and safe deposit box rental (s.)","62","BBNKRA",6.8,5.41,4.93,4.08,4.39,5.07,5.15,5.41,5.39,4.97,5.22,5.28,5.61,5.87,6.64,7.35,7.96,7.93,7.5,7.71,7.92,9.27,10.03,10.47,11.15,11.9,12.69,12.45,12.86,13.12,13.7,14.17,14.55,15.02,15.29,16.6,18.4,20.29,21.94,23.06,24.98,26.14,27.4,29.72,33.29,37.18,36,37.41,40.42,43,46.34,51.37,56.73,61.24,60.01,63.71,69.55,76.51,78.73,80.11,83.86,85.01,86.88,90.36,94.12,92.58,94.34,100,106.4,120.34,132.35,137.09,141.46
"71","  Services furnished without payment by financial intermediaries except life insurance carriers (s.)","63","BIMPRA",11.34,11,10.98,9.7,8.21,7.93,8.84,9.46,10.18,9.89,10.24,10.21,10.72,10.62,9.26,8.79,9.24,11.7,12.63,12.84,12.63,12.89,13.15,13.54,14.34,15.05,15.68,15.88,15.91,16.94,17.2,18.02,18.22,18.45,19.77,20.81,21.41,22.2,23.44,25.35,26.59,28.65,30.73,32.81,35.92,35.65,38.31,44.58,49.52,53.26,55.47,53.33,51.59,53.84,64.26,66.41,71.85,76.39,81.52,82.72,83.31,87.13,88.83,88.61,92.2,97.36,98.24,100,106.45,110.5,113.81,124.28,128.47
"72","  Expense of handling life insurance and pension plans (s.) \17\","64","BLIFRA",16.86,17.91,18.92,20.81,22.06,21.61,23.76,23.05,22.96,23.23,23.82,23.6,23.02,21,20.72,20.12,19.32,19.44,22.4,22.65,22.56,23.58,23.99,23.85,24.35,25.01,26.89,29.52,30.91,31.68,29.59,31.99,32.46,32.87,34.11,36.89,39.96,39.87,38.85,40.59,41.66,43.81,42.81,44.35,47.89,49.68,53.1,60.32,63.47,68.21,71.37,75.61,77.57,82.4,79.93,82.26,87.34,84,77.94,86.32,88.81,87.6,100.09,97.02,104.47,102.15,107.03,100,104.16,100.58,101.24,100.94,98.78
"73","  Legal services (s.)","65","BGALRA",25.09,24.5,26.51,23.79,24.53,26.55,27.44,27.39,28.18,28.03,29.3,29.66,30.56,30.89,29.91,28.22,27.34,29.89,29.2,31.53,32.71,32.65,33.93,32.83,33.04,34.73,35.08,33.13,35.15,37.79,41.1,40.99,45.5,47.34,50.66,50.94,52.34,57.35,57.46,58.23,59.17,63.11,64.36,64.54,68.03,69.53,67.58,69.64,71.88,77.1,75.08,74.49,77.54,75.91,73.27,76.11,81.8,85.31,89.39,96.67,99.26,100.77,97.4,99.72,99.12,98.31,96.48,100,102.61,104.87,106.22,105.62,108.12
"74","  Funeral and burial expenses (s.)","66","BFUNRA",62.18,59.68,58.5,57.78,56.78,59.43,59.14,63.3,61.73,58.4,58.79,60.1,59.19,58.44,61.94,59.65,59.22,58.95,61.11,61.03,60.8,61.32,64.41,64.87,66.22,64.72,66.89,68.63,71.56,72.02,72.44,74.65,74.18,76.5,78.75,78.5,80.57,82.98,83.38,87.68,87.75,88.23,88.97,90.82,90.71,88.83,86.78,92.53,95.31,97.75,94.09,94.28,88.63,81.84,77.21,78.67,82.71,81.32,80.35,86.24,86.87,88.93,88.93,92.27,94.32,93.11,96.31,100,99.59,102.62,100.64,97.49,100.58
"75","  Other (s.) \18\","67","BPBORA",7.41,6.69,6.21,4.57,5.13,7.41,8.47,8.93,13.78,15.19,16.15,16.88,18.66,18.61,21.44,20.71,19.86,20.44,19.36,18.59,18.61,18.85,19.8,19.22,19.98,20.37,20.81,21.88,23.15,23.95,25.26,26.79,27.1,28.23,28.7,30.67,33,35.54,38.29,40.96,44.72,45.53,45.32,48.69,51.44,51.82,53.68,57.12,60.69,64.07,64.18,62.06,60.56,60.72,61.84,62.98,66.38,68.73,69.91,75.55,80.17,84.37,85.51,87.18,90.34,93.92,95.3,100,103.85,109.26,113.41,116.68,118.83
"76","Transportation","68","A537RA",9.68,8.07,7.19,5.88,6.15,6.84,7.83,9,9.43,8.09,9.36,10.61,11.93,6.99,6.82,7.16,8.28,14.13,16.34,17.49,19.74,22.64,21.43,20.86,23.59,23.2,27.77,26.43,27.4,25.37,28.11,29.42,28.24,31.17,33.58,35.47,39.07,40.67,41.19,45.77,48.13,46.99,52.04,56.97,60.61,55.01,55.92,62.18,66.89,69.19,67.42,61.57,61.94,62.61,69.02,76.51,83.18,87.61,87.38,91.22,91.57,89.5,81.73,85.65,89.82,94.43,96.64,100,104.15,110.74,118.53,122.22,126.19
"77","  User-operated transportation","69","A538RA",8.25,6.73,6,4.79,5.18,5.86,6.89,7.99,8.35,6.98,8.29,9.55,10.8,4.83,3.76,3.92,5.09,11.21,13.75,15.07,17.77,21.05,19.81,19.24,22.17,21.95,26.83,25.41,26.47,24.5,27.37,28.75,27.57,30.66,33.2,35.1,38.78,40.33,40.66,45.27,47.47,46.29,51.64,56.61,60.26,53.89,54.99,61.37,66.12,68.48,66.37,60.66,61.66,62.34,68.95,76.66,83.68,87.93,87.5,91.51,91.95,89.69,81.43,85.74,90.17,94.73,96.76,100,104.25,110.77,118.71,122.5,127.19
"78","    New autos (d.)","70","A136RA",17.43,11.33,8.22,4.79,6.54,8.18,12.33,15.63,15.85,9.22,13,16.97,18.77,0.78,0.79,0.26,0.25,11.36,19.93,22.63,31.83,42.29,33.9,28.71,39.68,38.14,53.77,42.69,43.99,32.8,42.57,45.87,39.55,49.33,56.96,60.59,72.35,72.66,68.52,81.54,82.25,69.89,86.22,97.38,104.51,78.81,78.52,96.17,106.3,107.96,101.79,88.92,91.76,92.91,112.23,127.67,138.53,152.39,135.93,141.43,133.35,127.03,98.91,104.38,107.24,109.51,102,100,100.65,108.06,121.98,130.72,131.93
"79","    Net purchases of used autos (d.)","71","B137RA",24.46,20.62,14.91,10.61,11.51,13.68,18.65,24.64,26.04,19.77,23.32,25.41,27.01,27.2,24.03,22.42,21.27,15.27,22.26,32.7,43.04,49.91,53.16,58.67,50.8,43.62,50.15,52.72,58.25,61.34,53.65,52.5,50.79,49.21,50.79,50.25,54.2,53.82,57.53,57.75,60.53,56.97,57.21,60.29,60.71,57.81,56.32,63.34,63.16,63.8,62.63,59.8,58.76,56.11,56.56,70.46,80.19,78.47,79.96,80.84,80.65,81.61,79.29,81.13,91.11,94.2,99.48,100,105.85,111.8,116.32,117.41,117.43
"80","    Other motor vehicles (d.)","72","BOAURA",0.86,0.64,0.47,0.27,0.35,0.55,0.69,0.9,0.91,0.6,0.84,0.88,1.15,0,0,0,0,1.88,2.3,2.53,1.94,2.28,2.46,1.8,1.75,1.64,2.48,2.51,2.29,1.93,2.28,2.32,1.98,2.82,3.43,3.95,5.03,6.09,6.38,8.86,10.46,9.89,13.18,18.69,22.87,19.63,21.64,31.87,39.62,44.45,35.89,23.7,24.09,28.26,40.66,52.38,66.82,71.03,74.96,80.91,87.97,82.6,72.01,81.05,89.27,96.82,97.13,100,104.44,122.94,138.42,146.9,174.58
"81","    Tires, tubes, accessories, and other parts (d.)","73","BTBARA",4.2,3.64,3.53,2.78,2.43,2.92,3.08,3.34,3.42,3.21,3.95,4.57,5.72,2.25,2.64,3.03,4.39,9.14,8.78,8.18,7.58,9.37,8.09,8.78,7.97,7.35,8.8,9.52,10.75,11.52,13.02,14.01,14.91,16.36,17.17,18.44,18.93,20.24,20.99,23.35,26.49,28.48,32.21,35.88,40.95,40.99,40.67,41.96,44.53,47.64,49.18,48.56,50.46,51.42,57.67,62.55,65.33,66.52,67.59,73.21,73.64,76.92,75.16,77.33,83.42,91.12,95.32,100,103.13,108.95,117.08,120.75,117.52
"82","    Repair, greasing, washing, parking, storage, rental, and leasing (s.)","74","BREPRA",5.07,4.21,3.66,3.18,3.63,3.99,3.96,4.5,4.68,4.46,5.16,5.62,6.42,4.54,4.22,5.18,7.08,12.22,12.98,13.76,14.52,15.02,16.04,16.58,17.83,17.81,19.12,19.97,20.83,21.32,22.59,23.68,24.4,25.63,27.07,28.57,29.87,31.56,32.88,34.42,36.13,38.12,39.99,41.62,41.45,40.31,41.74,43.49,47.02,48.29,49.71,47.63,47.74,45.98,50.06,57.01,64.96,66.18,69.26,74.21,75.8,75.1,69.83,74.7,78.35,85.74,92.83,100,107.5,110.73,116.76,120.8,120.92
"83","    Gasoline and oil (n.d.)","75","B170RA",9.61,9.7,10.1,9.31,9.33,9.94,10.54,11.39,12.26,12.61,13.44,14.25,15.89,11.98,7.6,7.84,10.33,18.74,19.94,21.21,23.07,23.92,26,28.15,29.7,30.64,33.31,35.33,36.69,38.43,40.4,41.79,42.22,44.01,45.36,47.84,50.1,53.23,54.96,58.79,62.74,66.62,69.85,72.69,76.47,72.71,74.87,77.87,80.25,82.1,81,76.38,77.54,78.5,80.26,82.78,84.4,88.5,90.87,92.57,93.72,91.11,88.13,90.57,92.97,94.59,96.83,100,103.19,106.15,109.89,109.29,111.75
"84","    Bridge, tunnel, ferry, and road tolls (s.)","76","BTOLRA",3.66,3.92,4.14,3.92,3.81,3.92,3.81,4.03,4.03,3.77,4.18,4.55,5.32,3.92,2.85,3.22,3.81,5.95,6.39,7.13,7.94,8.87,10.12,12.49,13.78,14.71,15.59,17.92,20.54,22.83,26.86,28.25,30.12,32.43,34.62,38.44,42.17,45.09,47.1,51.69,55.63,59.54,64.1,69.67,71.31,66.81,66.59,67.7,68.44,70.2,65.92,65.45,64.81,65.02,60.53,62.43,65.61,71.4,74.42,66.94,76.55,74.54,77.21,87.41,89.14,90.79,93.6,100,103.33,96.81,103.1,104.68,105.39
"85","    Insurance (s.) \19\","77","BAINRA",5.28,6.03,6.1,6.06,6.1,6.03,6.22,7.53,8.61,8.14,8.57,9.74,11.15,8.3,8.11,8.8,10.25,14.6,18.07,19.2,19.78,23.44,28.25,27.3,28.96,32,32.69,39.14,38.9,36.07,36.62,38.15,38.42,40.17,41.69,43.98,44.71,48.95,54.15,57.46,58.23,59.33,60.2,65.96,70.15,70.91,74.62,73.29,77.69,82.23,86.12,86.96,87.57,89.93,90.47,90.44,91.81,94.98,97.66,100.38,98.28,97.62,95.4,94.66,94.84,95.03,96.32,100,102.41,105.57,107.3,107.85,108.01
"86","  Purchased local transportation","78","B477RA",179.8,167.8,153.85,137.84,127.72,130.22,133.3,141.3,142.3,137.24,140.65,148.01,158.98,206.1,256.92,277.97,274.99,288.31,272.65,260.41,226.1,205.09,190.28,182.33,174.52,158.54,150.14,147.46,143.37,133.56,132.87,132.59,125.26,122.31,119.92,116.2,114.85,112.96,111.53,114.76,119.55,117.08,118.81,119.56,119.19,122.7,123.95,125.68,127.77,122.47,116.34,99.1,87.62,84.91,89.39,93.88,96.93,94.52,89.54,90.36,90.72,96.36,95.49,94.21,95.91,100.69,101.68,100,100.85,108.94,111.14,112.01,112.96
"87","    Mass transit systems (s.)","79","BSTRRA",225.93,208.94,189.85,167.13,153.95,160.33,165.36,177.63,179.7,172.79,178.61,185.01,196.76,249.75,313.36,328.64,334.52,330.58,316.07,299.42,267.06,238.37,214.86,202.2,190.33,169.63,159.13,152.82,145.21,134.1,133.99,133.31,127.89,125.03,122.27,119.72,117.73,114.97,111.73,107.85,106.83,97.38,93.75,90.34,91.79,99.44,96.46,93.51,95.51,100.77,104.92,94.89,87.1,89.57,88.92,86.8,86.87,86.06,84.7,90.58,91.6,96.65,98,97.9,98.51,103.58,101.62,100,100.26,107.06,112.71,117.34,118.77
"88","    Taxicab (s.)","80","BTAXRA",86.2,83.48,79.69,78.72,75.75,67.8,66.48,65.38,64.28,62.92,61.85,70.26,79.06,112.07,136.32,165.25,147.24,186.24,171.03,167.08,133.65,127.4,128.55,129.65,130.08,124.64,121.07,125.75,128.93,122.52,120.65,121.25,110.39,107.47,106.01,100.16,100.23,100.23,102.59,120.19,136.82,150.27,164.36,174.65,170.2,164.82,174.25,185.08,187.3,162.11,137.25,107.1,88.67,75.24,90.83,110.05,119.88,113.74,100.33,89.82,88.73,95.69,89.93,86.09,90.19,94.34,101.8,100,102.12,112.95,107.74,100.52,100.45
