"","Table 7U# Chain-Type Price Indexes for BEA Real Retail and Food ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"47","39","S4 PN4542ZZMG       Vending machine operators","T070393",82.948,83.205,83.267,83.099,83.07,83.337,83.325,83.831,84.08,84.003,83.928,84.097,84.166,84.346,84.478,84.583,85.197,85.009,84.996,85.028,84.865,85.079,85.335,85.482,85.637,85.524,85.485,85.657,85.874,86.161,86.534,86.678,86.782,86.715,86.705,87.065,87.075,87.423,87.401,88.019,88.014,88.06,88.042,88.142,88.575,88.749,88.792,88.974,88.941,89.37,89.677,89.983,90.18,90.715,90.939,91.305,91.612,91.968,92.215,92.232,92.231,92.515,92.488,92.494,92.591,92.655,92.773,92.885,93.079,93.26,93.57,93.54,93.871,93.972,94.075,94.306,94.644,94.674,94.848,95.117,95.215,95.707,95.779,96.404,97.027,97.047,96.844,97.16,97.333,97.278,97.535,97.567,98.105,98.237,98.348,98.418,98.582,98.946,99.174,99.429,99.835,99.846,100.392,100.493,100.779,100.668,100.864,101.163,101.505,101.933,102.126,102.476,102.698,103.003,103.611,103.681,103.904,104.124,104.361,104.096,104.328,104.728,104.738,105.399,104.75,105.008,105.161,105.275,105.603,105.274,105.577,105.761,105.589,106.202,106.366,106.418,106.464,107.056,107.041,107.515,107.577,107.922,108.243,108.885,108.728,109.075,109.397,109.541,110.322,110.491,110.721,110.794,110.518,111.081,111.265,111.232,111.305,111.259,111.518,112.468,112.463,112.327,112.637,112.669,112.915,113.13,113.368,113.501,113.987,113.935,114.081,114.136,114.27,114.635,114.842,115.159
"48","40","S4 PN4543ZZMG       Direct selling establishments","T070403",84.631,84.609,84.594,84.595,84.805,85.419,85.744,85.833,85.867,86.031,86.017,85.854,85.993,85.915,86.403,86.583,86.229,86.021,85.809,85.557,85.461,85.946,85.831,85.244,84.972,86.582,86.266,85.889,85.635,85.827,86.292,86.624,86.532,86.115,86.145,86.147,86.087,86.009,85.898,86.038,86.37,86.582,86.748,86.776,86.655,86.449,86.167,86.681,88.954,88.848,89.7,91.077,90.774,89.557,89.399,89.569,90.359,92.495,93.304,94.708,94.435,93.778,92.587,91.539,90.995,90.742,90.357,90.279,90.282,90.271,90.182,89.953,89.071,88.424,88.089,87.93,88.106,87.926,88.056,87.762,87.057,86.9,86.465,85.711,85.489,85.041,85.122,86.612,86.929,87.351,88.087,89.006,90.218,90.896,91.189,92.432,93.952,101.49,99.403,97.775,97.704,98.902,99.597,99.374,102.636,102.672,102.878,103.616,105.48,103.601,101.547,101.066,101.491,101.614,100.051,99.504,100.515,98.318,96.326,93.961,93.393,92.68,93.511,95.164,95.126,95.252,95.517,95.696,96.301,97.054,97.251,97.664,99.961,105.168,108.59,103.611,100.309,99.876,100.318,100.5,100.296,99.767,100.255,100.774,103.903,105.146,104.844,104.238,105.795,106.463,106.716,108.172,108.524,112.742,114.592,113.747,112.241,113.369,115.377,116.977,116.318,116.643,118.942,120.639,126.777,127.277,124.387,123.718,123.351,122.936,123.167,125.076,126.742,126.916,128.602,128.996
"49","41","S1 PN722ZZZMG Food services and drinking places","T070413",82.704,82.831,82.928,83.076,83.199,83.284,83.352,83.474,83.676,83.718,83.827,83.946,84.127,84.276,84.387,84.564,84.724,84.873,84.989,85.064,85.157,85.261,85.332,85.443,85.59,85.623,85.758,85.93,86.039,86.144,86.203,86.314,86.504,86.645,86.863,87.001,87.133,87.309,87.561,87.748,87.907,88.043,88.21,88.366,88.531,88.722,88.815,88.942,89.095,89.282,89.449,89.708,89.948,90.11,90.317,90.529,90.745,91.148,91.405,91.583,91.803,91.961,92.193,92.307,92.341,92.539,92.784,92.95,93.235,93.443,93.669,93.899,94.095,94.293,94.416,94.531,94.768,94.811,95.081,95.265,95.6,95.785,95.902,96.167,96.463,96.585,96.758,96.985,97.157,97.269,97.538,97.741,97.957,98.095,98.295,98.531,98.781,98.979,99.197,99.37,99.588,99.804,100.101,100.356,100.634,100.788,101.098,101.304,101.714,101.821,102.132,102.416,102.752,103.017,103.341,103.727,103.879,104.217,104.488,104.71,104.892,105.179,105.237,105.369,105.561,105.898,106.05,106.254,106.454,106.664,106.86,107.031,106.886,107.301,107.535,107.591,107.797,108.021,108.255,108.374,108.541,108.822,109.129,109.439,109.777,110.102,110.329,110.621,110.969,111.181,111.677,112.016,112.253,112.516,112.663,112.848,113.386,113.721,113.973,114.199,114.409,114.734,114.998,115.321,115.542,115.903,116.147,116.331,116.766,117.144,117.419,117.694,118.159,118.483,118.785,119.068
"50","42","S4 PN7221ZZMG   Full-service restaurants","T070423",82.374,82.501,82.61,82.773,82.898,82.981,83.051,83.172,83.375,83.418,83.531,83.651,83.829,83.972,84.092,84.272,84.43,84.579,84.698,84.775,84.865,84.967,85.03,85.152,85.311,85.339,85.473,85.652,85.757,85.863,85.911,86.02,86.21,86.353,86.574,86.71,86.834,87.012,87.271,87.465,87.63,87.768,87.937,88.096,88.259,88.447,88.541,88.665,88.818,89.008,89.179,89.447,89.689,89.851,90.042,90.26,90.478,90.883,91.135,91.312,91.543,91.703,91.935,92.049,92.096,92.29,92.542,92.71,92.993,93.2,93.424,93.665,93.858,94.052,94.189,94.372,94.654,94.803,94.949,95.212,95.509,95.755,95.913,96.221,96.468,96.826,96.923,97.031,97.249,97.369,97.634,97.768,97.987,98.111,98.317,98.441,98.657,98.932,99.059,99.304,99.608,99.834,100.184,100.411,100.763,100.888,101.155,101.236,101.757,101.958,102.205,102.502,102.83,103.137,103.445,103.817,103.977,104.278,104.495,104.683,104.706,105.03,105.133,105.37,105.565,105.886,105.929,106.162,106.418,106.626,106.818,107.034,107.063,107.283,107.491,107.643,107.755,108.087,108.268,108.406,108.609,108.788,109.077,109.376,109.697,109.945,110.221,110.456,110.73,110.964,111.478,111.707,111.969,112.241,112.519,112.732,113.216,113.57,113.769,113.928,114.091,114.388,114.645,114.905,115.148,115.464,115.738,115.945,116.3,116.846,117.186,117.526,118.055,118.366,118.704,118.98
"51","43","S4 PN7222ZZMG   Limited-service eating places","T070433",83.558,83.681,83.721,83.801,83.921,84.004,84.047,84.165,84.359,84.384,84.475,84.582,84.771,84.936,85.008,85.169,85.324,85.478,85.578,85.649,85.759,85.868,85.962,86.036,86.143,86.185,86.317,86.477,86.594,86.696,86.779,86.892,87.083,87.219,87.429,87.57,87.724,87.89,88.126,88.284,88.422,88.551,88.708,88.851,89.017,89.218,89.301,89.433,89.572,89.743,89.896,90.128,90.364,90.519,90.772,90.968,91.172,91.572,91.849,92.034,92.234,92.388,92.625,92.737,92.728,92.936,93.158,93.319,93.611,93.826,94.055,94.258,94.45,94.652,94.754,94.802,95.016,94.916,95.311,95.398,95.769,95.877,95.951,96.134,96.507,96.323,96.597,96.975,97.071,97.164,97.444,97.724,97.919,98.103,98.289,98.661,98.94,99.038,99.411,99.502,99.601,99.791,99.985,100.262,100.452,100.635,101.005,101.376,101.649,101.627,102.031,102.286,102.616,102.815,103.149,103.554,103.714,104.077,104.4,104.67,105.054,105.314,105.31,105.28,105.465,105.843,106.115,106.258,106.392,106.594,106.751,106.89,106.5,107.173,107.437,107.372,107.691,107.782,108.087,108.194,108.284,108.691,109.024,109.344,109.714,110.134,110.289,110.632,111.059,111.231,111.712,112.19,112.392,112.643,112.629,112.768,113.386,113.686,113.981,114.298,114.573,114.939,115.214,115.615,115.799,116.207,116.412,116.569,117.078,117.246,117.437,117.631,117.999,118.328,118.592,118.875
"52","44","S4 PN7223ZZMG   Special food Services","T070443",82.721,82.851,82.916,83.027,83.145,83.233,83.31,83.433,83.632,83.68,83.779,83.89,84.08,84.236,84.334,84.51,84.687,84.832,84.939,85.013,85.127,85.234,85.328,85.411,85.522,85.575,85.717,85.877,85.995,86.108,86.196,86.316,86.503,86.647,86.858,86.995,87.15,87.323,87.565,87.738,87.887,88.022,88.184,88.336,88.502,88.703,88.79,88.921,89.069,89.245,89.407,89.645,89.884,90.038,90.287,90.487,90.696,91.088,91.355,91.536,91.727,91.886,92.119,92.242,92.248,92.461,92.682,92.837,93.124,93.333,93.557,93.767,93.956,94.141,94.284,94.505,94.85,94.976,95.064,95.339,95.6,95.869,96.047,96.315,96.573,96.919,97.02,97.135,97.327,97.425,97.694,97.799,98.007,98.182,98.372,98.484,98.692,98.964,99.143,99.402,99.673,99.866,100.155,100.343,100.702,100.81,101.077,101.171,101.718,101.914,102.18,102.461,102.751,103.045,103.323,103.685,103.807,104.118,104.322,104.499,104.533,104.899,105.002,105.212,105.394,105.74,105.77,105.98,106.254,106.438,106.567,106.824,106.822,107.074,107.258,107.396,107.537,107.865,108.059,108.238,108.361,108.538,108.81,109.12,109.458,109.682,109.963,110.161,110.426,110.623,111.13,111.354,111.622,111.899,112.179,112.357,112.853,113.186,113.383,113.553,113.703,114.002,114.285,114.539,114.748,115.084,115.35,115.553,115.866,116.383,116.72,117.041,117.506,117.785,118.146,118.392
"53","45","S4 PN7224ZZMG   Drinking places (alcoholic beverages)","T070453",78.847,78.996,79.424,79.944,80.084,80.19,80.375,80.53,80.771,80.902,81.122,81.316,81.454,81.503,81.848,82.109,82.3,82.412,82.631,82.729,82.687,82.771,82.694,83.046,83.478,83.452,83.601,83.851,83.908,84.037,83.952,84.047,84.232,84.402,84.666,84.8,84.79,85.028,85.375,85.75,86.036,86.217,86.447,86.694,86.848,86.971,87.121,87.218,87.443,87.737,87.993,88.433,88.696,88.906,88.793,89.116,89.42,89.858,89.997,90.133,90.499,90.697,90.893,91.021,91.352,91.478,91.88,92.095,92.339,92.508,92.714,93.108,93.357,93.568,93.696,93.64,93.503,93.691,94.275,94.452,94.914,95.087,95.104,95.683,95.815,96.118,96.22,96.38,96.747,96.988,97.189,97.507,97.885,97.726,98.023,98.287,98.653,98.919,98.734,98.843,99.242,99.633,100.325,100.749,101.002,101.267,101.496,101.518,101.88,102.149,102.242,102.65,103.195,103.625,104.113,104.472,104.529,104.967,105.35,105.546,105.676,105.77,105.914,106.398,106.647,106.753,107.016,107.475,107.639,107.948,108.613,108.536,108.789,108.846,109.106,109.257,109.37,109.682,109.812,109.788,110.388,110.61,110.909,111.21,111.432,111.742,112.127,112.59,113.001,113.43,113.879,114.072,114.366,114.655,114.899,115.27,115.581,116.07,116.474,116.562,116.69,116.919,117.114,117.366,117.758,118.133,118.424,118.639,119.326,119.933,120.317,120.652,121.458,121.947,122.162,122.573
"54",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","S1 PN04472BMG   Retail and food services except motor vehicle and parts dealers","T070463",93.219,93.521,93.755,93.809,93.953,94.127,94.253,94.289,94.377,94.454,94.606,94.809,94.975,95.342,95.495,95.693,95.554,95.196,95.154,95.235,95.125,95.681,95.807,95.788,95.779,95.769,95.912,95.878,95.865,96.101,96.427,96.701,96.746,96.622,96.747,96.736,96.776,96.677,96.701,96.922,96.999,96.889,96.992,97.051,97.075,97.084,96.876,97.076,97.426,97.385,97.745,98.083,98.246,97.914,97.911,97.803,98.131,98.359,98.586,98.761,98.785,98.996,98.882,98.739,98.482,98.31,98.283,98.333,98.479,98.356,98.256,98.175,98,97.677,97.337,97.298,97.39,97.227,97.302,97.261,96.96,96.978,96.783,96.781,96.884,96.65,96.647,97.76,97.763,97.807,98.223,98.401,98.722,98.643,98.505,98.892,99.006,99.459,100.257,99.874,99.753,100.302,100.334,99.811,100.483,100.261,100.291,100.17,100.263,100.253,99.984,100.241,100.753,100.733,100.041,99.654,100.202,99.313,98.534,97.9,98.03,97.992,98.628,99.412,99.031,98.952,98.934,99.082,99.042,98.998,98.926,98.757,99.04,99.87,100.168,99.34,98.371,98.413,98.652,98.966,99.432,99.161,98.908,99.062,99.667,100.228,100.803,100.895,101.675,101.678,101.361,101.351,101.335,102.243,101.923,101.523,101.455,101.878,102.501,102.95,102.555,102.292,102.824,103.371,104.818,104.559,103.158,102.915,103.44,103.325,103.705,104.395,104.797,104.572,104.819,104.941
"56","47","S1 PN44GZZZMG   Retail trade except motor vehicle and parts dealers","T070473",94.8,95.131,95.388,95.426,95.573,95.761,95.897,95.919,95.988,96.071,96.229,96.446,96.609,97.012,97.172,97.372,97.184,96.742,96.674,96.755,96.611,97.242,97.377,97.337,97.302,97.285,97.43,97.362,97.329,97.587,97.955,98.255,98.277,98.11,98.22,98.185,98.21,98.068,98.055,98.282,98.346,98.196,98.289,98.333,98.335,98.315,98.061,98.272,98.653,98.577,98.966,99.315,99.466,99.06,99.025,98.869,99.214,99.415,99.638,99.812,99.807,100.026,99.859,99.677,99.376,99.148,99.08,99.113,99.237,99.065,98.917,98.79,98.56,98.159,97.751,97.69,97.76,97.568,97.614,97.541,97.149,97.142,96.904,96.864,96.94,96.657,96.629,97.867,97.846,97.881,98.318,98.493,98.829,98.72,98.535,98.942,99.037,99.526,100.404,99.943,99.776,100.371,100.366,99.735,100.461,100.188,100.179,100.013,100.063,100.036,99.689,99.942,100.477,100.419,99.59,99.099,99.7,98.647,97.729,96.983,97.106,97.025,97.738,98.608,98.151,98.018,97.977,98.118,98.046,97.969,97.863,97.65,97.987,98.871,99.178,98.236,97.114,97.132,97.372,97.711,98.216,97.873,97.549,97.682,98.322,98.913,99.532,99.599,100.433,100.409,99.989,99.936,99.888,100.876,100.498,100.025,99.882,100.315,100.985,101.46,100.991,100.656,101.22,101.795,103.391,103.055,101.455,101.159,101.695,101.52,101.913,102.652,103.046,102.755,102.996,103.098
"57","48","S2 PN44BZZZMG   GAFO-Department store merchandise stores\1\","T070483",110.313,110.424,110.549,110.382,110.666,110.537,110.734,110.543,110.451,110.514,110.754,110.64,110.485,110.656,110.525,110.769,110.473,110.175,110.229,110.694,110.51,110.515,110.712,110.575,110.359,110.103,110.342,110.383,110.699,110.827,110.859,110.513,110.489,110.122,110.009,109.663,109.814,109.421,109.466,109.615,109.459,109.064,109.255,109.41,109.385,109.284,109.02,109.134,109.205,108.801,108.849,108.554,108.412,107.982,107.829,107.24,107.627,107.57,107.495,107.278,107.209,107.323,107.19,107.215,107.236,107.05,106.821,106.161,106.141,105.879,105.799,105.758,105.579,105.132,104.97,105.015,104.834,104.443,104.369,104.475,103.775,103.629,103.367,103.013,102.817,102.327,101.981,102.495,102.255,102.077,101.849,101.503,101.509,101.401,101.045,100.885,100.662,100.451,100.53,100.425,100.298,99.939,99.839,99.61,99.864,99.598,99.486,99.298,99.17,99.015,98.718,98.467,97.891,97.818,97.754,97.203,96.946,96.868,96.675,96.255,95.982,95.739,95.718,95.72,95.389,95.019,94.688,94.767,94.469,94.072,93.833,93.457,93.121,92.859,92.428,92.36,91.628,91.55,91.496,90.984,90.731,90.766,90.608,90.358,90.404,90.419,90.422,90.33,90.289,90.172,89.761,89.378,89.2,89.684,89.365,88.83,88.891,88.691,88.776,88.55,88.561,87.995,87.65,87.521,87.39,87.156,87.101,86.869,86.686,86.318,86.416,86.401,86.297,86.033,85.603,85.779
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Includes industries PN442ZZZMG, PN443ZZZMG, PN448ZZZMG, PN451ZZZMG,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","PN452ZZZMG, and PN4532ZZMG.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
