"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"196","189","        Other motor vehicle services (61)","DOVSRX0",69802,73292,70152,63019,59718,61967,65237,71600,74017,73217,61200,61081,63050,66311,72118
"197","190","          Motor vehicle leasing","DMVLRX0",40986,43338,40511,34911,30938,31074,33514,39019,40813,40686,31967,31485,31702,35175,41434
"198","191","            Auto leasing","DALERX0",22781,23199,23355,20121,18083,15347,16387,21140,23411,24916,20693,21785,22446,25119,29244
"199","192","            Truck leasing","DTLERX0",18207,20142,17157,14792,12856,15732,17132,17883,17406,15771,11275,9700,9256,10055,12191
"200","193","          Motor vehicle rental","DMVRRX0",9601,9983,10059,9853,10485,12313,13114,13863,14354,14262,12266,12761,13870,15045,15547
"201","194","          Parking fees and tolls","DPFTRX0",18226,18820,18790,17975,18522,18896,18815,18753,18857,18271,16967,16833,17440,16447,16227
"202","195","      Public transportation","DPUBRX0",77436,83592,82374,82710,85005,89224,87260,86554,87940,82925,79274,76579,75846,75075,78503
"203","196","        Ground transportation (63)","DGRDRX0",31014,32461,34061,32946,32154,33775,34443,36040,36480,36234,34538,34123,34756,32904,31930
"204","197","          Railway transportation","DIRRRX0",638,708,741,744,747,833,847,870,1004,1050,971,1030,1099,1163,1208
"205","198","          Road transportation","DROTRX0",30414,31781,33350,32223,31421,32950,33604,35179,35478,35183,33568,33093,33656,31746,30734
"206","199","            Intercity buses","DIBURX0",1785,1930,1939,1882,1843,1771,1695,1620,1528,1550,1250,1027,1061,1122,1183
"207","200","            Taxicabs","DTAXRX0",4760,4409,4692,4709,4119,4617,4748,5115,4980,4743,4550,4561,4581,4686,4838
"208","201","            Intracity mass transit","DIMTRX0",15207,16532,17015,15407,15380,15696,15937,16994,16758,17146,16950,16490,16809,17045,15831
"209","202","            Other road transportation service","DORTRX0",8680,8928,9720,10224,10077,10868,11226,11445,12211,11742,10817,11014,11204,8920,8907
"210","203","        Air transportation (64)","DAITRX0",45281,49385,46756,47914,50559,52965,50367,48054,48847,44153,42196,39774,38308,39053,42910
"211","204","        Water transportation (65)","DWATRX0",1309,1557,1786,1858,2087,2249,2255,2349,2477,2545,2539,2699,2857,3151,3669
"212","205","    Recreation services","DRCARX0",316826,325956,325423,327300,338353,355787,364675,377427,392074,388972,376000,380956,388797,394383,397493
"213","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRX0",117708,118420,117023,117767,120896,125477,130734,136102,142413,142010,137924,141255,147064,149524,146844
"214","207","        Membership clubs and participant sports centers","DMDFRX0",30763,30454,29959,30571,31701,34287,36717,38518,41366,41133,39124,40236,41342,42501,42309
"215","208","        Amusement parks, campgrounds, and related recreational services","DORSRX0",40580,40323,39057,36558,36475,36380,37198,37464,38241,38807,37212,38710,41286,44227,45707
"216","209","        Admissions to specified spectator amusements","DADMRX0",41485,42522,42816,44770,46670,48429,49711,53141,56410,55743,55519,56280,58261,57036,53047
"217","210","          Motion picture theaters","DMOVRX0",11317,11529,11613,12014,11786,11475,10881,11191,11304,11127,11497,11589,11152,11176,10808
"218","211","          Live entertainment, excluding sports","DLIGRX0",13544,13880,14342,14860,16488,18338,20392,22365,24557,24711,25198,25904,27527,28134,25407
"219","212","          Spectator sports","DSPERX0",16749,17250,16965,18023,18507,18689,18467,19609,20563,19910,18824,18789,19583,17729,16839
"220","213","        Museums and libraries","DMUSRX0",4711,5088,5230,5988,6188,6435,7100,6991,6389,6317,6068,6036,6175,5827,5929
"221","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRX0",84528,88012,88858,86240,86970,90626,89072,89440,93169,94460,93555,95122,96912,97179,100957
"222","215","        Cable and satellite television and radio services","DCTVRX0",54095,57242,58819,57099,57111,60272,61296,62344,65627,68529,70012,72299,74968,76390,80131
"223","216","        Photo processing","DFDVRX0",7011,6726,6402,6252,5967,5415,4248,3171,3072,2783,2468,2436,2672,2479,2419
"224","217","        Photo studios","DPICRX0",7488,7515,7413,7029,6961,7082,7238,7253,7495,7450,6964,6871,6741,6416,6334
"225","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRX0",5840,6643,6819,7114,7040,7412,7085,7491,7801,7724,7394,7567,7956,8036,8334
"226","219","        Video media rental","DVIDRX0",9720,9670,9384,8675,9834,10474,9280,9235,9211,7979,6718,5946,4619,3956,3846
"227","220","      Gambling (91)","DGAMRX0",80261,84166,84813,88323,94728,102331,106005,111388,113783,109796,105010,103847,103911,105113,106675
"228","221","        Casino gambling","DCASRX0",55733,60271,60735,63132,69331,76741,80144,84949,87374,84483,79964,78659,78681,79628,81080
"229","222","        Lotteries","DLOTRX0",18703,18054,18384,19382,19899,20178,20767,21505,21821,21091,21019,21112,21156,21448,21670
"230","223","        Pari-mutuel net receipts","DPARRX0",5828,5842,5696,5810,5498,5413,5094,4934,4588,4222,4026,4076,4075,4037,3925
"231","224","      Other recreational services (81, 94, and part of 92)","DOTRRX0",34330,35249,34516,34772,35554,37135,38743,40411,42660,42711,39511,40740,41001,42655,42946
"232","225","        Veterinary and other services for pets","DVETRX0",22009,22256,22011,22245,23082,24296,25617,27196,28671,28411,26986,27296,26748,27846,29009
"233","226","        Package tours","DHOLRX0",8895,8686,7699,7208,7264,7751,7967,8047,8772,9366,8305,9042,9679,10076,9040
"234","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERX0",3618,4259,4669,5111,5070,5000,5105,5165,5217,4921,4220,4411,4626,4784,4859
"235","228","    Food services and accommodations","DFSARX0",511361,534650,533653,541717,561600,584207,605102,624667,632592,626109,600334,609606,634037,656782,676199
"236","229","      Food services","DFSERX0",450339,470196,473866,480673,496728,514894,529470,544539,550410,541889,517914,525172,546543,565208,580125
"237","230","        Purchased meals and beverages (102)","DPMBRX0",438747,458455,461973,468652,484231,501960,515414,528952,534455,526250,502315,510269,530737,549564,564544
"238","231","          Meals and nonalcoholic beverages","DMABRX0",384328,400064,401709,405373,419121,434574,446064,457786,462610,455731,435117,445892,460997,477087,491227
"239","232","            Meals at schools","DMSLRX0",19293,20000,20287,20206,20274,20229,20207,20113,20486,20697,19612,20543,21127,21609,21915
"240","233","              Elementary and secondary school lunches","DESLRX0",7660,7893,8011,7890,7843,7865,7920,7877,7736,7447,6891,6433,6157,5993,5739
"241","234","              Higher education school lunches","DHSLRX0",11633,12107,12276,12316,12431,12364,12287,12237,12751,13250,12721,14110,14970,15617,16176
"242","235","            Other purchased meals","DOPMRX0",365041,380070,381430,385170,398847,414345,425857,437671,442122,435034,415505,425345,439869,455483,469329
"243","236","              Meals at limited service eating places","DMLSRX0",186685,193927,195459,197778,204653,212378,217648,221891,222092,221309,213220,221013,227030,232714,243592
"244","237","              Meals at other eating places","DMOERX0",176092,183626,183369,184601,191249,199004,205198,212560,216729,210591,199260,201320,209815,219593,222555
"245","238","              Meals at drinking places","DMDPRX0",2280,2521,2631,2831,2983,2997,3031,3203,3240,3122,3025,3018,3023,3168,3184
"246","239","          Alcohol in purchased meals","DAPMRX0",54243,58278,60204,63284,65108,67382,69348,71164,71843,70519,67198,64398,69722,72454,73315
"247","240","        Food furnished to employees (including military) (103)","DFOORX0",11584,11739,11890,12018,12494,12931,14053,15586,15953,15637,15599,14909,15807,15661,15611
"248","241","          Food supplied to civilians","DCFDRX0",10879,10986,11088,11088,11400,11777,12162,12548,12975,13083,12897,12881,13135,13456,13801
"249","242","          Food supplied to military","DMFDRX0",707,755,804,931,1096,1156,1893,3037,2978,2553,2702,2029,2671,2205,1810
"250","243","      Accommodations (104)","DACCRX0",61706,65105,60896,62140,65902,70249,76266,80587,82537,84291,82420,84434,87495,91575,96091
"251","244","        Hotels and motels","DHOTRX0",47447,50534,46336,47385,50909,55133,60982,65260,67388,68600,65971,67135,69864,73698,77801
"252","245","        Housing at schools","DSCHRX0",14760,14883,15252,15424,15521,15473,15430,15324,15046,15620,16449,17290,17636,17919,18377
"253","246","    Financial services and insurance","DIFSRX0",598668,659236,645974,641679,643080,668733,704086,720065,742536,737423,718955,733929,755965,746020,757060
"254","247","      Financial services","DFNLRX0",340772,385568,371757,372551,371807,389890,408537,424953,442788,445544,452240,453241,463554,446883,456333
"255","248","        Financial services furnished without payment (107)","DIMPRX0",187549,195259,188372,184941,182584,193978,201831,199625,207447,211659,229379,235482,246121,230549,233610
"256","249","          Commercial banks","DIMCRX0",50280,45863,43090,48431,49431,50639,53186,50278,45935,50522,68136,68991,73124,70438,66621
"257","250","          Other depository institutions and regulated investment companies","DIMNRX0",99932,111355,110621,103952,100811,110307,114945,113708,125878,125390,125075,130431,137025,123862,130545
"258","251","          Pension funds","DPENRX0",37810,39763,36307,32766,32269,33154,33674,36265,37712,37041,36168,36099,36071,36168,36429
"259","252","        Financial service charges, fees, and commissions (108)","DOFIRX0",153092,189723,182820,187313,189096,195554,206461,226199,236312,234579,222861,217688,217308,216280,222742
"260","253","          Financial service charges and fees","DFEERX0",53938,60036,64825,71023,75282,77251,82892,87784,91291,88978,92610,85793,84518,82959,82063
"261","254","          Securities commissions","DEQTRX0",33587,47995,41697,40111,36274,36704,35922,37678,39325,37926,32893,32307,32144,28705,30405
"262","255","            Direct commissions","DDCTRX0",22686,34986,30791,30237,25589,24758,21969,21278,20300,20735,18674,17482,17595,14497,13996
"263","256","              Exchange-listed equities","DDCERX0",11090,16047,16479,15879,11200,8980,6569,5570,4984,4594,3617,1901,1501,1368,1349
"264","257","              Other direct commissions","DDCORX0",11477,18690,14080,14151,14339,15721,15352,15691,15314,16142,15057,15552,16046,13096,12629
"265","258","            Indirect commissions","DICTRX0",7302,9389,7791,6464,6549,7186,8125,9722,10165,8363,6985,7477,7416,7143,8424
"266","259","              Over-the-counter equity securities","DICVRX0",411,765,700,560,575,568,490,566,566,627,738,778,760,654,624
"267","260","              Other imputed commissions","DICORX0",9217,9020,7032,5904,5964,6651,7740,9290,9750,7785,6247,6698,6652,6463,7731
"268","261","            Mutual fund sales charges","DMUTRX0",4838,5815,5052,5072,5253,5724,6463,7340,9094,8825,7234,7319,7131,6884,7602
"269","262","          Portfolio management and investment advice services","DPMIRX0",59346,71023,66737,66380,69460,73506,79728,91902,96236,98531,89143,90643,91439,95732,102023
"270","263","          Trust, fiduciary, and custody activities","DTRURX0",7194,7201,7360,7572,6838,7178,7489,8852,9495,9185,8216,8986,9266,8918,8680
"271","264","      Insurance","DINSRX0",262581,275917,277792,272060,274459,281717,298821,297580,301699,293063,266715,280737,292472,299291,300818
"272","265","        Life insurance (110)","DLIFRX0",79908,84993,80742,71233,70461,80457,84958,88011,88831,88805,80020,85773,97281,98608,96978
"273","266","        Net household insurance (111)","DFINRX0",6197,6174,6146,5877,6103,6617,6730,6487,7744,8293,7340,7395,7553,7406,7380
"274","267","          Household insurance premiums and premium supplements","DFIPRX0",14249,14864,15686,16923,17099,17438,17662,18356,19249,19229,18762,18750,18878,19286,19544
"275","268","          Less: Household insurance normal losses","DFIBRX0",8149,8740,9556,11047,10997,10822,10933,11869,11505,10935,11422,11355,11325,11880,12163
"276","269","        Net health insurance (112)","DHINRX0",122740,130993,136393,141809,145111,138122,147341,143645,140456,132048,119390,130227,132827,140293,143671
"277","270","          Medical care and hospitalization","DMINRX0",104576,111802,115335,120361,125990,119434,125327,119718,114890,107342,97534,110779,113809,113714,115555
"278","271","          Income loss","DIINRX0",1916,2114,2292,2384,2489,2524,2545,2630,2707,2711,2694,2604,2564,2582,2592
"279","272","          Workers' compensation","DPWCRX0",16748,17681,19097,19519,17676,17087,20107,21591,22894,21974,19162,16699,16231,24724,26408
"280","273","        Net motor vehicle and other transportation insurance (116)","DTINRX0",53741,53989,54912,54019,53869,56906,60246,59730,64787,63912,59966,57317,54983,53116,52846
"281","274","    Other services","DOTSRX0",733459,783488,810033,810740,830081,848438,856597,879353,898672,894253,875121,883779,896727,911946,908345
"282","275","      Communication","DCOMRX0",130000,148854,156788,159277,163635,171940,178902,191338,210646,221555,217855,227029,241171,254072,261941
"283","276","        Telecommunication services (71)","DTCSRX0",113688,126381,133719,133444,133582,138388,144783,151505,153350,156101,149587,153243,159997,164385,170114
"284","277","          Land-line telephone services, local charges","DLOCRX0",68172,70107,68895,64378,56740,52569,51389,51129,47417,45667,40447,38937,36312,34850,35235
"285","278","          Land-line telephone services, long-distance charges","DLDTRX0",35569,35520,32185,27393,27800,28952,27030,24406,22323,21122,17636,15060,14329,13733,13842
"286","279","          Cellular telephone services","DCELRX0",18372,27660,38443,46666,52484,59372,68038,76892,83931,89417,91504,99409,110039,116970,122468
"287","280","        Postal and delivery services (68)","DPSSRX0",14107,14012,13094,12161,11963,12162,12315,13003,12919,13289,12008,11218,9787,9094,8452
"288","281","          First-class postal service (by U.S. Postal Service)","DPSTRX0",11109,10930,10227,9533,9383,9692,9962,10644,10611,11267,10046,9506,8103,7425,6761
"289","282","          Other delivery services (by non-U.S. postal facilities)","DODSRX0",3022,3137,2916,2664,2615,2476,2347,2347,2296,2030,1962,1719,1664,1634,1635
"290","283","        Internet access (72)","DINTRX0",7739,13061,14231,16959,20402,23183,23749,28131,44245,52118,56260,62576,71499,80771,83761
"291","284","      Education services","DTEDRX0",213808,221295,225384,220307,218826,214333,214202,216368,219462,220463,219859,224950,228704,231034,231899
"292","285","        Higher education (97)","DHEDRX0",134750,140370,144257,141668,142723,140676,141561,143233,144494,145159,146658,150445,154395,157442,158170
"293","286","          Proprietary and public higher education","DGEDRX0",78155,81832,83975,85463,87149,85907,86639,88141,88888,89321,91209,94873,97918,99736,100805
"294","287","          Nonprofit private higher education services to households","DPEDRX0",56595,58538,60282,56204,55574,54768,54922,55092,55606,55838,55449,55572,56478,57706,57366
"295","288","        Nursery, elementary, and secondary schools (98)","DNEHRX0",40098,39872,40010,39287,38192,37175,36300,36014,36178,35767,34815,33981,34490,34100,34000
"296","289","          Elementary and secondary schools","DESCRX0",31339,31019,30899,30214,28987,27811,26970,26482,25988,25619,24750,24117,23757,23514,23826
"297","290","          Day care and nursery schools","DNSCRX0",8941,9014,9243,9189,9281,9408,9364,9556,10193,10150,10065,9864,10743,10594,10171
"298","291","        Commercial and vocational schools (99)","DVEDRX0",38488,40647,40825,39118,37841,36467,36371,37150,38781,39523,38386,40523,39794,39426,39661
"299","292","      Professional and other services (121)","DPRSRX0",161768,162727,166044,166306,172366,172041,171812,172823,174929,172073,161543,158235,156161,155932,153665
"300","293","        Legal services","DGALRX0",94965,94705,96636,97337,99447,97559,96395,96718,96714,94941,90082,88231,86894,85825,84041
"301","294","        Accounting and other business services","DPRORX0",23498,24801,25714,26477,27859,29814,29384,29963,31782,31282,27362,26278,26270,26135,26239
"302","295","          Tax preparation and other related services","DTAPRX0",16733,17788,19170,20245,21055,22313,20970,20871,22436,23253,20795,19709,19541,19221,19198
"303","296","          Employment agency services","DGENRX0",937,924,792,693,682,749,1044,1276,1538,1278,837,857,999,1089,1119
"304","297","          Other personal business services","DTHERX0",5766,6050,5807,5658,6236,6857,7385,7796,7783,6748,5731,5713,5735,5839,5941
"305","298","        Labor organization dues","DUNSRX0",13866,13319,12473,11938,12190,12126,11913,12052,12184,12702,12505,12009,11687,11775,11495
"306","299","        Professional association dues","DAXSRX0",6228,6485,6819,7099,7290,7239,7478,7844,8066,7642,7648,7653,7641,7826,8555
"307","300","        Funeral and burial services","DFUNRX0",22861,23138,24266,23361,25541,25291,26694,26277,26207,25506,23945,24066,23670,24392,23335
"308","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRX0",103186,108250,107667,109297,112492,117265,119506,120756,120383,117746,109887,112549,114901,117362,111552
"309","302","        Personal care services","DPCSRX0",81000,85756,85949,88733,92661,98135,101051,102662,102984,101364,94777,97699,99961,102246,97685
"310","303","          Hairdressing salons and personal grooming establishments","DBBBRX0",39320,41226,41626,43073,45158,49204,51709,53641,55267,55225,53935,56399,57859,59306,59660
"311","304","          Miscellaneous personal care services","DMPCRX0",42078,44998,44757,46098,47941,49252,49581,49182,47788,46173,40842,41311,42119,42965,38280
"312","305","        Clothing and footwear services","DCFSRX0",22175,22488,21712,20561,19834,19140,18465,18102,17402,16383,15110,14852,14943,15121,13875
"313","306","          Laundry and drycleaning services","DDRYRX0",13931,14484,14211,13876,13481,13089,12779,12734,12337,11649,10892,10764,10816,11020,10130
"314","307","          Clothing repair, rental, and alterations","DLGRRX0",7674,7440,6958,6109,5811,5525,5170,4861,4564,4262,3774,3659,3692,3654,3288
"315","308","          Repair and hire of footwear","DSCLRX0",714,674,631,623,579,554,533,513,504,473,444,430,435,450,461
"316","309","      Social services and religious activities (120)","DSOCRX0",99737,104036,110124,112849,116096,119618,122252,125411,129584,131895,133185,136370,138041,139542,140151
"317","310","        Child care","DCHCRX0",26973,27364,28268,28411,28590,28794,28476,28897,30581,30426,30183,29859,29726,29926,29054
"318","311","        Social assistance","DSCWRX0",50430,54939,60780,64053,66826,70163,73454,75815,77909,80663,82493,86137,88204,89262,89504
"319","312","          Homes for the elderly","DELDRX0",9981,11035,12477,13278,13546,13949,14622,15462,15479,15824,15937,16924,18180,18675,19173
"320","313","          Residential mental health and substance abuse","DMENRX0",3468,3843,4290,4638,5102,5558,5996,5969,6415,6826,6994,7361,7331,7565,7766
"321","314","          Individual and family services","DFAMRX0",23820,25583,28117,29290,30083,31286,31924,33615,35110,36307,37638,39214,39971,40550,40491
"322","315","          Vocational rehabilitation services","DVOCRX0",6128,6684,7059,7192,7823,8386,8890,8506,8191,8394,8776,9120,9234,8961,8619
"323","316","          Community food and housing/emergency/other relief services","DCFORX0",2966,3495,4104,4602,5066,5751,6638,6936,7237,7797,7903,8245,8245,8161,8011
"324","317","          Other social assistance, not elsewere classified","DSIARX0",3965,4211,4656,4994,5157,5198,5362,5315,5473,5515,5245,5271,5243,5356,5469
"325","318","        Social advocacy and civic and social organizations","DSADRX0",15544,15125,14687,14236,14408,14081,13605,13718,13709,13707,13529,13663,13604,13955,15115
"326","319","        Religious organizations' services to households","DRELRX0",6374,6177,6041,5867,5845,5948,5909,5920,6104,5945,5916,5610,5412,5324,5325
"327","320","        Foundations and grantmaking and giving services to households","DGIVRX0",1094,933,703,534,602,735,819,1051,1311,1162,1064,1115,1131,1116,1212
"328","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRX0",61668,63636,60844,59070,60566,63700,64144,64579,66406,65980,60332,58479,60712,63535,64731
"329","322","        Domestic services","DDMSRX0",25453,26551,25153,24376,25502,26184,25634,25811,26724,27015,24450,22281,23214,26578,27886
"330","323","        Moving, storage, and freight services","DMSERX0",15570,16108,14760,13380,13196,14442,14718,14714,14893,14716,12970,12891,13596,14292,14454
"331","324","        Repair of furniture, furnishings, and floor coverings","DFRERX0",2767,2528,2133,1877,1795,1682,1655,1605,1500,1370,1111,1055,1033,1006,1031
"332","325","        Repair of household appliances","DERERX0",5793,5614,5241,4996,5230,5431,5212,5257,5204,4911,4482,4393,4467,4294,4343
"333","326","        Other household services","DMHSRX0",11994,12630,13426,14442,14910,15948,16894,17173,18081,17956,17319,17864,18417,17413,17065
"334","327","      Net foreign travel","DFORRX0",-19497,-13530,-8019,-10021,-9158,-7797,-12613,-11527,-23116,-35382,-27539,-33745,-42127,-47714,-52889
"335","328","        Foreign travel by U.S. residents (129)","DFTRRX0",104047,115480,108805,102003,97530,107900,107193,108722,105087,102514,97933,98044,96298,98405,101652
"336","329","          Passenger fares for foreign travel","DAFTRX0",37958,41555,37343,33824,34316,40321,40649,41651,40327,39161,36158,35998,34015,32269,34632
"337","330","          U.S. travel outside the United States","DUSTRX0",63750,71245,68434,64790,59233,63217,61904,62048,59842,58365,56631,56692,56937,60935,61494
"338","331","          U.S. student expenditures","DUSSRX0",2532,2885,3340,3832,4160,4365,4609,4962,4855,4938,5144,5363,5510,5788,5905
"339","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRX0",123544,129010,116824,112024,106689,115696,119806,120249,128204,137897,125472,131789,138425,146119,154540
"340","333","          Foreign travel in the United States","DFTURX0",102101,106742,94753,89949,85250,94962,99383,100058,107469,116038,103093,109214,115109,122155,130680
"341","334","          Medical expenditures of foreigners","DMEFRX0",2562,2686,2484,2255,2259,2295,2598,2694,2692,2692,2691,2688,2684,2683,2662
"342","335","          Expenditures of foreign students in the United States","DEFSRX0",18305,18913,19954,20559,20014,18716,17905,17527,17962,19028,19689,19898,20654,21327,21333
"343","336","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) (132)","DNPIRX0",150098,162643,176070,194166,206318,210320,209946,236607,242909,273598,276017,278284,278899,293626,287566
"344","337","    Gross output of nonprofit institutions (133)","DNPERX0",777738,807254,845853,896040,914422,938378,961660,999078,1022197,1055206,1072564,1086020,1099966,1132095,1144304
"345","338","      Health, gross output","DHLGRX0",444146,452941,467100,493629,510043,525638,546805,567185,578898,593211,614721,625043,642531,661231,676811
"346","339","        Outpatient services, gross output","DOUGRX0",52036,53507,56506,62557,63748,64522,64755,65459,64300,63812,65429,66435,68556,71648,74959
"347","340","        Nonprofit hospitals, gross output","DHSORX0",349794,356484,365603,385083,398268,412392,430590,448126,459880,473940,492502,501454,516579,531633,543570
"348","341","        Nonprofit nursing homes, gross output","DNXORX0",42382,43006,44998,46003,48031,48735,51458,53599,54715,55458,56790,57153,57384,57923,58249
"349","342","      Recreation services, gross output","DRCGRX0",26573,28054,29936,31408,32969,34222,35750,37372,39134,40604,39663,38536,38135,39921,40912
"350","343","      Education services, gross output","DEDGRX0",108138,113003,121037,127769,127689,128238,129957,134343,140545,144326,147407,149026,153107,158796,160035
"351","344","      Social services, gross output","DSSGRX0",70843,77764,86947,92269,95515,95739,98023,99925,102075,106122,108863,112104,111184,109432,110169
"352","345","      Religious organizations, gross output","DREORX0",66410,67412,70642,73430,73063,75426,75911,76048,78392,76351,75973,72051,69501,68377,68392
"353","346","      Foundations and grantmaking and giving establishments, gross output","DFXORX0",14778,16773,20122,21151,20836,21018,21488,24099,25343,27747,26381,25729,26459,26326,27144
"354","347","      Social advocacy establishments, gross output","DSAORX0",8225,8823,9611,11576,11953,12007,12579,14249,15847,17292,17359,17599,17785,18083,18568
"355","348","      Civic and social organizations, gross output","DCIORX0",8877,9438,10077,10826,11123,10765,10030,9854,9391,9616,9303,9213,9121,8999,9243
"356","349","      Professional advocacy, gross output","DSNGRX0",30158,33075,30067,33647,30965,35073,31027,35927,32542,39867,32895,36741,32277,41041,33272
"357","350","    Less: Receipts from sales of goods and services by nonprofit institutions (134)","DNPSRX0",638548,653495,676959,706713,710687,730999,755626,764112,780883,781544,796547,807713,820910,838753,856097
"358","351","      Health services to households","DHLRRX0",450828,461535,479522,511340,514829,534116,556911,564270,579140,580271,597519,608199,621694,638513,654247
"359","352","        Outpatient services to households","DOUSRX0",42363,44534,46726,52417,53828,56080,57558,55968,54026,53067,54379,55612,58226,59429,61622
"360","353","        Nonprofit hospitals' services to households","DNPHRX0",364767,373031,388022,413115,413365,429940,449424,458072,474055,476952,492269,501510,512558,528316,541876
"361","354","        Nonprofit nursing homes' services to households","DNPNRX0",44186,44287,45045,45809,47515,47945,49816,50183,51055,50252,50871,51075,50918,50747,50721
"362","355","      Recreation services to households","DRCRRX0",14112,14221,14532,14263,14824,16156,18210,18928,19152,18526,17520,17596,17212,17478,17677
"363","356","      Education services to households","DEDRRX0",93916,95993,98254,93825,91589,89386,88614,88365,88723,88704,87367,86888,87493,88288,88348
"364","357","      Social services to households","DSSRRX0",36846,39973,44111,46629,47555,48873,49469,49119,49600,50025,50621,52168,52209,51677,51461
"365","358","      Religious organizations' services to households","DRELRX0",6374,6177,6041,5867,5845,5948,5909,5920,6104,5945,5916,5610,5412,5324,5325
"366","359","      Foundations and grantmaking and giving services to households","DGIVRX0",1094,933,703,534,602,735,819,1051,1311,1162,1064,1115,1131,1116,1212
"367","360","      Services of social advocacy establishments to households","DSASRX0",2082,2079,2040,2037,2272,2275,2297,2528,2662,2780,2765,2890,2993,3026,3266
"368","361","      Civic and social organizations' services to households","DCISRX0",7010,7102,7078,7156,7264,7078,6647,6506,6431,6191,5943,5997,5829,6001,6571
"369","362","      Professional advocacy services to households","DSNRRX0",29524,28662,27660,26806,27088,26961,26910,27484,27748,27947,27832,27271,26948,27372,28141
"370",NA,"Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","363","  Control Group","DCGPRX0",1816010,1931128,1987519,2068788,2190373,2322514,2454200,2583791,2670072,2649474,2574364,2687763,2794910,2893480,3014516
"372","364","  PCE food and energy","DPFERX0",1166002,1184268,1191013,1201289,1223612,1245309,1277461,1292727,1306603,1277375,1269591,1290287,1289513,1289327,1309950
"373","365","  PCE energy goods and services \1\","DNRGRX0",499991,500026,496087,504118,509357,513927,517902,511041,514712,496317,499633,504009,492635,483796,492993
"374","366","  PCE excluding food","DPXFRX0",7122735,7499470,7695125,7904322,8153704,8476267,8770680,9034591,9244446,9217375,9072980,9249398,9492440,9708216,9907796
"375","367","  PCE excluding energy","DPXERX0",7302566,7689956,7895664,8099417,8357502,8689832,9006933,9301547,9519254,9504409,9343306,9532094,9802877,10042738,10244183
"376","368","  PCE excluding food and energy \2\","DPCCRX0",6638264,7008073,7203864,7403739,7645293,7960556,8249886,8521230,8728127,8722543,8573348,8745629,9004077,9233542,9424005
"377",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","369","    Market-based PCE","DPCMRX0",6909228,7240781,7428660,7629398,7868469,8168699,8457300,8695597,8897854,8848180,8705503,8880066,9115841,9331707,9539718
"379",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","370","  Market-based PCE motor vehicles and parts","DMOMRX0",301938,311566,327443,350481,360532,370855,364962,349985,357654,307713,287703,294159,309309,331498,351236
"381","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRX0",374262,420737,443090,482025,530331,592795,650108,707774,749919,742511,706260,762929,819145,884629,957389
"382",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRX0",667687,684177,693668,696691,712969,729444,757246,780358,790931,781490,769564,786125,798573,808964,820183
"384","373","  Market-based PCE clothing and footwear","DCLMRX0",242890,254628,257019,264839,277839,290818,306407,317041,323465,321882,306048,322262,334598,338539,343770
"385","374","  Market-based PCE gasoline and other energy goods","DGOERX0",302321,294435,294152,296443,296758,299290,297997,297429,296838,283403,284500,282220,275221,271468,272590
"386","375","  Market-based PCE other nondurable goods","DNDXRX0",599712,629232,648831,668068,702387,734096,760011,797756,819956,823256,807650,827252,854687,878269,910781
"387",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","376","  Market-based PCE services","DSEMRX0",4511882,4716449,4826398,4913621,5012620,5160896,5321905,5442021,5553634,5588388,5543777,5607054,5733266,5837039,5913573
"389",NA,"    Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","377","    Market-based PCE housing services","DHSMRX0",1259892,1299832,1344010,1349234,1366828,1407591,1472697,1512756,1526389,1550341,1570857,1588113,1616522,1638090,1645332
"391","378","    Market-based PCE household utilities","DUTLRX0",274311,281783,279025,285101,289597,290059,294878,289380,293372,288923,289422,295494,291503,285333,294501
"392","379","    Market-based PCE health care","DHLCRX0",1178313,1218812,1279578,1355577,1392522,1442266,1490444,1525245,1563233,1598825,1627380,1649189,1693290,1738367,1775762
