"","Table 8#30# Contributions to Percent Change in the Gross Domesti","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"46","37","  Government consumption expenditures and gross investment","A822RS",-0.32,-0.6,-1.21,0.47,1.16,0.06,0.52,0.27,0,-0.35,-0.23,1.16,-0.22,0.58,-0.69,0.64,7.06,1.24,0.65,0.5,0.04,1.27,0.32,0.29,0.52,0.93,1.18,0.94,0.68,0,0.26,0.41,0.58,0.53,0.61,0.59,0.88,0.95,1.3,1.37,1.8,1.74,1.61,1.56,2.1,2.16,1.37,1.43,1.29,1.65,2.17,1.98,1.37,0.83,1.04,0.61,0.36,0.59,0.55,0.65,0.8,0.69,0.48,0.51,0.49,0.53,0.45,0.4,0.25,0.46,0.66,0.41,0.31
"47","38","    Federal","A823RS",-0.08,-0.02,-0.11,0.06,0.29,0,0.47,0.08,0.06,-0.19,-0.29,0.64,-0.83,0.25,-0.84,0.51,6.64,0.58,-0.05,0.45,-0.02,0.55,0.01,0.15,0.4,0.78,0.67,0.58,0.57,-0.2,0.09,0.19,0.29,0.32,0.41,0.31,0.39,0.38,0.73,0.65,0.88,0.92,0.93,0.68,0.79,0.93,0.61,0.67,0.53,0.64,0.9,0.86,0.65,0.34,0.56,0.19,0.05,0.12,0.21,0.26,0.29,0.35,0.26,0.21,0.19,0.2,0.2,0.11,0.06,0.14,0.18,0.1,0.17
"48","39","      National defense","A824RS",-0.03,-0.02,-0.02,-0.04,0.07,0.05,0.03,0.05,0.01,0,-0.08,0.55,-0.92,0.23,-0.79,0.41,6.39,0.66,0.01,0.26,0.01,0.44,-0.08,0.1,0.4,0.7,0.64,0.52,0.45,-0.2,0.06,0.13,0.22,0.26,0.28,0.26,0.29,0.31,0.57,0.53,0.65,0.72,0.79,0.53,0.6,0.63,0.46,0.45,0.41,0.46,0.64,0.61,0.49,0.25,0.5,0.12,0,0.07,0.15,0.19,0.21,0.24,0.21,0.11,0.11,0.12,0.15,0.06,0.03,0.08,0.11,0.06,0.09
"49","40","        Consumption expenditures","A977RS",-0.03,-0.01,-0.01,-0.04,0.05,0.04,0.02,0.01,0,-0.01,-0.1,0.22,-0.51,0.2,0.47,1.36,5.7,0.58,-0.03,0.24,0,0.27,-0.1,0.16,0.35,0.61,0.43,0.39,0.42,-0.21,0.07,0.11,0.16,0.22,0.28,0.26,0.27,0.26,0.5,0.46,0.58,0.66,0.73,0.49,0.55,0.57,0.39,0.39,0.35,0.42,0.59,0.54,0.42,0.22,0.47,0.14,0.07,0.12,0.15,0.17,0.19,0.21,0.21,0.08,0.09,0.11,0.15,0.07,0.04,0.08,0.11,0.07,0.1
"50","41","        Gross investment","A788RS",0,-0.01,-0.01,0,0.02,0,0.01,0.03,0.01,0.01,0.01,0.33,-0.41,0.03,-1.27,-0.95,0.69,0.08,0.04,0.03,0.02,0.17,0.02,-0.06,0.05,0.09,0.2,0.13,0.03,0.01,0,0.01,0.06,0.04,0.01,0,0.03,0.05,0.07,0.06,0.07,0.06,0.06,0.04,0.05,0.06,0.07,0.06,0.06,0.04,0.06,0.07,0.07,0.03,0.03,-0.02,-0.06,-0.05,0,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0,-0.01,-0.01,0,0,0,0
"51","42","      Nondefense","A825RS",-0.05,0,-0.09,0.1,0.22,-0.05,0.44,0.03,0.05,-0.19,-0.21,0.09,0.08,0.03,-0.05,0.1,0.25,-0.08,-0.06,0.18,-0.03,0.12,0.09,0.05,0,0.08,0.03,0.06,0.12,0,0.03,0.07,0.07,0.06,0.13,0.05,0.1,0.07,0.16,0.12,0.24,0.2,0.14,0.14,0.2,0.3,0.15,0.22,0.13,0.18,0.26,0.25,0.16,0.1,0.06,0.07,0.05,0.05,0.07,0.07,0.08,0.12,0.05,0.11,0.08,0.08,0.05,0.05,0.03,0.06,0.06,0.04,0.08
"52","43","        Consumption expenditures","A542RS",-0.05,0.03,-0.02,0.04,0.11,-0.1,0.38,0,0.06,-0.18,-0.22,0.03,0.02,0.07,-0.07,0.13,0.24,-0.09,-0.09,0.18,-0.02,0.08,0.07,0.05,0.01,0.09,0.02,0.05,0.12,-0.01,0.03,0.06,0.06,0.05,0.1,0.07,0.08,0.05,0.14,0.1,0.2,0.17,0.12,0.12,0.16,0.25,0.14,0.2,0.11,0.15,0.22,0.21,0.14,0.09,0.06,0.07,0.05,0.04,0.06,0.06,0.07,0.11,0.05,0.1,0.07,0.07,0.05,0.05,0.03,0.05,0.06,0.04,0.08
"53","44","        Gross investment","A798RS",-0.01,-0.02,-0.07,0.06,0.11,0.05,0.05,0.02,0,-0.01,0.01,0.06,0.06,-0.05,0.03,-0.03,0,0.01,0.02,0.01,-0.01,0.04,0.02,0,-0.01,0,0.01,0.02,0,0.01,0,0,0.01,0.01,0.03,-0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.04,0.05,0.02,0.02,0.02,0.03,0.04,0.04,0.02,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0.01,0,0,0,0,0.01,0,0
"54","45","    State and local","A829RS",-0.23,-0.59,-1.1,0.4,0.88,0.06,0.05,0.2,-0.06,-0.16,0.06,0.51,0.61,0.33,0.15,0.13,0.43,0.66,0.7,0.06,0.06,0.72,0.3,0.14,0.12,0.15,0.51,0.36,0.11,0.2,0.17,0.22,0.29,0.21,0.2,0.27,0.49,0.57,0.57,0.73,0.92,0.82,0.69,0.88,1.31,1.23,0.76,0.77,0.76,1.01,1.28,1.12,0.72,0.49,0.48,0.41,0.3,0.47,0.33,0.39,0.51,0.34,0.22,0.29,0.3,0.32,0.26,0.29,0.19,0.32,0.49,0.31,0.14
"55","46","      Consumption expenditures","A991RS",-0.06,-0.24,-0.47,0.05,0.48,0.15,-0.17,0.13,-0.04,-0.07,0.06,0.27,0.39,0.28,0.16,0.13,0.38,0.5,0.55,0.09,0.13,0.42,0.25,0.15,0.18,0.13,0.28,0.26,0.16,0.2,0.2,0.21,0.25,0.17,0.17,0.2,0.38,0.48,0.43,0.53,0.68,0.62,0.55,0.7,0.86,0.94,0.71,0.68,0.64,0.81,1.01,0.88,0.59,0.47,0.47,0.38,0.25,0.4,0.28,0.34,0.45,0.3,0.21,0.25,0.25,0.26,0.22,0.25,0.17,0.27,0.41,0.26,0.12
"56","47","      Gross investment","A799RS",-0.17,-0.35,-0.63,0.35,0.39,-0.09,0.22,0.07,-0.02,-0.09,0,0.24,0.22,0.05,-0.01,0,0.05,0.16,0.15,-0.03,-0.07,0.29,0.05,-0.01,-0.06,0.01,0.23,0.1,-0.05,0,-0.04,0.01,0.05,0.04,0.03,0.07,0.11,0.09,0.14,0.2,0.24,0.21,0.14,0.19,0.45,0.29,0.06,0.09,0.12,0.2,0.27,0.24,0.13,0.02,0.01,0.03,0.06,0.07,0.05,0.05,0.06,0.03,0.01,0.04,0.05,0.06,0.04,0.04,0.02,0.04,0.07,0.05,0.02
"57",NA,"  Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","48","    Final sales of computers \2\","BB01RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08,-0.12,-0.08,-0.07,-0.15,-0.18,-0.15,-0.15,-0.14,-0.07,-0.07,-0.1,-0.1,-0.16,-0.17,-0.13,-0.21,-0.35,-0.36,-0.35,-0.38,-0.21,-0.27,-0.19
"59","49","    Gross domestic purchases less final sales of computers","BB05RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,10.71,9.17,5.88,3.65,3.67,3.09,2.4,3.45,3.48,3.92,4.18,3.51,2.63,2.45,2.17,2.44,2.18,2.01,1.2,1.88,2.72,2.21,1.34
"60","50","    Food","B981RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.38,0.19,0.29,0.35,0.28,0.51,0.51,0.37,0.12,0.16,0.17,0.22,0.27,0.2,0.16,0.19,0.22,0.28,0.18
"61","51","    Energy goods and services","B982RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.06,0.04,-0.73,0.06,0.02,0.26,0.38,0,0.01,0.04,0,0.03,0.19,0.03,-0.34,0.14,0.63,0.09,-0.26
"62","52","    Gross domestic purchases less food and energy","B983RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22,3.05,2.71,2.69,2.9,3.12,3.08,3.2,3.03,2.34,2.09,1.87,1.97,1.36,1.41,0.95,1.17,1.65,1.57,1.23
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64"," 1. Excludes software ``embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65"," 2. For some components of final sales of computers, includes computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","  Note. The price indexes on which the estimates in this table",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","are based are shown in tables 7.1, 7.2, 7.4, 7.6, and 7.11.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
