"","Table 3#17# Selected Government Expenditures by Function","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"71","60","  General economic and labor affairs","G17060",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.5,0.7,0.8,0.9,1.4,2.3,2.3,2.2,5.1,6,7.5,13,10.3,8.6,6.7,3.8,3.8,3.3,3.4,3.4,3.4,3.3,3.4,3.4,3.5,3.8,3.7,4.2,4.2,4.1,4.4,4.3,4.4,4.6,4.7
"72","61","  Agriculture","G17061",0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.7,0.9,0.8,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.7,0.7,0.8,0.9,0.9,0.9,1,1.1,1.3,1.5,1.2,1.4,1.5,1.5,1.3,0.9,0.9,0.9,0.8,0.8
"73","62","  Energy","G17062",0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,1,1.1,0.9,1.1,1.3,1.3,1.3,1.2,1.3,1.4,1.5,1.4,1,1,1.1,1.1,1,1.1,1,1.1,1.1,1
"74","63","  Natural resources","G17063",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.4,0.4,0.5,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.4,1.5,1.4,1.6,1.6,1.8,1.7,1.7,1.6,1.5,1.6,1.7,1.7,1.4,1.3,2,2.8
"75","64","  Transportation","G17064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0
"76","65","  Space","G17065",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.4,0.6,0.9,0.9,0.8,0.9
"77","66","Housing and community services","G17066",0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.3,0.6,0.4,0.4,0.5,0.6,0.7,1.4,1.7,1.9,2,1.8,2.2,2.9,3,3,3.8,4.5,4.5,4.1,3.9,4.3,4.3,4.6,4.2,4.1,3.9,3.4,3.4,3.5,3.7,4.9,5.7,6.1,7.3,11.2,12,12.9,13
"78","67","Health","G17067",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,1.9,2.6,1.9,2.4,4.3,4.9,7,6.7,9,10.3,12,13,14,15.8,17.6,20.7,21.2,22.2,24,26.7,29.2,31.8,35.9,40.3,48.9,63.5,76.1,86.1,90.2,97.2,101.7,104.3,111.1,123.2,133.4,153.1
"79","68","Recreation and culture","G17068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.3,0.3
"80","69","Education","G17069",0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.8,2.6,2.8,3,3.1,3.7,3.9,4.4,3.9,5,5.5,4.5,5.5,6.1,7.2,7.9,7.9,7.5,6.8,7.8,8.6,9,8.5,9.9,10.8,11.3,12.7,14.1,15,15.7,15.3,16.7,16.4,17.5,20.5,21.3,23.9
"81","70","Income security","G17070",1.5,1.6,1.7,1.7,1.8,2.1,2.4,2.6,2.6,3,3.2,3.5,3.8,4.2,4,4.5,5.2,6.1,7.3,9.5,11.2,10,9.1,12.8,14.7,15.6,17.5,17.9,21.7,22.8,22.9,24.7,26.5,27,28.7,29,30.8,32.4,35.8,39.1,42.4,44.6,49.8,52.4,51.3,52.7,53.9,57.5,60.6,66.4
"82","71","  Disability","G17071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,0.8,0.4,0.4,0.9,1,1.2,1.3,1.4,1.4,1.6,1.6,1.7
"83","72","  Retirement"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","73","  Welfare and social services","G17073",1.3,1.4,1.4,1.5,1.5,1.7,1.9,2.1,2.1,2.3,2.6,2.8,3.1,3.4,2.9,3.3,4.4,5.2,6.2,8.4,10,8.6,7.8,11.2,12.7,13.6,15.5,15.5,18.6,19.3,19.4,21,22.8,23.4,24.8,25.1,26.9,28.3,31.3,35.2,37.9,39,42.7,45.7,44.3,45.8,46.5,49.6,53.2,57.6
"85","74","  Unemployment","G17074",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.9,0.8,0.9,1.2,1.3,1.5,1.5,1.6,2,2.1,2.1,2.3,2.3,2.4,2.5,2.5,2.6,2.5,2.8,3,3.5,3.6,3.2,3.3,3.3,3.2,3.3,3.4,3.1,3.3
"86","75","  Other","G17075",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.6,0.2,0.2,0.3,0.2,0.3,0.4,0.3,0.2,0.4,0.3,0.3,0.4,0.7,1,0.9,0.7,0.8,0.5,0.7,0.6,0.5,0.8,1,0.4,0.6,1.1,2.9,2.3,2.3,2.3,2.7,2.8,2.7,3.8
"87",NA,"Subsidies less current surplus of government enterprises:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","76","      Government","A031RC",0.4,0.1,-0.1,-0.2,0.4,0.7,0.9,0.1,0.2,1.2,1.4,0.9,1.4,1.7,3,2.9,3,3.5,4.8,4.9,6.1,5.6,4.2,7.7,6.9,9.7,10.6,11,14.5,16.1,18.1,24.3,22.9,20.4,23.6,30.1,27.4,22.6,25.3,21.5,22.4,29.6,25.2,22.2,22.6,19.1,23.5,32.5,34.1,47.3
"89","77","General public service","G17077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,-0.1,0,0,0
"90","78","National defense","G17078",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
"91","79","Economic affairs","G17079",0.7,0.4,0.1,0.1,0.6,0.9,1.1,0.4,0.5,1.5,1.7,1.3,1.8,2.1,3.3,3.2,3.2,3.7,4.8,4.7,5,4.3,2.5,5.6,4,6.1,6.5,5.5,7.9,8.1,9.3,15.7,14,10.2,13.8,18.8,15.4,9.9,11.8,7.3,7.1,13.4,6.6,2.1,3.4,0.5,5.5,15.8,17.8,29.6
"92","80","  General economic and labor affairs","G17080",-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","81","  Agriculture","G17081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,1.2,1.3,1.6,3.2,8.7,8.7,7.5,12.6,16.8,15.6,11.5,11.3,8.5,8.4,14.7,8.5,8.6,9.1,8.6,14,24,25.5,23.8
"94","82","  Energy","G17082",-0.2,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.5,-0.6,-0.6,-0.6,-0.8,-0.8,-0.8,-0.8,-0.8,-0.9,-0.9,-0.9,-0.9,-1,-1.1,-1.3,-1.4,-1.5,-1.7,-1.9,-2.1,-2.2,-2.4,-2.8,-3.9,-4.5,-5.7,-5.8,-6.4,-6.9,-7.7,-7.1,-8.5,-8.6,-8.7,-9.3,-8.9,-8.7,-10.3,-11.1,-11.7,-12.1,-5.5
"95","83","  Natural resources","G17083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0,0,0,0.2,0,0,-0.1,-0.2,-0.1,0.5,0.1,-0.1,0.3,1.2,0.6,0.8,0.6,0.2,0.3,0.3,0.3,0.4
"96","84","  Transportation","G17084",0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,0,0.3,0.5,0.7,1.4,2.4,2.5,3,3.3,4.1,5.1,6,6.6,8.1,7.7,7.3,7.5,8.4,8.3,8.2,8.8,9.6,10.5,10.5,11.3,11.6,11.2,11.3,11.4,12.1,12.7,18.6
"97","85","  Postal service","G17085",0.8,0.6,0.4,0.5,0.7,0.6,0.7,0.5,0.7,0.8,0.9,0.7,0.8,0.8,1.1,1.2,0.9,1.1,2.1,2.3,1.8,2.4,2.5,4.4,2.9,3.7,3.2,3.5,5.1,4.3,4.2,5,5.4,5.3,4.7,5.7,5.2,5,6.8,6.1,5.6,5.7,6.5,2,3.9,4,4.3,4.5,5.2,6.5
"98","86","  Other \3\","G17086",-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.3,-0.4,-0.6,-0.6,-0.6,-0.7,-0.8,-1,-1.2,-1.3,-1.4,-1.9,-2.6,-3.3,-4.3,-5,-5.5,-6.7,-7.7,-8.1,-8.3,-9,-9.9,-10.9,-11.8,-12.7,-13.3,-13.3,-13.5,-13.9,-14.3
"99","87","Housing and community services","G17087",-0.2,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.4,-0.3,-0.3,-0.2,-0.1,0,0,0.1,0.4,1.2,1.4,1.8,2.3,3.1,3.7,4.4,5.8,6.9,8.3,9.2,9,9.3,10.6,10.2,11.6,12.4,13,13.9,14.6,15.6,16.5,18.9,20.4,19.5,19,18.4,17.1,16.7,18.1
"100","88","      Federal","A095RC",0.9,0.7,0.6,0.6,1.2,1.6,1.8,1.2,1.5,2.5,2.8,2.5,3,3.3,4.5,4.4,4.5,5,6.2,6.3,7.7,7,5,7.9,7.1,9.8,10.7,10.3,12.9,13.3,16.1,23.7,24,23.3,26.1,32.9,31.9,28.7,31.6,28.2,29.6,38.2,33.6,32.4,35.1,31.5,33.4,43,43.8,50.3
"101","89","General public service","G17089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,-0.1,0,0,0
"102","90","National defense","G17090",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
"103","91","Economic affairs","G17091",1.1,0.9,0.7,0.8,1.3,1.6,1.9,1.3,1.5,2.6,2.8,2.6,3.1,3.4,4.6,4.5,4.6,5,6,5.7,6.1,5.5,3.1,5.9,4.7,7,7.3,6,8,7.4,8.6,15.4,15.2,12.5,16.4,22.4,20.4,16.2,18,13.1,13.3,20.9,14.1,10.8,13.2,10.6,15.5,25.9,28.3,33.1
"104","92","  General economic and labor affairs","G17092",-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","93","  Agriculture","G17093",0.3,0.2,0.3,0.2,0.6,1,1.1,0.7,0.8,1.6,1.8,1.8,2.2,2.5,3.4,3.3,3.6,3.9,3.9,3.3,4.2,2.9,0.5,0.8,0.8,1.8,2.9,1.2,1.3,1.6,3.2,8.7,8.7,7.5,12.6,16.8,15.6,11.5,11.3,8.5,8.4,14.7,8.5,8.6,9.1,8.6,14,24,25.5,23.8
"106","94","  Energy","G17094",0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.2,-0.2,-0.2,-0.4,-0.4,-0.5,-0.5,-0.6,-0.8,-1,-0.9,-1,-1.7,-1.5,-2.5,-2.4,-2.2,-2.1,-2.5,-1.7,-2.8,-2.7,-2.6,-3.1,-2.3,-1.7,-3.4,-3.8,-3.7,-3.4,-3.3
"107","95","  Natural resources","G17095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0,0,0,0.2,0,0,-0.1,-0.2,-0.1,0.5,0.1,-0.1,0.3,1.2,0.6,0.8,0.6,0.2,0.3,0.3,0.3,0.4
"108","96","  Transportation","G17096",0,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,1.2,1.4,1.8,1.9,2.1,2.6,2.3,2.3,3.1,2.5,2.1,1.6,2.4,1.8,1.7,1.5,1.5,1.8,1.9,1.8,1.8,1.3,1.2,0.7,0.7,0.7,5.7
"109","97","  Postal service","G17097",0.8,0.6,0.4,0.5,0.7,0.6,0.7,0.5,0.7,0.8,0.9,0.7,0.8,0.8,1.1,1.2,0.9,1.1,2.1,2.3,1.8,2.4,2.5,4.4,2.9,3.7,3.2,3.5,5.1,4.3,4.2,5,5.4,5.3,4.7,5.7,5.2,5,6.8,6.1,5.6,5.7,6.5,2,3.9,4,4.3,4.5,5.2,6.5
"110","98","Housing and community services","G17098",-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.4,0.7,1.6,1.6,2,2.2,2.6,2.9,3.6,4.6,5.2,6.2,7.8,8.7,9.2,11.1,10.1,10.9,11.9,12.9,14,15.4,16.5,17.7,19.8,21.9,22.2,21.3,18.3,17.5,15.9,17.6
"111","99","      State and local","A113RC",-0.5,-0.6,-0.7,-0.8,-0.9,-0.9,-0.9,-1.1,-1.2,-1.3,-1.4,-1.6,-1.6,-1.7,-1.6,-1.5,-1.5,-1.4,-1.5,-1.3,-1.5,-1.4,-0.8,-0.2,-0.2,-0.1,0,0.6,1.6,2.8,2.1,0.7,-1.1,-2.8,-2.5,-2.8,-4.5,-6.1,-6.3,-6.6,-7.2,-8.6,-8.5,-10.2,-12.5,-12.4,-9.9,-10.5,-9.7,-3.1
"112","100","Economic affairs","G17100",-0.4,-0.5,-0.6,-0.7,-0.7,-0.8,-0.8,-0.9,-1,-1.1,-1.1,-1.2,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.2,-1.1,-1.1,-1.2,-0.6,-0.4,-0.7,-0.8,-0.9,-0.5,-0.1,0.8,0.6,0.3,-1.2,-2.4,-2.5,-3.6,-4.9,-6.3,-6.2,-5.8,-6.2,-7.4,-7.5,-8.6,-9.8,-10.1,-9.9,-10.1,-10.5,-3.5
"113","101","  Energy","G17101",-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.4,-0.5,-0.5,-0.5,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.8,-0.8,-0.7,-0.8,-0.9,-0.9,-1,-1.1,-1.2,-1.3,-1.3,-1.2,-1.5,-1.8,-2.2,-3,-3.2,-3.4,-4.1,-4.8,-5.1,-5.4,-5.7,-5.9,-6.1,-6.2,-6.6,-7.1,-6.9,-7.3,-8,-8.7,-2.1
"114","102","  Transportation","G17102",0,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.3,-0.3,-0.2,0,0.1,0.3,0.9,1.2,1.1,1.2,1.4,2,2.4,3.7,4.3,5,5.1,5.2,5.9,6.1,6.5,6.6,7.3,8.1,8.7,8.5,9.5,9.8,9.9,10.1,10.7,11.4,12,12.8
"115","103","  Other \3\","G17103",-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.3,-0.4,-0.6,-0.6,-0.6,-0.7,-0.8,-1,-1.2,-1.3,-1.4,-1.9,-2.6,-3.3,-4.3,-5,-5.5,-6.7,-7.7,-8.1,-8.3,-9,-9.9,-10.9,-11.8,-12.7,-13.3,-13.3,-13.5,-13.9,-14.3
"116","104","Housing and community services","G17104",-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.4,-0.4,-0.4,-0.3,-0.2,-0.2,-0.2,-0.2,-0.3,-0.4,-0.2,-0.2,0.1,0.5,0.7,0.9,1.2,1.7,2.1,1.4,0.4,0.1,-0.5,0.1,0.7,0.4,0.1,-0.1,-0.8,-1,-1.1,-0.9,-1.6,-2.7,-2.3,0.1,-0.4,0.8,0.5
"117",NA,"          Gross investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","105","      Government","A782RC",22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,40.4,43.8,44.7,44.4,44.8,44,46.3,49.4,57.4,64.5,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.8,139.4,158.8,173.2,184.3,186.2,197.7,215.8,220.3,223.1,220.9,225.6,238.2,250.1,264.6,277.1,304.7,319.8,335.8
"119","106","General public service","G17106",0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.6,0.8,0.8,1,1,1.2,1.4,1.9,1.5,1.6,1.7,2.2,2.8,3.7,3.6,3.5,4.1,4.5,5.1,5.3,5.4,5.8,6.4,7.2,8.4,9.1,9.2,10.4,12.4,13.4,13.5,14.7,15.9,18,19.2,22.2,24.9,28.2,28.9,28.6
"120","107","National defense","A788RC",13.4,14.7,12.1,10.1,10.5,10.5,11.3,13.7,12.3,13.9,14.5,12.6,11.5,10.1,12.3,14.3,13.2,12.5,12.3,9.7,11.2,11.3,12.3,14.5,15.3,16.7,17.8,21.4,24.3,28.9,34.7,41.9,48.7,57.5,62.9,66.4,61.3,62.7,65.9,63.4,61.6,55.7,54,53.1,54.6,48.4,49.4,52.3,53.5,55.5
"121","108","Public order and safety","G17108",0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.6,0.7,0.9,0.9,1.1,1.3,1.4,1.6,1.7,1.9,2.2,2.4,2.6,3,3.4,4.1,4.8,5.3,6.1,7.3,8.1,8.6,7.9,8,8.3,9.2,9.8,10.6,11,12,12.3,13.2
"122","109","Economic affairs","G17109",4.4,4.7,5.3,5.4,6.4,7.2,8.1,8.7,8.8,9.8,10.6,12.3,13.2,14.5,15.6,15.9,16.5,16.3,17.2,18,18.5,19,22.1,23.9,24.5,25.2,30,34.5,38.3,40.4,39.8,42.4,46.9,52.1,54.6,57.3,59.3,61.4,68.1,69.7,72.6,76,78.6,79.7,83.2,90.2,95.5,105.6,110.9,114.5
"123","110","Housing and community services","G17110",1.5,1.5,1.4,1.5,1.7,1.9,2.1,2.1,2.2,2.4,2.8,2.5,3,3.2,3.3,3.4,4.2,4,4.1,4.4,4.4,5,6.3,7.3,7.7,7.5,9.3,10.5,12.7,12.3,12,11.4,13,14.2,16,18.1,18.8,19.2,21.1,21.7,21.8,20.6,20,21.3,22.4,23.5,22.2,21.9,19.8,21.3
"124","111","Health","G17111",0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.9,1,1.1,1.2,1.6,1.7,1.7,2.2,2.5,2.8,2.9,3.1,3.5,4.2,4.4,4.6,5,5.6,6,6.5,7.1,7.1,7.9,8.7,9.1,9.7,11,11,11.9,13.1,14,15.7,16.5,17.3,18.2
"125","112","Recreation and culture","G17112",0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.7,0.8,1,1.4,1.4,1.3,1.5,1.6,1.8,1.8,1.8,1.9,2,2.2,2.5,2.7,2.9,3.3,3.9,3.8,3.7,3.7,3.7,4.3,4.8,6,6,6.5,6.4,6.7
"126","113","Education","G17113",1.9,2,2.5,2.8,3,3.3,3.4,3.2,3.4,3.7,3.7,4.2,4.7,5.3,6.5,7.3,7.4,7.3,7.1,7.1,7.3,8.4,9.5,9.8,9.4,8.5,9.2,10.2,11.3,10.9,10.8,11.2,12.9,14.9,16.9,17.6,20.7,24.5,26.6,29.5,31,29.8,32.6,39.3,41.5,48,50.4,59.4,68.5,75.5
"127","114","Income security","G17114",0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.9,1,1,1.2,1.3,1.3,1.4,1.5,1.7,2.1,2.3,2.3,2.4
"128","115","      Federal","A787RC",15,16.1,13.3,10.9,11.6,11.9,12.9,15.4,14.3,16.3,17.4,16.1,15.6,14.7,17.2,18.5,17,16.1,16,13.9,15.7,16.2,17.8,20.9,22.6,24.7,27.6,31.6,36.3,41.9,47.5,56.4,64.4,74.4,80.4,85.8,79.8,83,88.5,88.3,88.8,84.7,81.3,82.3,86.3,81.3,86.1,93.4,95.9,99.7
"129","116","General public service","G17116",0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.7,0.8,1.1,1.1,1.1,1.3,1.5,1.8,2,2.3,2,2.1,2.4,2.8,2.9,3.2,3.1,3.8,3.9,4.5,5.3,5.9,5.6,6.7
"130","117","National defense","A788RC",13.4,14.7,12.1,10.1,10.5,10.5,11.3,13.7,12.3,13.9,14.5,12.6,11.5,10.1,12.3,14.3,13.2,12.5,12.3,9.7,11.2,11.3,12.3,14.5,15.3,16.7,17.8,21.4,24.3,28.9,34.7,41.9,48.7,57.5,62.9,66.4,61.3,62.7,65.9,63.4,61.6,55.7,54,53.1,54.6,48.4,49.4,52.3,53.5,55.5
"131","118","Public order and safety","G17118",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.6,1.2,1.2,1.4,0.9,1,1.2,1.2,1.3,1.9,2.1,2.5
"132","119","Economic affairs","G17119",1.2,1.1,1,0.7,0.9,1.1,1.3,1.4,1.7,2.1,2.5,3.1,3.7,4.1,4.3,3.8,3.4,3.2,3.2,3.5,3.8,4,4.5,5.1,5.8,6.3,7.6,7.8,9,9.8,9.6,10.6,11.1,11.9,12,13.3,13,14.3,15.8,16.8,18.9,19.1,18.2,18.7,20,20.1,21.8,24.4,25.5,25.5
"133","120","Housing and community services","G17120",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.2,0.1,0.1
"134","121","Health","G17121",0.2,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.9,1,1.3,1.4,1.4,1.7,2.1,2.2,2.4,2.7,2.5,2.6,2.9,3,3.1,3.9,3.9,4.4,5.1,5.6,6.3,6.5,6.9,7.2
"135","122","Recreation and culture","G17122",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.5,0.6,0.6,0.6
"136","123","Education","G17123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.7,0.7,0.7,0.9
"137","124","Income security","G17124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.4,0.4,0.6,0.7,0.9,0.8,0.8
"138","125","      State and local","A799RC",7.3,7.9,9.2,10,11.3,12.5,13.5,13.9,13.9,15,15.9,17.5,19,20.8,23.1,25.3,27.7,28.3,28.7,30.1,30.6,33.2,39.6,43.6,43.8,42.8,49.5,56.8,64,65,64.8,66.4,75,84.4,92.8,98.4,106.3,114.7,127.2,132.1,134.3,136.2,144.2,155.8,163.8,183.3,191,211.3,223.9,236.2
