"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"58","51","      Sports and recreational vehicles (79)","DWHLRA3",8.593,7.64,6.979,7.765,8.874,11.178,13.287,16.419,18.107,23.663,28.144,31.09,33.29,42.143,47.17,40.993,44.674,48.996,53.658,54.914,55.509,42.578,42.495,40.565,41.616,51.494,53.211,57.201,59.529,59.759,58.988,55.269,52.039,50.652,56.804,62.917,67.547,71.705,78.073,85.764,93.092,100.264,100.16,103.971,117.732,131.236,138.08,140.784,144.65,128.683,100,95.98,97.572,101.883,107.222
"59","52","        Motorcycles","DMCYRA3",3.045,2.675,2.634,3.18,3.696,5.54,7.593,10.497,12.039,16.895,21.254,27.28,32.63,39.665,54.492,63.785,71.547,56.227,53.148,59.204,76.029,66.171,68.937,62.948,54.109,59.85,60.564,53.035,35.367,36.74,34.187,31.275,33.246,35.313,41.628,45.258,47.273,50.582,53.552,63.787,72.296,86.967,101.036,104.618,121.168,135.494,136.645,137.532,140.981,134.802,100,92.025,96.906,101.945,103.803
"60","53","        Bicycles and accessories","DBCYRA3",13.295,11.562,11.132,13.261,15.27,18.358,20.251,23.035,22.391,28.922,33.501,41.44,47.589,53.629,64.425,61.309,37.719,37.777,45.51,49.546,49.901,49.914,50.041,48.487,50.843,56.82,59.212,65.248,77.139,78.708,78.535,75.975,71.114,68.571,72.964,77.866,78.403,80.714,82.886,81.991,80.174,78.975,76.948,75.686,80.617,85.366,89.817,93.906,98.75,101.261,100,102.067,102.967,107.89,108.511
"61","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRA3",10.066,9.03,8.023,8.597,9.772,12.175,14.467,17.943,20.344,26.251,31.03,31.806,32.06,42.592,43.608,32.056,40.315,50.883,57.201,56.723,52.993,36.477,35.595,34.612,38.126,50.166,52.097,59.066,65.628,65.285,64.931,60.65,55.983,53.653,60.185,67.484,73.861,78.695,87.186,95.327,103.779,109.373,103.828,108.625,122.777,137.474,147.106,150.302,154.157,131.131,100,96.449,96.926,100.863,108.273
"62","55","          Pleasure boats","DBOARA3",15.021,13.385,11.224,12.027,13.66,16.657,18.343,22.898,26.896,29.395,33.255,30.727,28.103,39.884,41.342,31.875,35.883,41.792,46.823,46.336,51.279,34.616,32.738,31.474,32.905,44.983,44.032,52.661,63.26,62.261,59.472,52.271,43.902,36.924,41.954,46.757,59.042,66.773,77.534,82.2,90.351,98.419,95.762,98.519,108.568,120.676,130.418,138.919,140.213,127.542,100,91.562,92.168,94.176,104.055
"63","56","          Pleasure aircraft","DAIRRA3",18.289,15.462,14.181,14.857,14.311,13.267,12.296,14.116,13.721,21.527,23.801,27.305,25.038,25.52,38.392,41.112,49.832,59.343,67.064,62.953,66.672,42.687,38.052,33.639,34.269,45.689,43.3,50.312,58.766,64.651,70.115,69.681,66.148,61.55,63.188,62.425,69.804,69.722,72.382,78.475,78.036,82.719,74.42,71.177,82.205,98,113.667,124.931,144.044,128.888,100,100.725,101.323,112.864,145.177
"64","57","          Other recreational vehicles","DREVRA3",3.296,3.19,3.535,3.834,4.725,6.932,10.372,12.85,13.823,23.349,29.527,33.693,37.571,48.084,46.949,31.04,44.055,60.068,67.659,67.693,53.048,37.735,38.506,38.319,44.605,56.686,62.499,67.572,69.278,68.82,70.434,68.948,68.34,71.617,80.539,91.799,91.307,93.522,100.236,112.618,122.644,125.547,117.094,125.327,144.586,162.083,170.752,166.786,171.447,135.53,100,101.424,101.738,106.82,107.969
"65","58","      Recreational books (part of 90)","DRBKRA3",19.411,20.192,21.304,22.471,24.309,28.523,28.599,30.93,30.236,31.246,33.645,40.319,38.747,36.538,36.694,37.43,35.067,30.883,32.079,35.914,38.146,39.147,40.263,39.574,40.947,43.621,42.341,42.833,47.274,50.05,51.047,51.877,51.046,51.93,56.293,63.158,69.641,74.159,79.676,82.232,90.956,98.019,98.192,99.828,103.005,104.169,105.004,106.418,105.191,103.786,100,103.694,105.851,111.145,115.976
"66","59","      Musical instruments (part of 80)","DMSCRA3",11.219,11.212,11.858,12.719,14.032,15.974,18.555,22.264,23.735,24.142,23.25,23.349,22.878,25.147,27.712,28.119,28.793,30.575,31.015,31.9,32.661,30.816,29.436,26.604,29.609,32.03,35.359,38.121,40.37,42.194,41.904,43.796,46.397,46.061,49.83,55.954,61.588,64.364,67.615,73.601,84.147,101.913,104.864,110.216,108.703,115.802,115.788,120.365,120.607,113.469,100,99.966,104.12,114.414,113.148
"67","60","    Other durable goods","DODGRA3",9.245,9.312,9.5,10.378,10.75,11.678,12.878,14.813,14.944,16.403,17.043,17.871,18.689,19.708,22.386,23.49,24.853,27.366,28.924,30.508,30.111,27.541,27.952,28.002,30.517,33.987,36.533,40.704,42.168,43.583,44.137,44.364,42.436,43.296,45.478,47.562,48.672,51.906,54.505,59.859,67.002,72.956,71.388,75.79,82.903,90.263,96.935,103.953,108.865,105.261,100,104.237,109.798,116.098,124.52
"68","61","      Jewelry and watches (part of 119)","DJRYRA3",8.17,8.098,7.977,8.563,8.992,9.511,10.895,13.551,14.489,15.53,15.423,15.463,16.345,17.298,20.996,23.102,24.95,29.365,32.308,34.395,33.356,30.675,31.57,31.509,34.499,38.923,41.898,47.97,48.113,49.209,48.911,47.901,46.317,47.972,51.697,54.648,58.072,63.492,66.089,73.164,81.958,88.951,86.144,91.384,100.068,108.434,116.234,121.951,121.461,110.389,100,101.589,103.722,109.195,117.047
"69","62","        Jewelry","DJLYRA3",7.514,7.447,7.336,7.875,8.27,8.747,10.02,12.462,13.325,14.426,14.585,14.886,16.012,17.102,20.659,22.538,24.127,28.151,30.826,32.975,32.262,29.925,31.066,31.151,34.213,38.82,42.023,48.386,48.672,49.781,49.479,48.457,46.855,48.529,52.423,55.687,59.471,65.343,68.179,75.086,83.63,90.839,87.71,92.459,101.298,109.913,118.147,123.701,122.462,110.442,100,101.236,102.314,107.771,115.685
"70","63","        Watches","DWTCRA3",12.513,12.402,12.217,13.114,13.773,14.567,16.686,20.754,22.191,22.831,20.955,19.256,18.507,18.545,23.164,26.773,30.34,37.345,42.059,43.729,40.518,35.561,34.807,33.78,36.275,39.463,40.91,45.019,44.212,45.219,44.945,44.017,42.562,44.082,46.668,47.521,48.54,50.925,51.922,60.087,70.521,76.054,75.379,83.86,91.478,98.163,103.117,109.836,114.33,109.996,100,104.312,115.051,120.624,127.91
"71","64","      Therapeutic appliances and equipment (42)","DTAERA3",7.415,7.507,7.657,9.099,9.007,9.898,10.687,11.711,10.283,11.619,12.817,14.056,13.729,14.979,16.271,17.272,17.943,18.14,18.454,19.598,21.266,21.932,22.695,23.449,25.553,28.83,31.898,35.132,38.341,43.092,44.482,49.389,45.172,44.887,45.544,48.219,48.27,52.026,56.331,61.009,64.536,68.449,66.439,70.889,75.739,81.194,86.838,92.206,99.967,100.693,100,106.255,111.575,116.586,120.909
"72","65","        Therapeutic medical equipment","DTMERA3",5.178,5.563,5.874,6.883,6.198,7.006,7.63,8.52,7.404,8.501,9.501,10.715,10.77,11.656,12.907,14.651,15.155,15.132,15.435,16.918,19.179,20.855,22.277,23.216,24.599,26.945,28.991,30.951,33.392,35.764,35.277,37.049,32.793,31.577,31.229,32.173,31.563,33.18,35.446,41.244,46.787,52.622,55.905,59.353,66.025,74.625,82.205,91.74,101.331,102.908,100,107.535,112.768,118.692,124.079
"73","66","        Corrective eyeglasses and contact lenses","DEYERA3",9.486,9.167,9.087,10.922,11.573,12.48,13.397,14.495,12.813,14.333,15.681,16.898,16.206,17.771,19.08,19.417,20.226,20.614,20.935,21.771,22.898,22.665,22.835,23.411,26.178,30.319,34.353,38.808,42.735,49.75,52.951,60.887,56.774,57.418,59.068,63.428,64.14,69.971,76.242,79.728,81.196,83.172,76.103,81.479,84.615,87.139,91.01,92.637,98.777,98.755,100,105.148,110.541,114.776,118.189
"74","67","      Educational books (96)","DEBKRA3",45.439,47.295,50.312,54.534,59.895,68.391,66.731,71.06,69.154,71.471,77.538,94.543,90.254,83.764,84.92,87.219,93.095,88.781,95.948,108.81,117.479,122.367,124.081,120.293,125.912,135.265,138.544,144.339,156.376,159.857,159.174,158.384,153.587,151.95,157.585,162.878,164.579,160.415,160.13,163.784,171.58,169.396,163.523,160.236,154.031,147.538,140.185,130.397,117.532,110.142,100,97.776,93.014,90.104,88.715
"75","68","      Luggage and similar personal items (part of 119)","DLUGRA3",14.843,15.18,16.209,17.086,17.674,19.603,21.336,22.737,23.043,26.274,28.033,29.439,32.554,34.437,37.263,35.943,37.051,39.202,39.038,38.898,35.008,25.888,23.607,22.95,26.1,28.901,31.433,34.655,36.451,34.245,35.649,32.681,32.31,33.43,34.484,33.775,31.5,31.879,33.376,37.94,47.793,56.082,54.182,57.644,65.413,74.934,84.197,94.336,102.324,103.075,100,109.31,127.618,143.875,168.541
"76","69","      Telephone and facsimile equipment (67)","DTCERA3",0.197,0.205,0.218,0.241,0.262,0.291,0.305,0.325,0.336,0.355,0.354,0.352,0.347,0.359,0.401,0.429,0.44,0.467,0.497,1.586,3.722,5.941,7.957,8.634,8.012,7.527,6.809,6.48,6.264,6.436,6.839,6.939,6.935,7.188,7.801,8.752,9.482,10.099,10.621,12.23,15.877,20.171,23.794,27.911,37.895,48.291,55.838,75.048,94.478,100.721,100,104.109,113.135,118.654,126.401
"77","70","  Nondurable goods","DNDGRA3",29.447,29.936,30.54,31.481,32.159,33.668,35.365,37.33,38.132,39.745,40.845,41.753,42.536,44.257,45.528,44.42,44.802,46.932,48.001,49.734,51.017,50.931,51.57,52.105,53.801,56.028,57.72,59.775,60.802,62.401,64.087,64.834,64.644,65.9,67.576,70.211,71.949,74.028,76.206,79.041,83.029,85.678,87.168,88.781,91.882,94.875,98.033,101.243,102.952,101.818,100,102.226,104.177,105.594,107.672
"78","71","    Food and beverages purchased for off-premises consumption","DFXARA3",45.695,46.022,46.663,46.973,47.357,48.97,51.421,53.428,54.65,57.073,58.647,60.286,61.004,62.221,61.137,59.904,60.985,63.975,64.921,64.638,65.537,66.212,65.988,67.268,68.968,70.355,72.431,73.91,73.438,75.378,76.318,77.899,77.802,77.499,78.132,80.309,80.723,81.533,82.243,83.389,86.774,88.907,90.131,90.528,92.636,94.78,98.397,101.411,102.769,101.547,100,102.145,103.75,105.12,106.527
"79","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRA3",49.39,49.871,50.637,50.78,51.102,52.881,55.744,57.892,59.238,61.613,62.871,64.171,64.311,65.19,63.381,61.456,62.608,65.755,66.329,65.888,66.575,67.078,66.669,67.939,69.69,71.377,73.395,74.91,74.591,76.78,77.689,79.047,79.845,80.153,80.642,82.574,82.733,83.208,83.638,84.363,87.556,89.134,90.05,90.263,92.727,94.945,98.775,101.533,102.861,101.551,100,101.594,102.876,103.915,105.053
"80","73","        Food purchased for off-premises consumption","DFOFRA3",50.905,51.174,51.638,51.846,52.255,54.37,57.107,58.846,59.791,62.246,63.346,65.623,65.926,65.831,64.121,62.341,63.338,67.224,70.045,69.288,69.653,70.112,69.358,70.037,71.398,72.862,74.695,75.908,75.471,77.295,77.903,78.987,79.622,80.021,80.49,82.606,83.261,83.382,83.756,84.434,87.721,89.504,90.337,90.513,92.714,94.625,98.417,101.041,102.481,101.142,100,101.526,102.837,103.965,105.014
"81","74","          Cereals and bakery products","DCBPRA3",42.734,42.869,42.278,41.329,41.455,42.967,44.426,44.961,44.299,46.929,48.418,46.523,52.653,53.077,52.347,52.039,58.209,63.963,68.879,68.039,71.022,72.663,72.003,73.116,69.446,70.861,72.191,71.325,71.738,72.772,72.95,75.027,75.441,74.464,74.835,76.139,77.321,78.508,80.005,82.526,87.545,91.72,94.944,96.689,98.001,99.208,102.804,105.649,106.149,102.921,100,102.099,105.144,104.769,105.025
"82","75","            Cereals","DGRARA3",20.063,22.167,23.213,21.986,22.861,23.527,23.582,24.673,24.237,26.403,28.335,26.571,36.2,29.396,32.316,35.445,42.045,47.281,55.122,55.394,58.828,61.67,63.241,62.748,59.492,61.055,61.089,64.95,68.323,70.055,71.116,74.752,76.44,76.767,76.834,77.528,79.207,82.049,84.398,83.414,84.315,85.138,85.081,82.817,86.424,90.8,96.81,103.32,106.083,102.545,100,101.904,101.327,101.602,103.525
"83","76","            Bakery products","DBAKRA3",57.993,56.676,54.916,54.19,53.789,55.868,58.302,58.426,57.616,60.531,61.712,59.762,63.386,69.109,65.412,62.414,68.053,74.041,77.036,75.522,78.233,79.154,77.134,79.229,75.316,76.64,78.746,75.028,73.652,74.258,73.89,74.99,74.609,72.819,73.38,75.063,75.931,76.113,77.104,81.633,88.988,95.044,100.079,104.015,104.075,103.578,105.895,106.84,106.183,103.112,100,102.198,107.07,106.368,105.789
"84","77","          Meats and poultry","DMAPRA3",51.85,53.424,55.335,55.555,58.289,63.876,65.113,68.048,69.322,72.502,75.385,80.083,76.147,74.974,68.809,70.723,73.74,78.175,75.502,75.502,74.335,75.867,76.418,77.349,79.594,79.234,81.35,82.342,79.013,81.894,83.868,84.158,85.514,88.199,86.891,89.086,90.419,88.96,87.666,89.88,93.171,92.053,90.46,89.871,91.219,92.117,95.724,97.789,98.902,99.871,100,100.721,103.061,103.164,103.282
"85","78","            Beef and veal","DBEERA3",123.95,126.458,131.09,131.765,135.944,152.523,160.346,170.762,165.755,181.23,189.5,194.293,183.834,179.578,163.458,169.557,182.858,194.321,166.934,165.299,149.528,144.971,144.703,144.769,146.141,145.315,147.622,156.099,147.443,142.716,137.544,130.524,124.813,120.151,114.03,115.4,114.289,113.099,107.582,109.57,112.242,109.049,103.988,104.825,100.301,96.419,98.688,98.789,98.072,98.5,100,99.52,98.515,96.286,96.633
"86","79","            Pork","DPORRA3",48.803,48.756,47.163,48.756,52.272,55.036,50.716,50.542,57.309,54.802,59.122,63.579,64.336,60.928,54.223,54.223,50.419,51.494,58.779,62.945,71.799,79.457,80.768,81.169,89.504,87.97,92.576,88.721,81.794,88.772,93.499,86.652,85.305,89.542,87.592,88.818,89.428,83.058,79.303,83.629,87.74,82.864,80.842,80.183,83.058,85.798,89.669,92.091,95.036,97.532,100,97.733,98.246,101.86,103.327
"87","80","            Other meats","DMEARA3",40.697,43.546,45.434,44.693,47.826,49.61,50.602,50.401,52.835,54.417,55.184,54.964,52.765,52.322,49.074,51.869,56.926,59.401,61.399,55.366,51.941,53.057,50.343,50.074,50.506,49.957,52.663,50.403,49.186,53.891,59.266,61.138,63.923,67.79,68.891,70.797,72.166,72.74,73.016,75.147,78.016,78.75,79.314,77.513,81.56,87.108,92.672,95.205,100.001,101.807,100,102.391,104.962,107.286,109.845
"88","81","            Poultry","DPOURA3",13.29,14.242,16.018,15.761,16.749,18.867,19.422,21.159,21.849,21.824,21.685,28.422,25.201,26.818,25.838,25.776,25.649,28.738,30.881,32.611,36.231,38.861,41.681,44.405,44.312,45.165,45.18,46.313,47.658,51.784,54.771,63.438,70.754,76.999,78.077,81.665,85.131,85.404,87.527,88.504,91.88,93.418,93.213,92.421,95.354,95.811,99.078,102.201,101.252,101.178,100,102.457,108.637,107.104,104.681
"89","82","          Fish and seafood","DFISRA3",83.318,89.903,89.092,91.022,93.293,103.293,111.327,115.232,108.698,125.806,141.768,145.294,120.91,112.846,106.087,85.654,74.499,76.631,80.343,80.986,83.555,82.137,80.555,75.444,94.695,111.673,112.969,117.898,117.645,113.514,111.292,111.279,108.202,101.475,98.749,97.171,93.333,94.355,92.289,92.634,96.237,97.547,101.199,104.554,106.502,110.721,111.663,106.348,104.144,103.182,100,101.212,103.113,104.717,104.627
"90","83","          Milk, dairy products, and eggs","DMDERA3",84.187,79.447,77.526,76.856,77.738,77.508,83.868,81.172,79.572,80.546,79.13,81.798,80.867,82.58,81.93,78.048,83.449,87.042,96.437,90.547,88.506,87.055,82.075,78.229,77.534,77.928,80.457,80.316,83.547,85.591,83.647,80.948,83.056,81.258,80.998,82.295,82.145,77.841,77.131,76.971,77.937,80.234,80.325,81.199,85.407,87.555,92.996,98.225,98.303,96.211,100,100.553,99.963,99.565,100.668
"91","84","            Fresh milk","DMILRA3",126.733,120.344,118.226,117.92,116.986,115.585,126.724,122.146,116.181,114.223,112.911,114.107,110.361,112.212,113.766,105.239,113.336,119.15,127.984,117.127,110.106,104.752,97.81,91.471,91.717,97.075,102.042,105.689,113.141,113.075,107.923,99.979,101.825,94.363,90.894,87.955,85.66,78.216,74.299,73.92,73.288,75.807,75.201,77.66,82.559,82.063,84.941,91.086,90.782,91.834,100,98.269,97.253,97.642,98.2
"92","85","            Processed dairy products","DDAIRA3",69.743,64.232,61.679,59.722,60.74,63.925,66.114,62.373,59.979,67.292,69.779,68.544,69.068,72.455,71.618,69.908,75.56,77.771,88.414,83.31,83.144,83.775,79.581,76.053,75.493,73.383,74.942,72.7,74.189,77.48,79.061,78.587,80.719,80.373,81.591,83.742,84.152,81.777,81.044,80.244,80.771,83.57,84.29,84.651,89.654,92.041,95.491,100.263,103.735,100.623,100,101.98,101.817,101.255,103.408
"93","86","            Eggs","DGGSRA3",39.171,38.132,37.502,38.298,41.779,37.872,43.516,45.657,52.832,46.005,37.009,49.261,50.3,47.696,43.732,43.317,42.989,45.693,52.07,53.881,56.469,56.803,53.636,54.409,51.085,49.423,49.936,49.002,49.004,51.141,43.135,44.121,46.666,52.745,54.476,63.05,66.057,61.815,68.525,71.385,78.39,77.856,77.06,75.97,75.18,82.77,103.395,107.976,95.939,90.184,100,100.34,99.155,97.572,96.175
"94","87","          Fats and oils","DFATRA3",56.967,57.259,55.155,58.597,62.741,66.078,63.218,65.227,71.716,80.377,81.575,79.807,92.483,91.705,88.793,85.049,74.186,71.51,74.889,77.202,80.76,83.664,84.715,91.717,89.195,89.811,91.862,88.19,84.515,87.118,87.712,90.661,90.398,93.932,93.359,92.199,89.319,87.849,86.304,83.247,84.443,85.558,81.597,80.299,85.784,86.539,94.249,102.602,108.357,101.481,100,100.307,95.321,92.306,95.369
"95","88","          Fresh fruits and vegetables","DFAVRA3",63.377,61.535,64.913,63.237,59.762,56.922,59.178,60.394,64.453,63.307,60.45,68.264,62.441,61.941,60.208,54.615,54.238,52.614,52.297,53.514,56.102,57.554,59.31,62.603,66.045,62.862,65.31,70.035,72.632,72.248,71.006,70.467,67.997,69.231,70.836,74.161,71.312,74.75,77.073,76.805,83.437,88.615,91.797,92.303,92.335,92.618,95.459,93.715,94.482,94.868,100,102.677,102.043,112.721,110.732
"96","89","            Fruit (fresh)","DFRURA3",51.062,46.62,47.121,45.143,41.853,43.162,48.165,48.025,51.098,50.919,47.809,54.376,51.918,54.691,54.506,52.065,52.36,52.049,50.958,48.32,47.168,47.896,51.868,50.181,55.623,54.527,53.671,62.28,63.693,64.29,66.326,65.233,61.166,66.528,68.893,69.726,66.916,65.667,67.3,69.192,70.031,76.944,79.856,81.414,82.785,85.694,90.643,90.359,92.573,93.355,100,104.284,104.865,111.803,111.692
"97","90","            Vegetables (fresh)","DVEGRA3",72.796,73.452,79.543,78.265,74.811,67.864,67.521,69.914,74.754,72.73,70.209,78.946,70.325,66.969,63.971,55.91,54.971,52.253,52.596,57.254,63.415,65.545,65.254,72.958,74.582,69.654,75.019,76.047,79.675,78.425,74.357,74.301,73.337,70.753,71.69,77.065,74.213,81.592,84.483,82.43,93.827,97.494,100.877,100.569,99.581,97.867,99.12,96.27,95.928,96.011,100,101.497,99.992,113.409,110.027
"98","91","          Processed fruits and vegetables","DPFVRA3",61.605,69.367,69.131,73.44,71.586,74.244,83.216,85.618,83.523,89.439,97.268,101.499,105.587,108.319,112.233,103.758,113.702,119.555,133.641,132.703,132.815,131.238,129.817,130.09,129.167,127.866,121.275,122.457,117.484,112.83,108.175,106.364,106.09,101.31,102.842,102.974,103.23,101.588,100.687,96.872,96.643,95.883,93.023,87.55,92.185,96.679,101.125,105.262,108.991,105.831,100,102.277,103.173,103.481,104.997
"99","92","          Sugar and sweets","DSWERA3",71.989,77.155,78.469,77.532,72.487,76.198,82.286,89.088,90.524,92.148,91.658,87.524,108.557,107.73,108.516,108.685,88.333,100.982,108.546,102.536,104.923,99.689,95.513,89.613,95.5,97.244,97.251,94.86,90.241,94.563,97.889,101.582,102.378,101.731,103.835,107.096,108.328,107.744,107.457,106.687,109.404,110.868,112.292,110.086,110.366,112.15,113.649,113.002,112.355,108.228,100,101.117,102.167,104.867,112.154
"100","93","          Food products, not elsewhere classified","DOFDRA3",17.647,17.397,17.54,19.111,19.286,20.197,22.307,25.208,27.607,29.402,29.524,30.866,29.723,30.008,32.697,29.783,28.196,30.813,32.331,34.03,33.409,34.181,34.123,37.564,40.426,46.419,50.011,53.915,55.099,58.386,60.696,64.511,65.855,67.306,69.435,72.891,75.303,77.548,79.203,79.245,81.546,82.754,83.976,84.554,88.276,92.282,96.295,101.06,105.05,104.231,100,101.951,103.554,103.227,105.666
"101","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRA3",40.791,43.112,46.534,46.12,45.708,44.823,48.917,54.699,59.676,61.548,64.345,57.149,55.917,65.316,62.429,58.947,61.583,59.128,46.476,47.617,49.959,50.684,52.066,56.427,60.206,63.051,66.042,69.135,69.448,73.671,76.328,79.34,81.144,80.875,81.493,82.257,79.322,82.025,82.827,83.863,86.418,86.626,88.102,88.564,92.867,97.281,101.387,105.12,105.647,104.545,100,102.09,103.154,103.519,105.359
"102","95","          Coffee, tea, and other beverage materials","DCTMRA3",44.298,46.82,50.536,50.086,49.639,48.677,53.123,59.403,64.808,66.84,69.878,62.063,60.726,70.932,67.797,64.016,66.878,64.213,50.472,57.829,68.027,70.143,88.292,95.852,104.191,107.173,110.908,96.927,110.554,110.444,104.474,105.4,101.182,96.722,104.843,91.007,78.028,88.109,81.802,81.108,85.101,85.135,87.024,86.574,89.701,93.096,93.276,96.638,97.45,99.462,100,99.384,96.023,97.741,102.767
"103","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRA3",40.93,43.26,46.694,46.278,45.864,44.976,49.084,54.886,59.88,61.758,64.565,57.344,56.108,65.539,62.642,59.148,61.793,59.33,46.635,46.722,47.908,48.446,47.772,51.755,55.016,57.824,60.714,65.92,64.541,69.266,72.933,76.18,78.642,78.816,78.668,81.068,79.482,81.162,82.968,84.264,86.606,86.84,88.257,88.846,93.311,97.866,102.522,106.307,106.793,105.253,100,102.467,104.17,104.334,105.707
"104","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRA3",22.484,22.612,22.799,24.188,24.924,25.924,26.87,28.37,29.177,31.795,34.738,37.608,40.886,43.468,45.941,47.744,48.649,50.689,53.802,55.018,57.452,59.326,60.254,61.833,63.275,63.017,65.495,66.837,65.812,66.316,67.601,70.689,65.309,61.604,63.094,66.643,68.569,71.401,73.832,77.466,82.027,87.507,90.619,92.084,92.125,93.805,96.106,100.594,102.244,101.54,100,105.639,109.391,112.773,116.103
"105","98","        Spirits","DLIQRA3",28.297,26.966,26.721,27.452,32.484,33.307,36.918,39.456,39.341,45.236,50.445,52.375,55.934,64.604,68.463,71.818,75.681,78.075,82.058,75.557,73.658,69.716,62.712,56.104,58.342,57.165,59.501,57.498,57.856,60.169,62.848,67.647,65.782,65.226,63.033,63.274,61.398,62.263,61.752,65.7,68.785,72.617,74.541,75.415,78.336,83.238,87.721,94.896,100.507,101.077,100,105.488,109.238,114.172,118.613
"106","99","        Wine","DWINRA3",7.217,7.233,7.723,8.789,9.095,9.581,9.675,9.944,9.945,10.515,11.238,12.622,15.229,16.751,17.203,18.374,17.038,16.711,17.519,19.861,23.391,27.115,30.305,34.045,35.769,35.991,37.575,38.003,36.433,37.575,39.033,42.058,39.6,38.532,40.009,43.394,45.659,47.747,48.851,54.808,61.489,69.308,77.671,84.389,85.603,89.869,93.461,98.232,100.681,100.55,100,107.113,112.946,117.664,121.935
"107","100","        Beer","DMLTRA3",30.681,31.964,32.286,34.513,32.457,34.03,33.694,35.406,37.488,39.377,42.471,47.223,50.966,50.289,53.399,54.682,55.447,58.968,63.218,68,71.919,75.401,78.665,82.707,83.518,83.376,86.501,90.077,88.721,87.908,88.391,90.68,81.688,74.764,78.045,83.322,86.911,91.191,95.94,97.8,101.617,106.317,106.583,104.99,102.841,101.337,101.787,104.777,104.013,102.354,100,104.845,107.409,109.346,111.662
"108","101","      Food produced and consumed on farms (6)","DFFDRA3",1080.218,976.571,953.71,839.235,801.647,751.424,661.673,609.831,566.841,524.066,485.661,508.741,480.747,488.226,467.141,558.843,518.733,530.059,517.329,422.94,390.192,371.577,367.831,332.122,325.713,303.341,294.877,281.186,213.535,206.865,180.245,159.116,157.446,155.087,142.649,145.369,136.474,126.33,110.535,114.529,109.676,94.367,79.547,87.688,75.095,82.873,93,114.173,90.361,95.702,100,88.621,70.27,102.097,74.798
"109","102","    Clothing and footwear","DCLORA3",15.492,15.632,15.921,16.642,16.947,18.236,18.995,20.268,20.409,21.228,21.637,21.388,22.288,23.874,25.592,25.103,25.736,26.922,28.364,31.353,33.179,34.208,36.386,36.991,39.524,42.795,44.704,48.054,49.836,51.302,54.018,53.645,53.682,56.533,58.941,62.243,64.8,67.943,70.177,74.456,79.345,83.184,83.971,86.535,90.805,94.996,100.089,103.571,105.678,105.159,100,105.274,109.283,110.562,112.007
"110","103","      Garments","DGARRA3",14.287,14.462,14.78,15.493,15.855,17.143,17.921,19.159,19.33,20.055,20.412,20.374,21.285,22.817,24.499,24.173,24.978,26.129,27.553,30.457,32.313,33.44,35.653,36.558,39.158,42.668,44.535,47.855,49.553,51.143,53.802,53.262,53.588,56.755,59.265,62.509,65.175,68.234,70.496,74.678,79.318,83.167,84.072,86.918,91.159,95.286,100.501,103.399,105.021,104.801,100,105.625,109.278,110.218,111.988
"111","104","        Women's and girls' clothing (10)","DWGCRA3",12.611,12.829,13.171,13.927,14.325,15.511,16.123,17.177,17.036,17.665,17.927,17.919,18.836,19.858,21.219,20.955,21.733,22.714,23.854,26.592,28.416,29.751,32.252,33.48,36.386,40.149,42.268,46.189,47.481,48.67,51.414,50.444,50.77,54.117,56.221,58.53,61.053,64.017,65.538,70.271,76.085,80.955,82.135,85.325,89.678,94.31,100.125,102.895,104.696,104.895,100,105.744,109.357,111.184,113.434
"112","105","        Men's and boys' clothing (11)","DMBCRA3",18.967,19.005,19.229,19.842,20.041,21.689,22.758,24.465,25.298,26.218,26.519,26.116,27.286,29.829,32.034,31.55,32.695,34.109,36.235,39.301,40.965,41.56,43.101,43.056,45.317,48.506,50.109,52.743,55.223,57.557,60.337,60.896,61.387,64.719,68.105,73.361,76.542,80.344,84.023,87.151,90.036,92.317,92.3,94.427,97.905,100.33,103.659,105.88,105.859,104.515,100,105.732,109.116,109.053,109.436
"113","106","        Children's and infants' clothing (12)","DCICRA3",4.896,5.188,5.626,6.028,6.806,6.819,8.144,8.791,9.539,10.328,12.864,15.283,13.658,16.403,19.593,19.443,18.217,19.941,20.751,24.348,27.359,28.719,30.947,33.225,34.153,36.503,37.043,37.667,39.416,41.213,42.321,40.613,40.124,40.657,42.66,44.833,46.228,46.502,48.461,52.965,56.003,58.773,61.718,65.046,71.887,79.723,88.797,96.016,103.852,105.369,100,104.101,109.391,107.526,112.012
