"","Table 9#1U# Reconciliation of Percent Change in the CPI with Per","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151"
"26","18","    Gasoline and other motor fuel","W918RV2",-0.01,0.01,-0.05,-0.05,0,0,-0.01,-0.01,-0.01,-0.04,0.01,0,-0.08,-0.08,0.01,0.09,0.09,-0.01,-0.03,-0.07,-0.06,0.06,0.01,-0.02,-0.05,-0.02,0,0.02,-0.05,-0.03,0.01,0,-0.02,-0.07,-0.04,0.02,0.06,-0.05,-0.02,-0.02,0.05,-0.01,-0.1,-0.11,-0.25,0.08,0.19,0.02,-0.07,0.02,0.01,-0.09,-0.02,0,-0.09,-0.04,0.17,0.13,0.01,-0.09,0.03,-0.02,-0.08,-0.03,-0.06,0,-0.01,0.03,-0.04,-0.01,-0.11,-0.02,-0.01,-0.03,-0.02,0.02,-0.08,-0.2,-0.07,0.09,-0.01,0.26,0.53,0.24,-0.04,-0.09,0.06,0,-0.06,-0.23,0.01,-0.07,-0.02,-0.02,-0.06,0,-0.03,0.03,0.02,0.03,0.03,0.01,-0.03,-0.02,-0.02,-0.08,-0.04,-0.11,-0.02,-0.04,-0.1,-0.04,-0.04,0.02,0,0,-0.03,0.04,0,0.03,0,-0.07,-0.04,0.05,0.08,0.02,0.02,-0.12,-0.11,0,0.11,0.03,0.06,-0.15,0.08,0.14,0,-0.1,-0.02,0,-0.01,0.03,0.01,-0.04,0.02,0.03,0.03,-0.04
"27","19","    Electricity, gas, fuel oil, and other household fuels","W919RV2",0.01,0,0,0,0,0.01,0,0,0,-0.01,0,-0.01,0,-0.02,-0.07,-0.01,0,0,0,0,-0.01,0.01,0.01,0,-0.01,-0.02,0.02,-0.01,-0.01,-0.03,-0.01,-0.01,0.01,0.01,-0.04,0,0.01,-0.01,0,-0.03,-0.02,0,-0.02,-0.02,-0.08,-0.1,-0.03,0.04,-0.06,0.03,0.03,0.02,0.01,0.01,0,-0.01,-0.02,0.05,-0.02,-0.02,-0.01,-0.01,-0.02,0,0,-0.02,0.02,0.01,-0.01,-0.01,0,0,0,-0.02,-0.02,-0.04,-0.04,-0.04,-0.06,0,0.05,0.01,0.02,0,0.01,0.01,0.03,0.03,0.03,0.01,0.01,0,0,-0.01,-0.02,0,-0.01,0,-0.01,0,0.01,0,0,0,0.01,0,0.01,-0.01,0.01,-0.01,0,-0.01,-0.01,0,0,0,-0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,-0.01,0.02,0,0,0,-0.01,0,-0.01,-0.01,0,-0.03,-0.02,0,0.02,0.01,-0.01,0,0,0,-0.04,-0.02,-0.04,0.04
"28","20","    Other","W920RV2",0.03,0.02,0.01,0.04,-0.01,0.01,-0.02,0,0.01,0.01,0.01,0,0.01,-0.02,-0.01,0.02,-0.01,-0.01,0.02,0.02,0.05,0.01,-0.01,0.01,0.02,0,0.02,0.02,-0.02,0.01,0,0.02,-0.03,-0.01,-0.03,0,0,0.01,0.03,-0.02,0.02,0.01,0.01,0.01,-0.03,0.01,-0.01,0.02,-0.01,0.01,0.02,0.01,0.02,0,-0.02,0.02,0.03,0.02,0.01,0,0.02,-0.01,-0.01,0,0,0.01,-0.02,-0.01,0.02,0.01,-0.01,0.02,0.03,0.03,0.02,0.01,0,0.02,-0.01,0.01,0.03,0.03,0,0.01,0.02,0.01,0.04,0.02,-0.01,0,-0.01,-0.03,-0.01,-0.01,-0.03,-0.05,-0.03,0,0.01,-0.01,0.01,-0.03,-0.02,0.03,0.02,-0.02,-0.01,-0.03,-0.01,-0.03,-0.06,0.03,-0.03,-0.02,-0.02,0,0,0.02,-0.01,0.03,0.04,-0.01,-0.03,-0.08,-0.03,-0.02,0,0.02,0.02,0.01,0.01,0,0.02,-0.03,-0.01,-0.04,-0.03,0.04,-0.01,0.02,0,0,-0.01,-0.04,0.03,-0.02,-0.03,-0.04
"29","21","  Less: Scope effect - PCE price index items out-of-scope of the CPI (percentage points)","W921RV2",-0.01,0.08,0.07,0.08,0.09,0.07,0.1,0.04,0.06,0.02,0.03,0.02,-0.03,0.06,0.1,0.09,0.1,0.02,0.06,0.02,0.06,0.05,0.06,0.06,0.1,0.05,0.04,0.1,0.07,0.08,0.07,0.04,0.06,0.02,0.04,0.06,0.09,0.07,0.08,0.07,0.07,0.05,0.07,0.04,0.07,0.1,0.06,0.04,0.02,0.03,0.04,0.08,0.01,0.08,0.04,0.05,0.05,0.04,0.04,0.11,0.19,0.09,0.03,0.03,0.03,0.07,0.07,0.09,0.1,0.05,0.01,0.08,-0.01,0.02,0.06,0.03,0.05,0.02,-0.02,-0.01,-0.03,-0.07,-0.04,-0.03,-0.09,-0.05,-0.05,0.06,0.06,0.04,0.03,0.04,0.05,0.15,0.07,0.03,0.06,0.04,0.07,0.03,0.05,0.04,0.03,0.03,0.03,0.07,0.03,0,0.01,0.03,0.04,0.05,0.05,0.01,0.03,0.04,0.03,0.02,0.04,0,0.06,0.03,0.04,0.05,0.03,0.07,0.05,0.01,0.02,0.08,0.05,0.03,0,0.01,0.01,-0.04,0.02,0.03,0,0.05,0.05,0.07,0.04,0.04,0.02,0.02,0.05,0.05
"30","22","    Physician services","W922RV2",-0.03,0,0,0,0,0,0.01,0,0,0,0,0.01,-0.02,0,0.03,0.01,0.01,0,0.01,0.01,0,0,0.01,0,0.02,0.01,0,0.01,0,0,0,0,0.01,0,0,0.01,0.01,0.01,0.01,0,0,0.01,0,0,0.01,0.01,0,0,-0.02,0,0.01,0,0.01,0.01,0.01,0.01,0,0,0,0.02,0.09,0.01,0,0,0,0,0,0.01,0.03,0,-0.04,0.04,-0.01,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0.02,0,0.01,0.01,0.02,0.01,0.01,0,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.02,0.01,0.01,0.01,0,0,0.01,-0.02,0.02,0,0.01,0,0.01,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0.01,0,0.01,0,-0.01,0,0,0,0,-0.01,0.01,0,0,0,0,0,0.01,0,0,0.01,0,0
"31","23","    Hospital and nursing home services","W923RV2",0.01,0.02,0.03,0.02,0.03,0.02,0.05,0.04,0.04,0.01,0.05,0.04,0.04,0.03,0.02,0.03,0.06,0.02,0.03,0.02,0.01,0.06,0.02,0.01,0.07,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.01,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.07,0.04,0.02,-0.01,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.01,0.05,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0,0.01,0.02,0.01,0.01,0.01,0.02,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.03,-0.01,0.02,0.03,0,0.02,0.01,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.04,0.02,0.02,0.01,-0.05,0.02,0.02,0.01,0.01,0.02,0.03,0.01,0,0,0.01,0.01,0.03
"32","24","    Financial services furnished without payment","W924RV2",-0.02,0.01,0.02,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.01,-0.01,0.02,0.01,0,0.01,0,0.01,0.01,0,-0.02,0,0.02,0.02,0,0,0.02,0.01,0.02,0.02,0.02,0.01,0,0,0,0.01,0,0,0.02,0,0.01,0.02,0,0.01,0.01,0.01,0,0.02,0,0.01,0.01,-0.02,0.02,-0.01,0,0,0,0,0.02,0.01,0,0,0,0,0.01,0.03,0.02,0.02,0,0,0,0.01,0.01,0.01,0,-0.01,0,-0.03,-0.03,-0.03,-0.03,-0.03,-0.02,-0.1,-0.07,-0.04,0.02,0.01,0,-0.03,-0.01,0,0.07,0.02,-0.01,0.01,0.02,0.05,0,0.02,0.01,0,-0.01,-0.02,0.01,0.01,-0.01,0,-0.01,-0.01,-0.01,-0.01,0.01,0.03,0.02,0.02,0,0,-0.01,0.03,0.03,0.02,0,0.01,0.03,0.03,-0.01,-0.01,0.05,0.02,-0.02,-0.01,-0.01,-0.01,-0.02,-0.01,-0.02,0,0.02,0.01,0.01,0.01,0,0,0,0.01,0.01
"33","25","    Foreign travel by U.S. residents","W925RV2",0,0,0.01,0.01,0.01,0.01,0.02,0.01,0,-0.01,-0.01,0,0.01,0.02,0.02,0.03,0.01,0,0,0,0,-0.01,0,0,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0,0.01,0,0.02,0.01,0.02,0,0.01,0,-0.01,-0.01,-0.01,0,0.01,0.02,0,0.01,0,0,0.01,0,0,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0,-0.01,-0.01,-0.01,-0.03,-0.03,-0.01,-0.01,-0.02,0,-0.01,0,0,0.01,0.01,0.01,0.02,0.01,0,0,0.01,0,0,0,0,-0.01,0.01,0.01,0,0,0,0,0.01,0.01,0.01,-0.01,0.01,0.01,0,-0.01,0,0,0,0.02,0,0,0,0,-0.01,0,0,0.01,0,0,0,0,0.01,-0.02,0.01,0.01,-0.01,0,0,0.01,0.01,0.01,-0.01,0,0.01,0.01
"34","26","    Final consumption expenditures of nonprofit institutions serving households","W937RV2",0.01,0.02,0,0,0,0.01,-0.02,-0.01,-0.01,0,-0.01,-0.01,-0.01,0,0.01,-0.03,-0.02,0,0,0,0.01,-0.02,0,0,-0.04,-0.01,0,0.02,0.01,0,0.01,-0.01,0,-0.01,-0.01,0.01,0.02,-0.02,0.03,0,0,-0.01,0.02,0.01,0,0.01,-0.01,0.01,0,0,0,0.01,-0.02,0,-0.01,0,0,0,0,0.01,0.02,0.01,0.01,-0.01,0,0.01,0,0.01,0,-0.03,0,0.01,0.01,0,0.02,-0.01,0.02,0,0,0,0.01,-0.04,0,0,-0.04,0,-0.02,0.01,-0.02,0,0.01,-0.02,0.01,-0.02,-0.01,0,0,0,-0.01,-0.01,0.01,-0.01,0.01,0.01,-0.01,0.01,0,0.01,0,-0.01,0,0.01,0.02,-0.02,0,-0.01,-0.01,0.02,0.02,-0.04,0.03,-0.03,0.01,0.01,-0.02,0.01,-0.01,-0.01,0,0.02,0,-0.01,-0.01,0,0,0.06,0.01,0.01,-0.01,0.02,0.01,-0.01,0,0.02,0.02,0.01,0.01,0
"35","27","    Other","W926RV2",0.02,0.03,0.02,0.02,0.02,0.01,0.02,-0.01,0.02,0,-0.01,-0.03,-0.04,0.01,0.02,0.04,0.02,-0.01,0.02,-0.02,0.04,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0,0.01,0,0.01,0.01,0.02,0.04,0.01,0.02,0.02,0.01,0.01,0,0.02,0.04,0.03,0.02,-0.02,-0.01,0,0.01,0,0.01,0.01,0.02,0.03,0.02,0.02,0.04,0.04,0.03,0.01,0,0.01,0,0.02,0.02,0.03,0.02,0,0,-0.02,-0.01,-0.02,0.01,-0.01,-0.01,-0.02,0.01,-0.01,-0.01,0,-0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.02,0.02,0.02,0.01,0.02,0.03,0,0,0,0.02,0,0.01,0.02,0.01,0.01,0.01,-0.01,0.01,0,0.01,0.02,0,0,-0.02,0,-0.01,0.02,0,0,0,-0.01,0,0.01,0.01,0,0,0.01,0,0,0.02,0.01,-0.02,0,0.01,0,0,0.01,0,0.01,0,0.03,0.01,0,0.01,0.01,0.02,0
"36","28","  Plus: Scope effect - CPI items out-of-scope of the PCE price index (percentage points)","W927RV2",0.03,0.01,0.02,0.02,0.02,0.01,0.03,0.02,0.02,0.03,0.03,0.01,0.01,0.01,0,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.04,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0,0.02,0.02,0.02,0.01,-0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.01,0.03,0,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0.02,0.01,0.03,0.02,0.02,0.01,0,0.01,0,0.01,0.03,0.01,0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.03,0.02,0.01,0.02,0,0.02,0.01,0.01,0.02,0.01,0,0,0.02,0.01,0.04,0.02,-0.01,0,0.01,0.01,0.02,0.02,0.02
"37","29","    Physician services","W928RV2",0.01,-0.01,0,0,0,0,0.02,0,0,0.01,0.01,0,0,0,0,0,0.01,0,0.01,0,0,0.01,0,0.01,0,0.01,0.01,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,-0.01,0,0.01,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,-0.01,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0.01,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0.01,0,0,0,0.01
"38","30","    Hospital and nursing home services","W929RV2",0.01,0.01,0.01,0.02,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0,0.01,0.01,0,0,0,0.01,0,0,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0,0.01,0.01,0,0.01,0.02,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,0.01,0,0,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.01,-0.01,0,0.01,0,0.03,0.01,0,0,0,0.02,0.01,0.01,0.01
"39","31","    Other","W930RV2",0.01,0,0,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0,0.01,0.01,0,0.01,0.01,0.02,0.02,0,0.04,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,0.01,0,0.01,0.01,0.01,0,-0.01,0.01,0,0,0,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0,0,0,0.01,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0.01,0.01,0,0,0,0,0,0,0.02,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0,0.01,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0
"40","32","  Less: Other effects (percentage points)","W931RV2",-0.07,0,0,0.01,-0.01,0.03,-0.01,-0.03,0.01,0.03,-0.02,-0.05,0.03,-0.03,0.05,0.01,-0.03,0.04,-0.02,0,0,0.03,0.05,-0.02,-0.05,0.01,0.02,-0.04,0.01,-0.01,0.01,0.03,-0.03,-0.02,-0.01,0.05,0.01,-0.04,0,0.02,0.02,0,-0.04,-0.05,-0.03,0.03,0.1,-0.05,0.01,0.01,0.01,-0.04,-0.01,0,-0.02,-0.01,0.01,0.02,0.03,-0.04,0,0,-0.01,-0.01,-0.01,0.01,0,0.01,-0.03,0.01,-0.04,-0.01,-0.01,0.01,0.01,0,-0.01,-0.05,-0.04,-0.02,0.02,0.06,0.09,0.04,0,-0.01,0.03,0.01,-0.03,-0.02,-0.05,0.05,0,-0.04,-0.03,-0.01,0.15,0.02,0.01,-0.01,-0.01,0,-0.01,-0.02,-0.03,-0.02,-0.02,-0.02,-0.01,0,0.03,0,0.01,0,-0.01,0.01,-0.01,0.02,0,0.06,-0.05,0.11,0.06,-0.16,0.02,0.18,0,-0.03,-0.04,-0.1,-0.05,0.04,-0.07,0.11,0.08,-0.15,-0.04,0.18,-0.01,0.03,0.02,-0.03,-0.04,0.05,-0.01,0,0.03,-0.02
"41","33","    Seasonal adjustment","W932RV2",-0.02,0,-0.01,0,0.01,0.01,0,-0.01,-0.02,0,0.01,-0.05,0.02,-0.03,0.03,0.01,-0.01,0.04,-0.02,-0.01,-0.01,0.02,0.05,-0.04,-0.03,0.01,0.02,-0.04,0.02,-0.01,-0.01,0.02,-0.04,-0.03,0.01,0.02,0,-0.04,0,0.03,0.04,0.01,-0.04,-0.04,-0.07,0.03,0.08,-0.04,0.01,0,0.01,-0.03,0.01,0.01,-0.02,-0.01,0.02,0.01,0,-0.01,0,0,-0.01,-0.01,0.01,0,0,0.01,-0.02,-0.01,-0.03,0,-0.01,0.01,0.01,0.01,0,-0.03,-0.01,0,-0.02,0.03,0.08,0.03,0,0,0.03,0.01,0,-0.02,-0.04,0.04,0,-0.05,-0.02,0,0.15,0.02,0.02,0,0.01,0,-0.01,0,-0.02,-0.03,-0.01,-0.03,0,0,0,0,0.01,0.01,0,0,-0.02,-0.01,-0.01,0.05,-0.06,0.09,0.07,-0.16,0.04,0.17,-0.01,-0.02,-0.03,-0.1,-0.03,0.05,-0.06,0.12,0.08,-0.14,-0.02,0.17,-0.02,0.01,0.02,-0.01,-0.01,-0.02,0.01,0.03,0.02,0
"42","34","    Price effects","W933RV2",-0.05,0,0,0.01,-0.02,0.02,-0.01,-0.02,0.03,0.02,-0.03,0,0.01,0,0.01,-0.01,-0.01,0,0.01,0.01,0.01,0,0,0.02,-0.02,0,0,-0.01,-0.01,0.01,0.02,0,0.01,0,-0.02,0.02,0.01,0,0,-0.02,-0.02,-0.01,0,-0.01,0.03,0.01,0.02,0,0,0.01,0,-0.01,-0.02,0,-0.01,0,0,0.01,0.03,-0.03,0,0,0,0,-0.02,0.01,0,0,-0.01,0.02,0,-0.01,0,0,0,-0.01,-0.01,-0.02,-0.03,-0.02,0.04,0.03,0,0.01,0,-0.01,0,0,-0.03,0,-0.01,0.01,0,0.01,-0.02,0,0.01,0,-0.01,-0.01,-0.02,0,0,-0.02,-0.01,0.01,0,0.01,-0.01,0,0.03,0,0,-0.01,0,0.01,0.01,0.03,0.01,0.01,0.01,0.02,-0.01,-0.01,-0.02,0.01,0,-0.01,-0.01,0,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02,0.01,0,0.02,0,-0.02,-0.03,0.07,-0.02,-0.03,0.01,-0.02
"43","35","      Gasoline and other motor fuel","W934RV2",0,0,0,0,-0.01,0,0,0,0,0.01,0,0,0,0,0,0,-0.01,0,0,0,0,0.01,0,0,0,0,0,0,-0.01,0,0,0,0,0.01,0,0,0,0,0,0,-0.01,0,0,0,0,0.01,0,0,0,0,0,0,-0.01,0,0,0,0.01,0.01,0,0,0,0,0,0,-0.01,0,0,0,0,0.01,0,0,0,0,0,0,-0.02,0,0,0,0.01,0.01,0,0,0,0,0,0,-0.01,0,0,0,0,0.01,0,0,0,0,0,0,-0.01,0,0,0,0,0.01,0,0,0,0,0,0,-0.02,0,0,0,0.01,0.01,0,0,0,0,0,0,-0.02,0,0,0,0,0.01,0,0,0,0,0,0,-0.02,0,0,0,0.01,0.01,0,0,0,0,0,0
"44","36","      Air transportation","W935RV2",-0.05,0,0,0.01,-0.01,0.02,-0.01,-0.02,0.03,0.01,-0.03,0,0.01,0,0.01,-0.01,0,0,0.01,0.01,0,0,0,0.02,-0.02,0,0,-0.01,0,0.01,0.02,0,0.01,-0.01,-0.02,0.02,0.01,0,0,-0.02,0,-0.01,0,-0.01,0.03,0,0.02,0,0,0.01,0,-0.01,0,0,-0.01,0,-0.01,0,0.03,-0.03,0,0,0,0,0,0.01,0,0,-0.01,0.01,0,-0.01,0,0,0,-0.01,0.01,-0.02,-0.03,-0.02,0.04,0.02,0.01,0.01,0,-0.01,0,0.01,-0.01,0,-0.01,0.01,-0.01,-0.01,0,0.01,0.02,0.01,0,0,-0.01,0,0.01,-0.02,-0.02,0.01,0,-0.01,-0.01,0.01,0.01,-0.01,0.02,0,-0.01,0,0,0.01,0,0.01,0,0.01,0,0,0,0.01,0,0,-0.01,0,-0.01,0,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,0.02,0.02,0,-0.01,-0.03,0.08,-0.02,-0.03,0.01,-0.01
"45","37","      Other","W901RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,0,-0.01,0,0,0,0,0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,-0.01,0,0,-0.01,0,0.02,0,0,0.01,0.02,0,0,0,0.01,0,0.01,0.01,0,0,0.01,-0.01,0,0,0,0.01,-0.01,-0.01,-0.01,0,-0.01,0,0,0,0,0,0,-0.02,0,0,-0.01,0,-0.01,-0.01,0,-0.01,-0.01
"46","38","    Other differences","W936RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","39","Equals: CPI (percent change)","SRSA0V1",0.2,0.2,0.3,0.5,0.1,0.1,0.2,0.3,0.2,0.2,0.2,0.2,0.4,0.5,0.2,-0.4,-0.2,0.1,0.3,0.4,0.3,-0.1,0.1,0.3,0.4,0.2,0.2,0.2,0.4,0.4,0.1,0.1,0.3,0.5,0.5,0,-0.1,0.4,0.4,0.3,-0.1,0.1,0.6,0.6,1.4,0.2,-0.5,0,0.6,0,0.2,0.5,0.3,0.2,0.5,0.4,-0.5,-0.5,0.1,0.5,0.2,0.4,0.5,0.3,0.4,0.2,0.2,0,0.4,0.3,0.8,0.3,0.3,0.2,0.4,0.2,0.6,1,0.7,-0.1,0.1,-0.9,-1.8,-0.8,0.3,0.4,-0.1,0.1,0.2,0.8,0,0.3,0.2,0.3,0.3,0.1,0.1,-0.1,0,0,0,0,0.2,0.2,0.1,0.3,0.2,0.5,0.3,0.4,0.5,0.3,0.4,0.1,0.2,0.3,0.3,0,0.1,0,0.3,0.2,0.3,0.2,-0.1,0,0,0.5,0.5,0.2,-0.2,0,0.1,0.6,-0.2,-0.2,0.2,0.3,0.2,0.1,0.1,0,0.1,0.2,0.1,0.1,0.2,0.3
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","CPI Consumer price index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","PCE Personal consumption expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
