"","Table 3#19# Relation of State and Local Government Current Recei","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"62","42","        Employer contributions to own social insurance funds","L319381","-31.0","-33.0","-40.0","-43.0","-45.0","-54.0","-44.0","-74.0","-117.0","-142.0","-208.0","-233.0","-233.0","-248.0","-236.0","-206.0","-202.0","-293.0","-246.0","-236.0","-305.0","-317.0","-387.0","-631.0","-744.0","-858.0","-1,036.0","-698.0","-765.0","-759.0","-812.0","-751.0","-716.0","-803.0","-833.0","-980.0","-932.0","-1,017.0","-1,028.0","-1,332.0","-2,363.0"
"63","43","Plus: Timing and other differences \9\","L319391","1,133.0","1,238.0","1,873.0","-274.0","2,258.0","4,003.0","1,305.0","1,861.0","746.0","951.0","2,445.0","613.0","1,109.0","2,348.0","3,905.0","1,185.0","-1,176.0","1,925.0","-333.0","1,413.0","1,476.0","-198.0","4,873.0","3,324.0","8,231.0","11,807.0","8,216.0","15,708.0","10,920.0","9,644.0","7,612.0","15,430.0","9,725.0","14,825.0","30,699.0","-785.0","4,231.0","6,909.0","8,087.0","9,903.0","-2,032.0"
"64","44","Equals: State and local government current expenditures, NIPAs","L319401","91,394.0","104,844.0","121,199.0","135,528.0","150,277.0","167,418.0","193,468.0","217,357.0","236,090.0","257,895.0","280,835.0","311,909.0","347,003.0","377,699.0","409,644.0","438,334.0","476,046.0","520,218.0","560,693.0","597,911.0","640,916.0","697,311.0","763,629.0","822,834.0","869,168.0","912,447.0","964,306.0","1,000,762.0","1,040,118.0","1,088,986.0","1,154,069.0","1,240,579.0","1,338,475.0","1,426,287.0","1,506,958.0","1,567,859.0","1,654,489.0","1,740,417.0","1,845,298.0","1,968,799.0","2,025,235.0"
"65",NA,"      Net state and local government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","45","Census total revenue less Census total expenditures (1-25)","L319411","553.0","2,054.0","-4,676.0","302.0","12,384.0","11,884.0","-5,202.0","-942.0","13,316.0","24,821.0","23,067.0","17,464.0","19,680.0","22,902.0","26,461.0","51,775.0","62,174.0","65,920.0","67,257.0","57,268.0","62,939.0","56,175.0","17,592.0","33,206.0","57,025.0","67,153.0","66,487.0","115,999.0","154,022.0","191,581.0","168,182.0","195,385.0","-8,259.0","-244,945.0","-116,839.0","167,508.0","160,230.0","239,887.0","403,420.0","-182,718.0","-899,948.0"
"67","46","Plus: Net investment (32)","L319421","17,828.0","18,276.0","20,114.0","20,350.0","19,985.0","20,703.0","23,430.0","24,044.0","21,465.0","19,847.0","25,893.0","31,669.0","31,741.0","27,098.0","26,023.0","27,796.0","34,970.0","42,315.0","46,810.0","48,558.0","53,694.0","60,584.0","64,868.0","67,424.0","63,916.0","61,509.0","69,916.0","72,492.0","83,902.0","88,111.0","98,194.0","110,118.0","119,686.0","134,846.0","135,319.0","135,713.0","130,555.0","138,238.0","149,847.0","159,726.0","156,485.0"
"68","47","Less: Net capital transfers received (10)","L319431","6,990.0","6,569.0","6,456.0","6,874.0","7,554.0","8,310.0","9,477.0","11,231.0","12,500.0","13,151.0","14,474.0","17,408.0","18,724.0","16,980.0","17,452.0","18,718.0","20,783.0","23,180.0","22,701.0","22,533.0","23,422.0","24,050.0","25,655.0","26,036.0","26,980.0","29,264.0","31,950.0","32,867.0","34,312.0","34,869.0","37,713.0","42,380.0","46,659.0","51,929.0","50,624.0","51,318.0","54,057.0","55,583.0","57,095.0","61,503.0","62,260.0"
"69","48","      State and local employee retirement plans (3-27)","L319441","5,175.0","6,037.0","6,936.0","7,611.0","8,808.0","9,611.0","11,100.0","13,121.0","12,874.0","17,300.0","19,446.0","22,914.0","27,473.0","30,550.0","37,930.0","40,316.0","46,348.0","60,877.0","69,071.0","64,394.0","64,768.0","75,796.0","64,984.0","78,200.0","73,344.0","74,709.0","85,209.0","119,458.0","150,572.0","177,413.0","173,228.0","196,585.0","10,952.0","-128,100.0","7,366.0","261,887.0","197,193.0","226,405.0","395,118.0","-113,934.0","-725,232.0"
"70","49","      Other coverage differences (8+9+11+12+13+14+15-31-33-34-35-36-37)","L319451","-668.0","-1,166.0","-4,457.0","-4,690.0","-2,912.0","-1,492.0","-8,476.0","-7,130.0","-4,009.0","-5,076.0","-2,925.0","-5,518.0","-5,969.0","-5,067.0","-4,259.0","3,143.0","4,965.0","4,052.0","5,682.0","6,405.0","8,577.0","2,543.0","-3,906.0","-2,527.0","6,102.0","6,605.0","5,040.0","6,953.0","16,108.0","13,935.0","6,561.0","8,818.0","9,141.0","-5,483.0","-9,995.0","7,589.0","23,339.0","40,440.0","34,921.0","22,080.0","6,115.0"
"71","50","      Timing and other differences (43-21)","L319461","-21.0","58.0","1,937.0","-439.0","2,223.0","3,385.0","1,298.0","2,187.0","4,120.0","863.0","2,775.0","2,020.0","2,401.0","4,552.0","5,660.0","-2,923.0","5,322.0","-1,064.0","-3,556.0","-3,668.0","-1,125.0","820.0","625.0","2,573.0","19,218.0","13,193.0","4,484.0","12,198.0","7,259.0","10,830.0","2,277.0","10,070.0","25,199.0","14,275.0","42,533.0","-4,518.0","737.0","6,594.0","28,437.0","38,073.0","20,491.0"
"72","51","Equals: State and local government net saving, national income and product accounts (24-44)","L319471","6,905.0","8,832.0","4,567.0","11,297.0","16,696.0","12,773.0","4,829.0","3,694.0","9,296.0","18,430.0","15,191.0","12,309.0","8,792.0","2,985.0","-4,299.0","20,317.0","19,726.0","21,190.0","20,169.0","16,162.0","20,991.0","13,550.0","-4,898.0","-3,652.0","-4,703.0","4,891.0","9,720.0","17,015.0","29,673.0","42,645.0","46,597.0","47,650.0","19,476.0","-42,720.0","-72,048.0","-13,055.0","15,459.0","49,103.0","37,696.0","-30,714.0","-107,097.0"
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","1. Contributions received, interest received, and dividends received are included in the NIPA personal sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Capital gains net of losses are excluded from the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2. Consists of employer and employee contributions, except employer contributions to their own employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","3. Prior to 1968, dividends received is included in interest received (line 5).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","4. Prior to 1985, capital gains (net of losses) of state and local employee retirement plans is included in line 11.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","5. Unemployment insurance is recorded as a federal program in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","6. Consists of estate and gift taxes and federal investment grants.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","7. Excludes current expenditures of Indian tribal government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","8. In the NIPAs, final expenditure components of gross domestic product are recorded net of sales or receipts; all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","current-account sales by general government are therefore deducted in the calculation of NIPA current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","expenditures.  However, most sales by general government are included in Census total revenue; a reconciliation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","item for these sales is therefore required for both receipts and expenditures.  The amount of the reconciliation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","item is less than the sales shown in table 3.10.5 because Census total revenue does not include medical vendor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","payments made by state and local governments to public institutions (classified as an intragovernmental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","transaction by the Census Bureau) or the administrative expenses of state and local employee retirement plans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","(treated in the NIPAs as sales by government to the personal sector).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","9. Includes timing differences that arise from restating the Census Bureau data to a year ending June 30.  Census",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Bureau measures of state and local government revenue and expenditures (lines 1 and 25) primarily represent a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","fiscal year ending June 30, but some governments use other fiscal years.  The NIPA measures shown in this table are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","for the fiscal year ending June 30, and are consistent with the not seasonally adjusted estimates in table 3.23.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","10. These transactions are included in the NIPA personal sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","11. Net investment is gross investment less consumption of fixed capital for government enterprises and general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
