"","Table 5#7#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"60","48","          Other professional and commercial equipment wholesalers","I4214X0",1260,-509,132,-1278,397,-218,-379,75,65,-132,-159,-93,-1939,-883,797,1457,-680,-398,127,490,-1242,-1207,-1765,-2350,-1158,-831,-440,680,-373,-479,-590,-926,1425,1622,2242,2807,-110,-93,-272,-166,-631,-206,249,636,-1649,-554,325,790,749,-694,-525,-490,755,880,-1200,-708,-809,-485,-160,295,476,-5,398,-1533,-112,-56
"61","49","        Metal and mineral (except petroleum) wholesalers","I42150",-566,16,315,311,621,582,646,720,1738,1149,-67,-2260,-1219,-1035,-513,1319,465,489,412,386,1722,156,-785,-836,128,421,52,-1990,-2903,-4515,-3236,-3650,-3329,-61,1761,-4060,-1233,-3086,-4553,-2360,174,-2195,555,1122,-1717,-9611,-7877,10169,13733,8082,-1323,-7325,-4461,-3093,56,458,-4664,-3077,-443,984,263,611,3098,268,188,1692
"62","50","        Electrical goods wholesalers","I42160",-582,-100,428,2218,-123,208,809,486,1522,812,-49,-960,1548,825,-86,-1323,-1691,136,1482,2095,2315,626,-523,-1886,1827,1495,238,-1896,-269,129,1059,393,-202,325,-34,-844,-775,-1303,-603,-167,-643,705,192,-618,-2281,-1102,162,897,958,613,-428,-913,520,325,130,249,-2026,-828,385,1261,593,280,-460,-1106,-28,76
"63","51","        Hardware and plumbing and heating equipment wholesalers","I42170",111,19,-98,-265,-428,-231,-32,666,49,-13,-242,-285,-544,-209,61,232,-58,-149,-243,-362,408,349,40,-222,-414,-244,-46,384,203,-185,-645,-1045,-97,-536,-557,-1322,-1729,-987,-317,677,105,-588,-505,-596,-1172,-1178,-910,-420,-774,422,613,-516,-234,-186,-647,-814,-722,-590,-335,-28,-10,-67,-159,-508,-196,-204
"64","52","        Machinery, equipment, and supplies wholesalers","I42180",2002,1107,-481,-2256,1229,754,10,-3693,-1366,-790,-435,1778,-1856,-1002,292,1266,-4046,-1497,629,3341,2534,1674,-954,-2505,-1984,-1107,-159,1130,1515,-659,-2447,-4576,-1112,-1857,-1354,-958,-3769,-2506,-1046,289,-2676,-2468,-1671,-1138,-2408,-3481,-4288,-4383,-4845,-857,2550,1981,2258,893,-1027,-2555,1382,-1772,-3760,-4605,-4621,-2229,-169,1799,-980,-556
"65","53","        Miscellaneous durable goods wholesalers","I42190",72,-507,172,187,1567,1218,817,2,745,270,-1103,-2203,-1975,-1215,844,1469,483,191,-30,-36,1058,244,-376,-397,440,448,62,-2983,-1196,425,-1457,-2464,102,932,404,-3653,-311,-2892,-1909,-2245,-3134,-1091,-191,-2812,-4205,-5125,882,10247,3987,-1156,-3950,-2304,-3136,-1131,503,-5836,-2747,-1478,-2587,1220,300,1855,2075,-2374,1004,2740
"66","54","      Nondurable goods industries","I42WN0",-1143,4891,1796,-1181,3410,2515,1448,-821,-470,-1221,-888,-3632,-7588,-2389,-1346,-2956,-2365,-1181,638,6651,2546,557,-7858,-1252,-8798,-90,-1958,-2793,-2420,-990,-260,-6309,-3254,-4352,-8611,-3268,-221,-5152,-3067,-11620,-11207,-3996,-5538,-28643,-32464,-17498,-2150,37493,17670,-7944,-2042,-9969,-4861,2228,-9328,-41861,-48506,-16719,1232,-7442,-10770,6490,-16282,2119,960,5004
"67","55","        Paper and paper products wholesalers","I42210",104,24,-157,85,-76,280,122,34,-99,-374,-325,41,-872,-851,-101,116,72,305,348,67,557,522,132,225,-27,574,116,-487,987,-111,-936,-727,-387,-588,267,-739,747,-309,-1078,-972,-133,-162,-217,-156,-520,-443,-842,-466,1043,570,-46,-521,135,-507,-573,-460,-326,-166,-24,20,104,67,333,-596,-72,-44
"68","56","        Drugs and druggists' sundries wholesalers","I42220",81,394,-68,-667,-2655,-1814,-189,201,-1466,-952,395,1555,800,719,-1112,-1026,51,-76,-68,465,2267,874,-2219,-4650,-4985,-2392,718,4483,-3585,-1088,122,2847,2586,1092,-364,-847,-759,-456,-66,341,1175,653,-1009,-2379,-4747,-2059,439,2410,-566,-800,-815,-955,-651,-627,-626,-440,810,1894,-113,-3687,-2859,-1362,465,2043,-700,-608
"69","57","        Apparel, piece goods, and notions wholesalers","I42230",-432,-246,18,225,729,185,-280,-666,1371,-165,-321,-633,-1227,-251,570,968,-143,-2192,-330,2477,1390,987,606,661,221,100,315,-47,264,800,750,-806,-1687,-2494,-806,151,1750,329,-706,-725,-1073,-328,379,1271,-986,-697,-236,-265,-510,16,191,523,-10,-314,-342,-237,-3127,-2637,-1265,45,1192,658,-331,-1223,184,48
"70","58","        Grocery and related products wholesalers","I42240",278,367,-23,-6,-921,-161,-228,698,-537,-754,279,877,-284,-133,132,-179,-611,-334,-173,-101,-73,2081,93,-325,-853,-592,-1533,-1443,13,-1787,-373,-841,-111,337,237,-1582,1511,-120,-2242,-116,-3527,-192,-721,-1172,-179,-1066,-2413,-306,2458,1085,1005,-4528,-2686,821,-262,-1757,-5000,-992,-993,1445,363,-80,-936,-1142,-148,-384
"71","59","        Farm product raw material wholesalers","I42250",272,931,1478,-32,4416,2900,1173,-1997,1331,1523,1204,458,-1642,195,1057,-2098,316,519,-967,652,-818,-1381,-4842,3022,920,-369,-192,-3723,-826,1910,3887,355,-494,-138,1075,1068,-289,-1352,-2487,-8408,-4785,-1478,-2808,-9261,-11909,-1327,4882,11022,3422,-1550,2634,34,2451,1810,-2410,-26232,-27078,-6446,3493,-2094,-3312,-2519,-10430,1941,2376,2412
"72","60","        Chemical and allied products wholesalers","I42260",112,87,-57,-14,358,231,90,-83,581,510,-158,-1193,-581,-401,-210,100,-305,168,565,343,530,-375,-346,-488,-909,180,226,-257,203,-23,-1374,-2157,-1101,-756,-742,-574,-1307,-455,426,396,-172,-617,-623,-1421,-1430,-1601,-1054,1869,2042,340,-501,-824,-1191,-405,11,-200,-1363,-1442,-422,559,-157,-269,567,-193,-800,-88
"73","61","        Petroleum and petroleum products wholesalers","I42270",1206,1428,-363,169,1430,1081,1253,764,-1478,-2929,-1662,-115,-2542,-436,-1016,-842,2002,732,1037,2197,-1864,-1582,-871,-91,-2669,3010,-1463,-1796,199,545,-1859,-4229,-3834,-1985,-7377,1908,-1279,-2680,2975,-960,-987,413,404,-14202,-9342,-6340,1709,22129,5698,-7832,-5029,-1781,-2741,1944,-4693,-9533,-8422,-4950,1433,-3584,-5745,10620,-4655,1928,496,3876
"74","62","        Beer, wine, and distilled alcoholic beverages wholesalers","I42280",-106,305,208,-612,-468,-403,-365,756,-80,-22,-92,-13,-228,-330,-195,-46,4,-55,-40,-269,-195,-200,-193,-268,-509,-47,-21,501,291,-195,-542,66,-409,-25,5,-14,-166,-135,143,-83,-607,-598,-60,828,-394,-278,-144,-271,-103,-107,67,-625,687,362,-54,-1227,140,-104,-236,-508,-505,-284,108,336,-60,-40
"75","63","        Miscellaneous nondurable goods wholesalers","I42290",-2658,1602,761,-329,596,215,-127,-528,-93,1941,-208,-4609,-1013,-900,-472,52,-3752,-249,267,822,753,-369,-218,662,13,-553,-124,-24,34,-1040,66,-817,2183,205,-906,-2637,-428,26,-33,-1093,-1098,-1687,-883,-2152,-2956,-3686,-4490,1369,4186,335,451,-1292,-857,-856,-381,-1774,-4140,-1876,-641,362,149,-341,-1403,-975,-316,-168
"76","64","    Nonmerchant wholesale industries","I42N0",1812,1592,1212,716,1884,544,1088,1528,808,164,-920,-1132,-3744,52,-1724,-664,-712,-48,1028,1676,2928,424,-2192,-6144,-1620,-852,888,-4080,-4864,-6392,-3480,-2164,-4044,-2920,-4380,-4576,-4308,-6256,-5024,-2176,-1008,-2264,512,-4384,-4448,-10684,-3792,23844,3284,-3316,-4468,-8512,-3252,-1288,-400,-1432,-12392,-8020,-1208,2828,-528,2904,-2480,-3932,-3312,1048
"77","65","      Durable goods industries","I42ND0",1344,1280,1276,812,1052,92,728,1080,612,536,-264,-204,-1940,924,-664,556,-152,60,184,380,1628,564,324,-1392,504,676,1348,-2308,-3072,-3484,-1124,88,-2148,-1276,-1492,-2132,1896,1428,1888,3128,-768,-832,584,36,-1344,-4336,-2208,5096,2700,1432,872,-708,-336,-1608,520,64,-4632,-1800,-588,400,-1556,-396,888,-540,-456,284
"78","66","      Nondurable goods industries","I42NN0",468,312,-64,-96,832,452,360,448,196,-372,-656,-928,-1804,-872,-1060,-1220,-560,-108,844,1296,1300,-140,-2516,-4752,-2124,-1528,-460,-1772,-1792,-2908,-2356,-2252,-1896,-1644,-2888,-2444,-6204,-7684,-6912,-5304,-240,-1432,-72,-4420,-3104,-6348,-1584,18748,584,-4748,-5340,-7804,-2916,320,-920,-1496,-7760,-6220,-620,2428,1028,3300,-3368,-3392,-2856,764
"79","67","Retail trade industries","I440",6776,3530,4206,996,1994,596,3849,3115,3459,1556,-6688,-10337,1936,-2966,-1288,-6084,-26,-239,2728,5874,7059,4304,2600,5453,2356,3693,-1924,274,3241,-7093,-6956,-13072,-9186,-4627,-8025,-1191,-8521,-8175,-1782,-1330,-6696,-5687,-5218,-12498,-19849,-17671,-12527,15506,8300,1209,-4485,-12493,-8234,-4613,-8016,-9414,-15794,-18241,-15221,-7594,-5702,-6529,-9557,3106,-768,792
"80","68","  Motor vehicle and parts dealers","I4410",-271,493,2271,1103,2041,883,-323,-1229,1217,-230,-1969,-3130,18,-1436,-794,-2052,-980,-708,1377,2143,1761,2125,1150,604,532,425,3039,4151,2114,-2203,-2506,-4093,-2899,-1289,-2367,1091,-469,-3758,-1585,-644,1534,551,-2750,-2255,-2239,-1377,-1437,1634,2600,1422,-1627,-1936,-2361,-1571,-2902,47,-1667,-5215,-5338,950,879,-3176,-3331,3056,1380,1024
"81","69","  Furniture, furnishings, electronics, and appliance stores","I44230",1438,965,1688,1445,1456,602,1546,809,1012,746,-41,-17,131,298,460,751,2044,1017,752,-101,-471,31,1302,2398,2166,1070,-430,-150,2075,1116,10,-1425,1661,1085,530,-672,-681,-390,901,2155,-328,148,315,998,-3028,-1157,436,2439,1648,262,-187,-575,269,523,793,640,613,256,144,-41,-502,215,138,310,456,220
"82","70","  Building material and garden equipment and supplies dealers","I4440",482,-248,-411,-143,-160,185,402,-263,764,-5,-905,-362,-574,-1446,420,1124,19,225,-267,-89,38,317,229,552,661,95,-971,-1360,-202,-2508,-2591,-2392,-1886,-790,359,-2663,-5685,-2226,-60,1327,-264,-1075,-834,-1835,-844,-3542,-5854,-1376,1179,3014,1137,-2038,-257,-1027,-133,-179,-2044,-1833,-1053,-350,-1728,-827,-32,-69,-604,-116
"83","71","  Food and beverage stores","I4450",339,208,-135,93,-700,-292,155,771,-87,536,-694,-1094,381,-430,362,-508,-1616,-699,-318,-193,1799,1764,594,563,-1677,-1185,-452,166,-410,-1258,-5,-756,-75,-413,96,-1596,53,-161,-491,587,-1346,68,151,-1489,-1346,-1428,-2064,-86,733,-479,-434,-629,-1813,-311,-78,-1739,-3980,-714,-1302,-596,-823,-1085,-781,136,-460,-340
"84","72","  Clothing and clothing accessories stores","I4480",566,-375,-452,-667,171,-573,85,976,-760,333,729,-36,2095,-257,-116,-1181,-393,-517,-270,888,2178,867,-291,-606,-1758,-437,-99,446,-404,-232,-175,-349,-1052,-801,-215,683,-351,-494,-1214,-1681,-2216,-1983,-968,-728,-1044,-1499,-1484,-1097,990,407,-408,-2398,489,-269,-1111,-2529,-2993,-4204,-4163,-3423,-1897,-980,-518,-433,0,216
"85","73","  General merchandise stores","I4520",2425,241,91,-2533,-1809,-282,205,1162,1050,1440,-451,-1547,607,820,161,-4,-1075,118,1103,514,1972,-405,-371,676,1247,1114,121,-1218,633,-462,84,-26,-1651,-690,88,1205,1249,592,-919,-2112,-1998,-1055,-35,983,-4973,-2502,288,1399,-7,83,68,-905,-1892,-1680,-1403,-2104,-824,-2616,-2718,-2207,-310,-1448,-1232,-138,24,-68
"86","74","    Department stores","I45210",1768,472,344,-2236,-1656,54,474,1339,854,896,-144,-558,615,962,188,12,147,51,158,188,1498,-772,-628,418,76,262,339,574,130,124,179,155,-817,-411,41,459,1144,363,-756,-1540,-621,-400,-31,268,-1612,-726,384,726,-864,-27,-243,938,1556,1568,1543,1601,-1948,-2131,-1656,-1193,356,-976,-642,234,20,48
"87","75","    Other general merchandise stores","I45290",656,-231,-253,-296,-154,-336,-269,-177,196,544,-307,-989,-8,-142,-27,-16,-1221,67,945,325,474,367,257,258,1171,852,-218,-1792,503,-586,-95,-181,-834,-279,47,746,105,230,-163,-572,-1377,-655,-4,715,-3361,-1777,-96,673,857,110,311,-1843,-3447,-3249,-2946,-3705,1124,-485,-1062,-1013,-666,-472,-589,-372,4,-116
"88","76","  Other retail stores","I44X0",1798,2246,1153,1699,996,73,1778,889,263,-1264,-3357,-4149,-721,-516,-1780,-4215,1976,325,352,2711,-218,-396,-12,1266,1184,2611,-3132,-1761,-565,-1547,-1772,-4032,-3284,-1730,-6515,761,-2639,-1738,1586,-961,-2077,-2342,-1097,-8172,-6376,-6165,-2412,12593,1156,-3501,-3034,-4013,-2669,-277,-3182,-3549,-4899,-3915,-792,-1926,-1321,772,-3801,245,-1564,-144
"89","77","Other industries","IOTH0",638,1194,277,-351,1414,787,408,273,813,-841,-1274,-737,-4095,-1234,642,873,-1277,-1010,1101,2745,1247,89,511,242,-1033,445,-588,253,-1750,-1965,-2510,-4355,-2039,-1520,-4661,-247,-2078,-3848,-1271,-1097,-4078,-2187,-1825,-6457,-6931,-6099,-4164,7158,2486,-1864,-1500,-809,-2139,514,-2028,-5193,-7454,-2663,-2465,-2034,-267,-400,-3642,-1000,-1144,-484
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
