"","Table 5#7#6A# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"31","23","  Other","A385RX1",55.7,56.9,57.7,57.9,57.8,57.6,57.7,58.6,59.2,60.2,60,60.7,61.5,62.6,63.1,63.7,64.4,64.8,65.7,67,70,69.6,69.7,71.4,70.3,70.8,71.6,73.3,74.4,75.4,74.3,74,76.7,76.7,79.6,79.6,81.1,82.2,84.6,84.4,85,85.2,84.8,84.3,81.4,82.6,81.8,82.9,84.7,83.9,88.4,92.3,93.1,93.4,92.1,89.4,91.5,91.1,89.5,88.3,88.3,87.9,88.3,89.7,91,92.1,93.7,94.8,96.4,98.9,99.6,98.3,98.9,99.3,99.2,100.8,100.3,99.8,99.3,99.3,98.4,96.1,96.1,94.8,95.4,95.6,94.5,91.2,91.8,93.9,94,94.8,96.5,96.5,96.5,97.7,97,99.3,99.7,101.2,102.2,103.9,103.7,106.1,107.1,106.8,106.9,108.6,108.6,108.9,109.8,110.4,112.6,114.7,116.4,117.6
"32","24","    Durable goods","B386RX1",4.5,4.5,5,4.9,4.9,4.7,4.5,4.7,4.8,4.6,4.1,3.8,4.2,4.3,4.2,4.3,5,4.8,5.4,5.6,5.9,5.4,5.7,5.7,5.2,5,5.4,5.4,5.7,5.7,5.2,5.3,5.3,5.9,5.9,5.5,6.1,6.6,6.9,6.6,6.9,7.1,7.1,6.6,6.4,5.5,5.5,6.2,6.6,6.6,6.7,6.5,7,7.2,7.2,7.6,7.8,7.6,7.7,6.6,7.6,7.7,7.3,6.8,6.9,6.5,6.1,6.3,6.1,5.8,5.3,5.3,5.2,5.4,5.5,5.6,5.5,5.1,4.8,5.2,5.3,5.4,5.5,5.9,6.3,6.3,6.2,5.8,5,4.8,5.4,5.4,6.1,6.2,5.8,6,5.3,5.6,5.7,6.3,6.8,6.8,7,7,7.2,6.9,6.9,7,7.6,7.1,7.4,7.5,7.7,8,8.4,8.6
"33","25","    Nondurable goods","B387RX1",51.4,52.6,52.8,53.1,53.1,53,53.3,54,54.6,55.8,56.1,57.2,57.6,58.5,59.2,59.7,59.6,60.2,60.5,61.4,64.2,64.3,64.1,65.8,65.2,65.9,66.4,68,68.8,69.9,69.2,68.9,71.6,70.9,73.9,74.2,75.2,75.7,77.8,77.9,78.2,78.2,77.9,77.9,75.2,77.2,76.3,76.8,78.2,77.5,81.9,85.8,86.2,86.4,85.1,82.1,84.1,83.8,82.1,81.9,81,80.5,81.3,83,84.3,85.7,87.7,88.6,90.4,93.1,94.2,92.9,93.6,93.9,93.7,95.1,94.8,94.6,94.4,94,93,90.7,90.6,88.9,89,89.3,88.3,85.3,86.8,89.1,88.6,89.4,90.3,90.2,90.6,91.7,91.6,93.7,94,94.8,95.4,97,96.7,99,99.8,99.8,99.9,101.5,100.9,101.7,102.3,102.8,104.8,106.6,108,109
"34","26","Residual","A968RX1",17.4,17.3,17.1,17.5,17.2,16.3,16.3,15,14.9,14.4,14.4,13,13.3,13.5,13.4,13.5,11.7,13.4,14.7,13.4,11.1,10.1,10.3,7.7,10,11,9.9,8.9,7.9,7.1,7.2,8.2,6.6,6.3,5.8,6.1,6,6.6,6.9,6.6,7.7,7.8,8.6,8.9,9.1,8.6,7.7,7.2,7.8,7.6,7.9,7.2,6.8,6.7,6.1,4.9,3.5,3.7,2.3,2.9,2.2,2.8,3.6,4.7,4.1,3.9,3.3,1.4,1,0.5,-0.1,-1.1,-0.6,0.3,-0.2,0.4,0.6,0.5,1.5,2.1,3.1,3.4,3.4,3.5,3.5,3.2,3.5,-0.8,-1.6,-2.7,-3.2,-4.1,-5.2,-5.4,-6.1,-7.1,-6.6,-7.1,-6.9,-5.9,-5.5,-4.7,-4.3,-4.1,-3.2,-2.6,-1.8,-1,-0.9,-0.3,0.4,0.1,1.1,2.6,1.9,0.9
"35","27","    Final sales of domestic business \5\","A809RX1",214.5,214.9,216,215.8,217.2,217.1,219.5,218.4,221.8,223.7,226.1,229.6,232.7,237.4,241.1,248.7,256,257.2,257.8,257.4,255.3,255.5,253.7,247.8,249.7,252.5,255.7,259.6,264.8,265.3,267.4,272.4,275.1,280.5,283.8,286.7,286.2,300.9,303.7,308.2,308.8,308.1,314.7,315.4,315.5,305.5,311.2,315.1,316.3,316.1,316.1,312.8,310.8,310.5,306.4,311.6,315.3,320.8,327.7,335.2,337.6,344.3,347.8,353.5,361,363.2,369.2,369.9,374,375.5,381.2,383.8,381.5,388.1,394.2,394.3,401.8,408.2,410,414.7,417.4,420.9,427.4,426.9,431.8,431.3,431.9,428.2,424.1,428.2,428.7,428,436.4,440.1,445.2,451.1,450.4,455.6,459.8,466.9,469.8,474.5,480.1,485.5,487.5,490.8,498.4,503.4,508.8,517.3,520.2,529.2,533.7,537.4,548.5,551.4
"36","28","    Final sales of goods and structures of domestic business \5\","A810RX1",122.3,121.8,122.5,121.5,121.9,121.2,122.5,121.6,123.7,124.8,126.4,127.9,130,133.3,134.8,139.9,144.9,145.2,144.9,144.6,143.7,143,141.4,135.8,136.4,137.3,140,142,145.2,145.4,145.9,148.5,150,154,155.6,157.2,155.6,166.3,168.3,171.6,171.2,170.4,175.7,175.7,175.5,168.3,171.4,173.3,174.6,173.6,173.8,171.5,169.7,169,164.8,167.5,168.8,172.2,176.7,182.3,184,188.8,190.6,194.4,197.8,198.7,201.8,201.3,203.9,204.5,208.5,209.2,205.6,210.1,214.6,213.9,218.1,222.1,221.7,224.9,226.4,229.3,233.6,231.3,235.3,232.4,231.7,229.1,226,227.2,227.4,225.4,230.2,232.5,235.1,238.5,237.2,241.1,242.9,248.5,249.8,252.8,256.3,260.6,262.1,262.9,267.6,271.2,274.1,280.1,282.6,288,291.5,293.5,301.6,302.9
"37",NA,"Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","29","  Private inventories to final sales","A811RX2",3.32,3.35,3.37,3.4,3.38,3.4,3.38,3.38,3.37,3.38,3.38,3.33,3.29,3.27,3.26,3.17,3.1,3.14,3.16,3.22,3.27,3.3,3.34,3.46,3.42,3.35,3.3,3.25,3.22,3.26,3.27,3.23,3.22,3.19,3.22,3.21,3.26,3.13,3.14,3.14,3.16,3.21,3.15,3.16,3.17,3.28,3.18,3.13,3.16,3.17,3.22,3.28,3.28,3.28,3.32,3.23,3.15,3.09,3.02,2.98,3.02,3.02,3.05,3.04,2.99,2.99,2.96,2.98,2.97,2.97,2.92,2.89,2.93,2.9,2.85,2.9,2.86,2.82,2.83,2.81,2.82,2.82,2.79,2.8,2.78,2.8,2.81,2.83,2.85,2.81,2.81,2.83,2.78,2.77,2.75,2.72,2.75,2.73,2.71,2.68,2.69,2.71,2.71,2.72,2.74,2.74,2.7,2.69,2.66,2.63,2.64,2.61,2.61,2.64,2.62,2.65
"39","30","  Nonfarm inventories to final sales","A812RX2",2.58,2.61,2.64,2.67,2.66,2.67,2.67,2.68,2.67,2.68,2.67,2.64,2.62,2.6,2.6,2.54,2.51,2.54,2.55,2.62,2.68,2.71,2.74,2.87,2.81,2.74,2.71,2.66,2.64,2.68,2.7,2.67,2.68,2.65,2.67,2.67,2.71,2.62,2.62,2.63,2.65,2.69,2.64,2.64,2.65,2.76,2.68,2.64,2.67,2.67,2.7,2.75,2.74,2.73,2.77,2.67,2.61,2.57,2.55,2.52,2.56,2.57,2.6,2.59,2.54,2.54,2.51,2.53,2.52,2.53,2.48,2.46,2.51,2.49,2.45,2.5,2.47,2.45,2.46,2.46,2.48,2.48,2.45,2.47,2.45,2.47,2.48,2.49,2.5,2.47,2.47,2.49,2.44,2.43,2.41,2.39,2.42,2.41,2.4,2.37,2.37,2.39,2.38,2.4,2.42,2.43,2.41,2.4,2.38,2.35,2.35,2.33,2.33,2.36,2.34,2.37
"40","31","  Nonfarm inventories to final sales of goods and structures","A813RX2",4.53,4.6,4.66,4.75,4.73,4.79,4.78,4.82,4.8,4.8,4.78,4.74,4.68,4.63,4.65,4.52,4.44,4.5,4.54,4.66,4.75,4.85,4.92,5.24,5.15,5.05,4.94,4.87,4.82,4.9,4.95,4.91,4.91,4.83,4.87,4.86,4.99,4.73,4.73,4.71,4.77,4.85,4.72,4.74,4.77,5,4.86,4.8,4.83,4.86,4.92,5.02,5.02,5.02,5.14,4.98,4.88,4.79,4.72,4.63,4.7,4.68,4.74,4.71,4.64,4.65,4.59,4.64,4.62,4.64,4.54,4.52,4.65,4.59,4.5,4.61,4.55,4.51,4.56,4.54,4.56,4.55,4.48,4.55,4.49,4.59,4.62,4.65,4.7,4.65,4.66,4.73,4.63,4.59,4.56,4.52,4.59,4.55,4.54,4.46,4.46,4.48,4.47,4.46,4.51,4.54,4.49,4.45,4.41,4.34,4.33,4.27,4.27,4.32,4.26,4.31
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Inventories are as of the end of the quarter.  The quarter-to-quarter changes calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","from this table are at quarterly rates, whereas the change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","component of GDP is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Beginning with the fourth quarter of 1990, farm inventories includes materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3. Prior to the fourth quarter of 1958, inventories held by construction establishments are included in line 5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","4. Prior to 1981, inventories of auto and home supply stores are included in motor vehicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","dealers.  Beginning with 1981, these inventories are included in ""other durable goods.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","5. Quarterly totals at monthly rates.  Final sales of domestic business equals final sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","domestic product less gross output of general government, gross value added of nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","institutions, compensation paid to domestic workers, and imputed rental of owner-occupied nonfarm housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","It includes a small amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Note.  Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","periods are based on the 1972 Standard Industrial Classification (SIC).  Manufacturing estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","for 1981 and earlier periods and trade estimates for 1966 and earlier periods are based on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1972 SIC; later estimates for these industries are based on the 1987 SIC.  The resulting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","discontinuities are small.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Note. Chained (2005) dollar inventory series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","quantity index and the average of the end-of-year fixed-weighted inventories for 2004 and 2005, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","by 100. Chained (2005) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","estimates are usually not additive. The residual line is the difference between the first line and the sum of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
