"","Table 2#3#4U# Chain-Type Price Indexes for Personal Consumption ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"136","11","P1FULG B     Fuel oil and coal","P1FULG3",72.197,71.897,72.784,72.966,72.227,72.149,71.767,70.974,70.809,70.965,70.711,69.596,69.213,72.242,71.668,70.686,70.125,70.232,70.619,70.692,70.521,69.765,69.661,69.575,69.331,69.294,69.199,69.273,69.892,70.424,70.718,70.672,70.393,69.734,69.552,70.376,74.749,74.509,75.925,78.419,77.543,75.176,74.848,75.242,76.717,81.496,83.159,86.238,85.65,83.565,80.958,79.016,78.414,77.921,77.129,76.437,76.194,76.196,76.31,75.938,73.931,72.944,72.87,72.494,72.761,72.536,72.69,72.306,70.929,70.186,69.571,68.133,67.371,66.77,67.085,68.709,69.597,70.823,72.275,73.983,76.39,78.001,79.149,81.724,85.742,106.426,97.175,94.06,94.102,95.635,97.547,98.463,106.25,107.112,107.731,109.757,114.254,109.273,104.533,102.42,102.328,103.014,101.133,100.437,101.66,97.711,94.562,89.519,87.391,85.826,86.554,89.46,90.152,90.851,91.851,92.385,94.058,95.923,96.942,98.853,104.542,117.144,126.542,113.684,107.194,106.025,106.93,107.226,105.544,104.994,107.339,108.675,115.338,118.193,117.338,115.566,117.825,119.927,121.805,126.976,127.692,137.405,144.36,142.245,139.084,141.267,146.727,150.551,150.43,153.749,158.744,162.271,180.021,182.391,175.424,173.159,175.21,173.718,174.217,178.914,184.775,187.4,189.276,190.603,183.702,175.396,173.364,177.476,175.838,176.212,179.627,182.391,186.586,189.174,191.199,191.367,193.926,199.277,218.51,223.76,232.017,230.285,245.363,251.727,269.24,289.407,294.055,276.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","12","P1TONG B   Other","P1TONG3",87.175,87.422,87.579,87.744,87.869,87.588,87.625,87.36,86.824,86.866,87.086,87.236,87.273,87.227,87.402,87.517,87.769,87.891,88.004,88.183,88.253,88.434,88.375,88.214,88.446,88.648,88.48,88.58,88.8,88.935,89.216,89.547,89.628,89.759,89.909,89.876,89.951,90.318,90.385,90.456,90.602,90.308,90.474,90.678,90.734,90.705,90.754,90.762,90.865,90.984,91.093,91.56,91.592,91.291,91.362,91.222,91.262,91.45,91.548,91.451,91.868,92.597,92.101,92.93,93.215,92.766,93.311,93.402,93.987,94.051,93.796,95.811,96.946,96.753,96.161,97.13,97.001,97.182,97.711,97.51,98.356,98.328,98.102,98.124,98.387,98.595,99.162,100.304,99.869,99.667,100.485,100.37,100.771,100.424,101.139,100.828,101.367,101.638,101.443,102.385,102.091,102.545,103.445,102.917,103.843,103.443,104.323,103.712,103.979,104.626,103.971,105.302,104.714,105.343,105.374,105.58,105.705,105.189,105.167,105.119,105.142,104.97,104.8,105.201,104.902,104.912,105.475,105.504,105.343,105.17,105.049,105.217,105.436,105.722,105.949,105.991,106.062,106.086,105.969,106.045,106.294,106.705,106.782,106.593,107.044,107.221,107.151,107.202,107.561,107.466,107.786,107.859,108.112,108.391,108.617,108.883,109.143,109.229,109.593,109.678,109.763,109.931,109.868,109.921,110.33,110.292,109.851,109.954,110.696,110.723,110.73,110.812,110.772,110.672,110.814,110.89,111.134,111.371,111.608,111.933,112.389,112.538,112.866,113.037,112.922,113.121,113.069,113.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","13","P1TSSG B Services","P1TSSG3",82.17,82.256,82.575,82.852,83.299,83.367,83.536,83.669,83.894,84.005,84.195,84.316,84.445,84.778,85.089,85.164,85.322,85.583,85.932,86.178,86.334,86.567,86.742,86.84,87.11,87.355,87.594,87.828,88.048,88.246,88.427,88.7,88.811,89.095,89.227,89.396,89.589,89.795,89.991,90.267,90.544,90.692,90.97,91.169,91.42,91.692,91.918,92.084,92.23,92.497,92.729,92.918,92.983,93.294,93.427,93.508,93.774,93.933,94.118,94.245,94.444,94.555,94.797,94.937,95.136,95.048,95.321,95.566,95.622,96.007,96.13,96.263,96.356,96.513,96.735,96.917,97.129,97.237,97.428,97.576,97.855,98.088,98.31,98.568,99.069,99.321,99.44,99.593,99.663,99.797,100.004,100.175,100.402,100.615,100.821,101.1,101.866,102.176,102.405,102.681,102.978,103.332,103.557,103.851,103.128,104.148,104.443,104.514,104.679,104.953,105.179,105.385,105.622,105.818,106.096,106.39,106.683,106.908,107.123,107.38,107.685,108.036,108.508,108.682,109.081,109.244,109.531,109.791,110.102,110.421,110.574,110.89,111.264,111.607,111.876,112.249,112.516,112.83,113.153,113.43,113.634,113.831,114.255,114.509,114.804,115.103,115.514,115.831,116.182,116.403,116.737,117.006,117.521,118.11,118.533,118.655,119.033,119.296,119.611,119.939,120.276,120.639,120.924,121.265,121.65,121.847,122.115,122.426,122.881,123.207,123.513,123.887,124.196,124.57,124.782,125.136,125.618,125.998,126.226,126.534,126.76,127.083,127.557,127.934,128.451,128.967,129.563,129.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","14","P1HOSG B   Housing","P1HOSG3",80.203,80.383,80.607,80.888,81.128,81.251,81.371,81.469,81.613,81.8,81.995,82.223,82.404,82.643,82.911,83.1,83.366,83.515,83.618,83.81,83.92,84.126,84.366,84.569,84.783,84.984,85.23,85.515,85.836,86.056,86.267,86.451,86.721,86.986,87.219,87.442,87.635,87.789,88.072,88.255,88.525,88.685,88.961,89.154,89.314,89.499,89.705,89.885,90.073,90.295,90.493,90.793,90.993,91.24,91.465,91.683,91.896,92.108,92.386,92.687,92.882,93.048,93.33,93.609,93.904,94.17,94.364,94.64,94.969,95.264,95.519,95.718,95.829,95.933,96.139,96.439,96.631,96.829,97.017,97.207,97.447,97.573,97.903,98.093,98.57,98.752,99.086,99.274,99.546,99.867,100.079,100.371,100.678,100.978,101.274,101.524,101.857,102.194,102.586,102.923,103.337,103.772,104.056,104.512,104.719,105.043,105.52,105.886,106.213,106.613,106.866,107.18,107.396,107.656,107.901,108.198,108.46,108.685,108.945,109.188,109.548,109.622,109.708,109.814,110.159,110.19,110.458,110.679,110.908,111.231,111.445,111.617,111.77,111.906,112.266,112.637,112.914,113.169,113.366,113.599,113.921,114.095,114.226,114.466,114.75,115.098,115.469,115.614,115.747,115.956,116.214,116.388,116.494,116.922,117.231,117.566,117.85,118.228,118.702,119.126,119.678,120.136,120.587,120.997,121.37,121.84,122.234,122.621,122.989,123.351,123.565,123.927,124.185,124.537,124.811,125.072,125.446,125.72,126.091,126.446,126.837,126.956,127.187,127.356,127.562,127.952,128.188,128.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","15","P1HOPG B   Household operation","P1HOPG3",91.645,91.117,91.931,92.167,92.561,92.719,92.944,93.232,93.49,93.615,93.51,93.714,93.556,94.24,94.496,94.244,94.247,94.314,94.42,94.571,94.456,94.462,94.567,94.542,95.456,95.289,95.281,95.334,95.196,95.346,95.42,95.839,95.273,95.718,95.675,95.956,96.137,96.389,96.724,96.869,97.323,97.101,97.461,97.725,97.793,97.893,98.118,98.46,99.207,99.26,99.047,98.923,98.632,99.067,99.148,98.537,98.947,99.053,99.547,98.757,98.412,97.954,98.119,98.29,98.508,98.402,98.369,98.006,97.878,97.867,98.082,97.907,98.017,97.97,98.025,97.936,97.716,97.742,97.721,97.953,98.262,98.403,98.758,98.61,99.351,98.869,98.354,99.514,99.067,99.042,100.244,100.304,100.408,100.959,101.476,102.413,105.307,105.251,105.11,104.813,105.192,105.563,105.413,104.898,103.977,103.396,103.366,103.134,103.185,103.124,102.984,102.814,103.088,103.074,103.56,104.107,104.201,104.493,104.635,104.906,105.457,106.481,108.377,108.024,107.984,107.896,108.004,107.864,108.243,107.989,107.686,108.04,108.467,109.349,108.946,109.087,109.335,109.853,110.246,110.449,110.275,109.849,111.257,111.59,111.656,112.133,112.291,113.389,113.828,113.853,114.478,115.15,117.498,120.053,121.406,120.529,122.323,121.928,121.388,121.006,120.861,120.585,120.943,121.378,122.152,121.092,121.909,122.473,122.574,123.455,124.207,124.461,124.853,125.129,125.134,124.86,125.061,125.714,126.066,126.236,126.068,127.153,128.328,130.063,131.772,132.976,135.67,135.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","16","P1GELG B     Electricity and gas","P1GELG3",91.975,90.607,92.156,92.724,93.32,93.58,93.798,93.932,94.228,94.268,93.81,93.961,93.547,93.969,94.456,93.869,93.686,93.628,93.72,93.829,93.431,93.3,93.558,93.362,93.889,94.007,93.964,93.814,93.417,93.602,93.643,94.596,93.229,94.158,94.035,94.334,94.709,95.215,94.862,95.791,96.078,95.108,96.265,96.759,96.622,96.568,96.896,97.618,99.148,99.415,98.53,98.022,97.177,97.976,97.874,97.328,98.184,98.297,99.312,97.364,96.558,95.228,95.374,95.652,95.729,95.314,95.008,94.699,93.973,93.746,93.997,93.995,93.892,94.026,94.198,94.135,94.034,93.951,94.197,94.62,95.352,95.565,95.729,95.133,96.815,96.382,95.108,98.427,97.069,97.957,100.87,100.673,102.448,102.813,104.626,106.812,114.45,114.087,113.08,112.502,113.52,114.111,112.9,111.292,109.101,106.867,106.693,105.872,105.108,104.698,104.809,104.844,105.029,104.909,104.739,104.956,105.369,105.943,106.135,106.567,107.308,109.61,114.996,114.614,114.649,114.896,114.576,114.154,115.05,114.245,113.031,113.841,114.811,116.529,115.423,115.848,116.378,117.646,118.302,118.876,118.099,117.621,120.608,121.357,121.042,121.619,122.062,124.492,125.591,125.407,127.119,128.851,134.349,141.201,144.273,141.524,145.939,144.197,142.584,141.204,140.61,139.44,139.879,140.615,142.19,138.299,140.087,141.391,141.093,143.2,144.907,144.988,145.417,145.843,145.327,144.002,144.238,145.601,146.407,146.537,145.453,148.092,150.872,154.706,158.421,160.856,167.46,165.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","17","P1HLUG B     Other household operation","P1HLUG3",91.137,91.262,91.484,91.471,91.719,91.802,92.025,92.43,92.656,92.851,93.013,93.255,93.289,94.172,94.254,94.256,94.399,94.563,94.679,94.859,94.948,95.051,95.048,95.144,96.328,95.963,95.981,96.172,96.221,96.348,96.456,96.472,96.489,96.592,96.602,96.867,96.908,96.97,97.813,97.394,97.965,98.268,98.074,98.178,98.383,98.59,98.747,98.836,99.064,98.979,99.199,99.324,99.405,99.604,99.798,99.146,99.276,99.374,99.533,99.485,99.441,99.517,99.697,99.8,100.106,100.2,100.342,99.941,100.188,100.3,100.491,100.214,100.458,100.304,100.288,100.177,99.882,99.97,99.781,99.893,99.945,100.049,100.507,100.597,100.783,100.26,100.15,100.128,100.195,99.645,99.89,100.117,99.269,99.916,99.716,99.931,99.978,100.155,100.567,100.413,100.451,100.717,101.178,101.282,101.072,101.425,101.478,101.566,102.069,102.207,101.93,101.649,101.979,102.033,102.906,103.651,103.564,103.692,103.81,103.991,104.438,104.678,104.518,104.191,104.112,103.834,104.187,104.216,104.3,104.36,104.594,104.685,104.802,105.179,105.18,105.162,105.244,105.333,105.576,105.57,105.737,105.346,105.848,105.935,106.216,106.629,106.617,106.945,107.013,107.169,107.172,107.226,107.727,107.782,108.164,108.387,108.739,109.083,109.167,109.341,109.453,109.696,110.012,110.276,110.615,111.147,111.405,111.571,111.891,112.049,112.264,112.621,112.992,113.187,113.477,113.792,113.967,114.222,114.323,114.517,114.87,115.066,115.342,115.897,116.505,117.026,117.582,118.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","18","P1TOTG B   Transportation","P1TOTG3",83.949,84.345,84.641,84.466,84.717,85.314,85.589,85.936,85.638,86.066,86.546,86.278,86.48,86.62,87.519,87.316,87.002,87.269,87.161,87.549,87.509,87.718,87.736,87.465,87.5,88.041,88.696,89.114,89.379,89.856,90.04,90.375,90.436,90.952,90.678,90.155,89.87,90.351,90.801,90.949,90.91,91,91.325,91.723,92.593,93.249,92.924,92.499,92.185,92.416,93.106,93.444,92.92,93.016,93.082,93.122,94.007,94.81,94.161,93.81,94.82,94.925,95.159,94.99,94.864,95.029,95.438,95.733,95.622,96.165,96.145,95.871,96.026,96.415,97.281,96.878,97.535,97.679,97.761,97.626,97.967,98.28,98.441,98.446,98.703,98.982,99.17,99.468,99.742,99.833,99.761,100.592,100.636,101.066,100.992,101.054,101.409,101.577,101.637,101.689,101.477,101.582,101.651,101.882,101.539,101.705,102.143,102.004,101.829,102.045,102.231,102.68,102.96,102.945,102.699,102.974,103.541,103.748,103.629,103.811,104.047,104.361,104.815,105.023,105.596,105.947,106.48,106.554,106.758,107.243,107.146,107.451,107.374,107.489,107.626,107.681,107.618,107.988,108.706,108.927,108.147,108.711,109.627,109.789,110.212,110.403,111.204,111.7,112.129,112.483,112.856,113.092,114.025,114.018,114.811,114.81,114.939,115.253,115.272,115.621,116.071,116.411,116.625,116.698,116.643,116.9,116.856,116.777,117.404,117.831,118.089,118.367,118.281,119.03,119.649,120.095,120.06,120.678,120.959,121.374,122.046,122.221,123.097,123.646,124.819,125.839,126.266,126.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","19","P1TMDG B   Medical care","P1TMDG3",79.926,80.28,80.483,80.754,81.241,81.493,81.781,81.915,82.271,82.467,82.686,82.964,83.329,83.613,83.911,84.098,84.363,84.733,85.027,85.299,85.54,85.952,86.221,86.441,86.769,87.133,87.485,87.53,87.716,87.911,87.99,88.383,88.474,88.761,88.971,89.172,89.29,89.341,89.624,89.892,90.095,90.297,90.461,90.598,90.836,91.042,91.322,91.484,91.512,91.826,92.031,92.228,92.381,92.553,92.872,92.847,93.031,93.153,93.261,93.501,93.75,93.934,94.247,94.544,94.815,94.966,95.071,95.221,95.443,95.541,95.702,95.853,96.081,96.337,96.491,96.624,96.846,97.034,97.263,97.435,97.679,97.975,98.093,98.373,98.57,98.781,98.934,99.283,99.53,99.759,100.227,100.465,100.742,100.955,101.253,101.501,102.148,102.522,102.768,103.084,103.275,103.627,103.69,103.963,104.209,104.381,104.639,104.755,104.802,105.034,105.265,105.417,105.66,105.844,106.13,106.454,106.75,107.041,107.321,107.721,107.919,108.241,108.745,109.112,109.697,109.95,110.4,110.75,111.129,111.646,111.825,112.3,112.883,113.233,113.603,114.016,114.322,114.595,114.937,115.21,115.503,115.71,116.098,116.396,116.781,117.218,117.69,117.807,118.15,118.429,118.701,118.944,119.347,119.808,120.173,120.306,120.317,120.643,120.929,121.305,121.584,121.988,122.407,122.773,123.033,123.285,123.514,123.856,125.047,125.328,125.571,125.755,126.006,126.385,126.549,126.928,127.408,127.92,127.992,128.32,128.127,128.32,128.646,128.805,129.145,129.432,129.876,130.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","20","P1RECG B   Recreation","P1RECG3",80.696,81.046,81.511,81.881,81.695,82.018,82.09,82.383,82.576,82.857,83.047,83.152,83.243,83.466,83.534,83.366,83.498,83.582,83.742,83.726,83.723,83.926,84.168,84.282,84.569,84.739,84.995,85.28,85.626,85.531,85.737,86.012,86.305,86.487,86.654,86.889,86.963,87.465,87.648,87.875,88.222,88.442,88.747,88.944,89.259,89.518,89.663,89.936,90.151,90.357,90.434,90.673,90.852,91.222,91.502,91.763,91.893,92.103,91.984,92.233,92.447,92.897,93.216,93.319,93.4,93.364,93.371,93.68,94.14,94.225,94.469,94.652,95.003,95.116,95.269,95.795,96.104,96.426,96.68,96.874,96.967,97.319,97.479,98.031,98.314,98.603,99.117,99.101,99.322,99.9,100.352,100.588,101.002,101.032,101.242,101.426,101.82,102.168,102.294,102.927,103.149,103.185,103.416,103.739,104.181,104.239,104.599,104.629,104.768,104.842,105.335,105.852,105.91,106.28,106.714,106.817,106.971,107.372,107.526,107.817,108.085,108.466,108.707,108.562,109.042,109.208,109.323,109.587,109.897,109.929,109.902,110.229,110.69,110.919,111.198,111.401,111.639,111.978,112.182,112.387,112.658,113.024,113.275,113.459,113.682,113.823,114.092,114.272,114.499,114.417,114.835,115.471,116.175,116.604,116.556,116.781,117.045,117.222,117.723,117.908,118.479,118.93,119.321,119.462,119.409,119.007,118.94,118.936,118.863,119.066,119.381,119.837,120.284,120.304,120.387,120.422,120.977,121.365,121.897,122.238,122.559,122.775,123.218,123.268,123.718,124.11,124.769,125.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","21","P1OSRG B   Other","P1OSRG3",82.968,82.683,83.022,83.426,84.339,83.832,83.877,83.875,84.181,83.941,84.125,83.998,83.871,84.313,84.607,84.694,84.802,85.196,86.23,86.578,86.911,87.064,87.099,87.08,87.138,87.393,87.447,87.859,88.106,88.298,88.615,88.757,88.959,89.146,89.252,89.475,89.966,90.229,90.061,90.58,90.964,91.19,91.555,91.742,91.972,92.379,92.778,93.019,93.132,93.524,93.915,94.026,94.146,94.708,94.499,94.811,95.006,94.936,95.341,95.659,95.762,95.865,95.988,95.878,96.016,95.144,95.877,96.427,95.994,97.019,96.922,97.208,97.027,97.157,97.357,97.664,97.902,97.779,98.039,98.155,98.539,98.798,98.998,99.466,100.361,101.01,100.982,100.482,100.248,100.03,99.553,99.352,99.496,99.459,99.432,99.596,100.296,100.699,100.974,101.336,101.772,102.203,102.749,103.234,100.044,103.954,104.164,104.062,104.339,104.734,105.009,105.153,105.432,105.673,105.999,106.211,106.579,106.653,106.89,106.995,107.303,107.709,108.054,108.367,108.708,108.951,109.117,109.524,109.846,110.194,110.563,110.825,111.268,111.703,112.059,112.623,112.941,113.265,113.592,113.991,114.366,114.673,114.97,115.202,115.475,115.559,115.974,116.399,116.975,117.274,117.616,117.756,117.938,118.286,118.576,118.86,119.345,119.674,120.221,120.698,120.962,121.405,121.304,121.638,122.294,122.789,122.94,123.239,123.142,123.276,123.595,124.261,124.732,125.166,125.379,126.116,126.942,127.104,127.21,127.462,128.028,128.506,129.053,129.451,129.912,130.486,130.884,131.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",NA,"         Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","22","P1NRGG B   Energy goods and services","P1NRGG3",84.048,83.485,83.842,83.844,83.114,82.667,82.469,82.371,82.106,84.022,83.221,82.724,82.15,83.1,83.045,82.64,81.66,81.893,83.251,85.076,84.694,84.529,84.949,84.843,84.755,84.681,84.301,84.241,84.458,84.74,84.42,84.396,83.307,83.774,82.943,83.829,85.42,85.664,86.652,89.032,89.472,87.495,87.796,87.627,87.603,88.549,89.468,90.984,91.895,91.892,90.453,89.069,87.009,86.85,86.696,88.382,89.441,89.312,88.827,87.601,85.497,83.491,81.89,81.065,81.833,82.187,82.008,80.991,80.373,80.574,80.155,79.23,78.919,78.328,79.061,83.639,83.486,83.311,85.129,87.334,89.273,89.451,89.078,91.239,92.567,95.409,99.418,97.451,96.434,101.978,102.708,99.418,103.739,103.279,103.673,103.926,107.566,106.636,104.541,105.974,110.661,109.829,103.262,101.307,104.753,98.07,92.434,89.486,90.432,89.493,93.829,97.896,97.162,96.986,97.416,98.035,98.746,100.607,100.392,100.478,104.097,110.93,116.813,109.964,105.428,105.295,106.26,109.872,113.707,109.762,106.766,107.909,111.936,115.085,116.541,115.95,122.102,124.579,122.483,122.094,121.624,128.142,128.725,126.845,127.46,129.956,131.002,134.905,130.057,130.424,138.44,147.591,167.031,166.348,154.288,151.71,158.513,155.701,153.439,158.749,160.964,161.525,167.777,170.602,159.129,147.413,149.019,157.098,154.222,154.573,161.055,163.325,168.529,168.866,169.086,166.032,168.521,170.455,183.161,186.463,187.504,186.442,190.1,189.768,197.997,211.525,219.912,212.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","23","P1XEFG B   Personal consumption expenditures less food and energy","P1XEFG3",87.364,87.525,87.712,87.985,88.289,88.3,88.46,88.607,88.718,88.824,89.067,89.132,89.219,89.434,89.728,89.83,90.046,90.313,90.612,90.773,90.926,91.094,91.233,91.262,91.504,91.647,91.85,92.055,92.197,92.289,92.455,92.673,92.777,92.976,93.048,93.189,93.355,93.488,93.682,93.785,93.943,94.001,94.159,94.23,94.486,94.68,94.812,94.863,94.937,95.155,95.348,95.495,95.555,95.682,95.741,95.703,95.89,95.997,96.053,96.168,96.325,96.41,96.504,96.676,96.765,96.614,96.893,97.111,97.104,97.364,97.393,97.587,97.737,97.736,97.766,98.067,98.175,98.24,98.392,98.431,98.698,98.843,98.937,99.097,99.391,99.54,99.743,99.834,99.892,99.89,99.99,100.048,100.257,100.325,100.493,100.597,100.977,101.205,101.334,101.561,101.619,101.883,102.167,102.256,101.732,102.532,102.806,102.778,102.875,103.062,103.155,103.412,103.491,103.609,103.763,104.009,104.18,104.219,104.304,104.378,104.474,104.582,104.71,104.808,104.943,105.014,105.251,105.394,105.508,105.704,105.777,105.938,106.198,106.437,106.691,106.955,107.135,107.336,107.486,107.569,107.746,107.975,108.219,108.312,108.628,108.809,109.077,109.202,109.463,109.549,109.682,109.792,110.038,110.295,110.535,110.655,110.854,111.031,111.342,111.641,111.879,112.141,112.277,112.549,112.767,112.954,112.983,113.129,113.504,113.718,113.823,114.033,114.181,114.39,114.557,114.759,115.074,115.336,115.495,115.706,115.975,116.141,116.357,116.532,116.742,117.072,117.409,117.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",NA,"Chain-Type Price Indexes for PCE by Major Type of Expenditure"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","24","P1PCEG B     Personal consumption expenditures","P1PCEG3",86.977,87.099,87.272,87.509,87.774,87.752,87.869,87.996,88.073,88.312,88.485,88.531,88.577,88.788,89.016,89.097,89.236,89.501,89.86,90.116,90.235,90.347,90.501,90.567,90.755,90.91,91.061,91.292,91.421,91.523,91.657,91.845,91.901,92.111,92.13,92.314,92.566,92.726,92.984,93.246,93.41,93.401,93.586,93.674,93.916,94.185,94.367,94.504,94.615,94.825,94.903,94.958,94.905,95.02,95.084,95.169,95.402,95.497,95.536,95.573,95.634,95.593,95.602,95.707,95.852,95.755,95.997,96.147,96.121,96.39,96.411,96.529,96.679,96.66,96.723,97.231,97.342,97.385,97.624,97.795,98.146,98.292,98.379,98.642,98.968,99.264,99.657,99.643,99.698,99.991,100.163,100.077,100.477,100.524,100.69,100.847,101.333,101.514,101.577,101.862,102.178,102.397,102.362,102.384,102.128,102.514,102.482,102.315,102.48,102.62,102.921,103.357,103.349,103.448,103.621,103.853,104.05,104.174,104.273,104.357,104.591,105.085,105.5,105.256,105.167,105.281,105.529,105.866,106.158,106.18,106.144,106.401,106.801,107.187,107.502,107.731,108.252,108.553,108.617,108.686,108.807,109.355,109.606,109.601,109.912,110.171,110.477,110.854,110.852,110.938,111.451,111.965,113.086,113.286,112.993,112.988,113.506,113.529,113.708,114.189,114.51,114.796,115.213,115.594,115.337,115.016,115.121,115.58,115.869,116.155,116.581,116.894,117.289,117.554,117.756,117.859,118.293,118.635,119.349,119.678,120.052,120.212,120.585,120.869,121.419,122.346,123.129,123.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
